legacy_record_id,document_no,document_date,supplier_name,legacy_gcmc,legacy_line_id,legacy_material_id,material_name,spec_model,uom_text,qty,unit_price,unit_price_no_tax,amount
016da5e5afc24cea969520264d558575,RKD-20240725-011,2024-06-13,德阳市兴明鸿混凝土有限责任公司,万润苑改造,4536cdeb3d03455b9befd6a29a260021,71c7b525fe54427786dec5f43588453d,商品混凝土,C15,立方米,116.0000000000,370.0000000000,327.4336283186,42920.0000000000
016da5e5afc24cea969520264d558575,RKD-20240725-011,2024-06-13,德阳市兴明鸿混凝土有限责任公司,万润苑改造,f3114a6c16ca446299ac06a7ccc4c558,51948c07f10740b69aa4300c2ff62911,商品混凝土,C20,M3,64.0000000000,395.0000000000,349.5575221239,25280.0000000000
01764d73c8114b9f9e496b6ee66d4086,RKD-20250120-006,2024-12-13,德阳市创纬贸易有限公司,,e221dc8ca0ab45aca9819e081df5f5b7,ab2cf413a91f4ee1a3ef1f27b8bc402e,连砂石,,立方米,15151.7400000000,103.0000000000,91.1504424779,1560629.2200000000
01ad2c40d0b047248d984e5b9b66409d,RKD-20231010-001,2021-11-20,旌阳区星龙机电经营部,,2383c10ce13a4450aa6a469102c0314d,b507a36dd2e143fca0da396e2534d8ac,电镐,107,台,2.0000000000,980.0000000000,970.2970000000,1960.0000000000
01ad2c40d0b047248d984e5b9b66409d,RKD-20231010-001,2021-11-20,旌阳区星龙机电经营部,,f5a821c40adb4930aeb767c7aa8e5983,6a1b61af9c7b46b6958e668d82a7abfb,喷雾泵,3kw,台,1.0000000000,1750.0000000000,1732.6700000000,1750.0000000000
01d5ea707a504b10b8a9088fcd9137bb,RKD-20230824-001,2023-08-24,德阳鹏正建材有限公司,三星堆环线基础设施改造,0cc6646df01348a19607474e79713971,10f05a44f00145418ba8c243370d5e89,5 芯带铠控制线缆,KVV225*2.5,米,985.0000000000,11.5000000000,10.1800000000,11327.5000000000
01d5ea707a504b10b8a9088fcd9137bb,RKD-20230824-001,2023-08-24,德阳鹏正建材有限公司,三星堆环线基础设施改造,186776c6e6b348af88c66521a6998ea3,ea05ca3ec6e14a25b2a367bfc788d693,10 芯带铠控制线缆,KVV2210*2.5,米,525.0000000000,22.0000000000,19.4700000000,11550.0000000000
01d5ea707a504b10b8a9088fcd9137bb,RKD-20230824-001,2023-08-24,德阳鹏正建材有限公司,三星堆环线基础设施改造,a71dcf62b35b48a08322ef91cf570504,ef01d514999a47bd8417bc4e48950bbc,5 芯控制线缆,KVV5*1.5,米,380.0000000000,6.8000000000,6.0200000000,2584.0000000000
02140ffa8e87496481884bc27b50cec9,RKD-20240328-004,2024-03-26,旌阳区安顺建材经营部,三星堆环线基础设施改造,14b6bd7a1753443b8b348d63537e3313,83af40a50928411d9bdaa78e85a46916,樟子松防腐木,3.7X5.7,米,800.0000000000,5.8500000000,5.7920000000,4680.0000000000
028092d685504bdab4a8f34dc4d2ea92,RKD-20240325-002,2024-03-22,南宁市东杭木业有限公司,二重厂西路等4条道路工程,46973fac24df42ea973708ded50eec30,c7dacb805e164651b473286369e3c147,建筑模板,1830*915*15mm,张,520.0000000000,47.0000000000,41.5920000000,24440.0000000000
03535cf61de7425ea2c855d0ba8593a0,RKD-20240731-010,2024-06-30,成都海鹰科技有限公司,,a10f65bb7a3146d79931e84fd1a009a4,c0405ab3352b4a478396062c4ea58602,乳化沥青,30#,吨,65.8130000000,1830.0000000000,1619.4692035398,120437.8000000000
03566d3e3f494fdf8c6d10a1eb2bb3a6,RKD-20240717-005,2024-06-30,四川晟博通达商贸有限公司,,03d83039e5974fc6b39fa8bee8a11263,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,C25,立方米,236.0000000000,378.0000000000,334.5132743363,89208.0000000000
03566d3e3f494fdf8c6d10a1eb2bb3a6,RKD-20240717-005,2024-06-30,四川晟博通达商贸有限公司,,39714748d3c84b95870f9d0ef61817ac,e379e5cf4f344af7a49a5fdad1b68f6c,花岗石盲道砖（含盲道加工）芝麻黑烧面,30×30×5cm,㎡,111.0600000000,194.1790000000,171.8400290682,21565.5500000000
03566d3e3f494fdf8c6d10a1eb2bb3a6,RKD-20240717-005,2024-06-30,四川晟博通达商贸有限公司,,6077b5ba8a0b4a4e8128ddc3f28b187f,fc1203fdeabb4f7fb2d30a7051504cd8,商品混凝土,C40P6,m3,140.5000000000,420.9020000000,372.4800000000,59136.7900000000
