id,legacy_project_id,project_code,name
1,00a4bb196d944fa5a8c56e3bd3f1e448,PRJ260001,德阳市罗江区鄢家镇高垭村山坪塘整治项目
2,00c73f013e234461883beac337e8d75d,PRJ260002,石亭江-绵远河生态廊道场地平整工程
3,00db8d3baa894d1e8efd7acd181f6499,PRJ260003,渝数科技公司重庆数字大厦第6层办公用房装修改造项目
4,0201344da1b74e008006a7a96f90be6f,PRJ260004,四川艺术职业学院消防隐患整治工程
5,020eddc09afb4260a5843a84ee58d826,PRJ260005,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）
6,027c5b467ae94e52aabb6f6218d310d4,PRJ260006,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）
7,02df67b4ddb6469b81ed551e9b544d25,PRJ260007,剑阁县文化广电新闻出版局人才基地建设项目
8,037fddc6219449c3840477989cc06f82,PRJ260008,中江县仓山镇郪江桥梁工程
9,03f8997135504039a36557ec6e57909b,PRJ260009,工程部后油库油罐清洗
10,045206e3bf2f49b6b6b544b1be1aff22,PRJ260010,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）
11,04c36990cc144f04b8f2423c36e5f713,PRJ260011,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力
12,04d0a65675424e41b8c65ba26ef48b4e,PRJ260012,中江公司变电检修班“工人先锋号”环境整治
13,05139ca820724561bee71e016b22fd55,PRJ260013,2022年日常维护项目（竞标12）
14,0550ea3a2e1b4161b25a697476e344b5,PRJ260014,准环对称仿星器项目
15,059742d9ac094c018b91894306d5fc2d,PRJ260015,ALC预制隔墙板供应及施工分包合同
16,069cd56871fd4307b836a3167fddf14b,PRJ260016,和田地区于田县高速公路10千伏线路迁改工程
17,06c94694eb3e418bb4ceb5e55a987583,PRJ260017,崴和路边坡滑坡治理
18,06cd855d5ede4a279a81568903836256,PRJ260018,白鹤花园修建建筑垃圾池
19,072425c9c9ad453eb60c137fd4215459,PRJ260019,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段
20,076d8bcae3064dca8927f4f629bf2356,PRJ260020,中国移动四川西区二枢纽“车库改机房”土建工程
21,07e6484cc40d4609b0bcafcf187dd9af,PRJ260021,德阳市天府旌城石亭江河段堤防改建给水迁改工程
22,080a2d8ee204424a8b7edd08817eee20,PRJ260022,2017年公路水毁修复工程（双石镇）
23,088193c97f1443b58f1489b321c1288a,PRJ260023,浪卡子县白地乡龙桑村水塘工程项目(1标段)
24,08ac2e586f574d39a3272852fa22bf71,PRJ260024,德昌县宽裕镇花园村文化休闲广场
25,08fa00e1bf9d4c88bcbfa652610aa347,PRJ260025,永川区卫星中型灌区续建配套与节水改造工程
26,092bc953078b42ab89b7a9d07fecab66,PRJ260026,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包
27,09a62a54dcf645d6b7030d40fbdac1cb,PRJ260027,林芝市财富阳光建设项目消防工程
28,09ba719dfd18431a951ec77d29ea6194,PRJ260028,焙浸车间硫酸罐区防腐项目工程
29,0a098ceefc5046c380028104a3caa2af,PRJ260029,中建天投天河区育新街南侧AT0304011-1地块项目
30,0b3b88a05d6d454b9cbbe6b4c3c342d5,PRJ260030,岳普湖县防沙治沙电力配套设施建设项目
31,0bb1dac8c9a94e39b421b3a619491c1f,PRJ260031,公司综合管理平台
32,0c028a6f51ea4e728448ce29b1e2eaab,PRJ260032,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目
33,0c4f914eee3547c185a2108fc1f768df,PRJ260033,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包
34,0c8c213e89204a6fb61a4c8ac79f0d4a,PRJ260034,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包
35,0cdd82e96265456494a1de15f36c433e,PRJ260035,何埂小学生化池及室外污水管网
36,0d21826a7ebb4dbfb7317338baaf57a0,PRJ260036,重庆文理学院2025年附属工程项目(不可预测的零星维修工程)
37,0dac2896cb43443eaaf4d5247683a40b,PRJ260037,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目
