staging_id,legacy_record_id,document_no,document_date,project_id,project_name,partner_id,partner_name,amount_total,classification,target_model,action
6144,ad11401ff35943ec8e13f319ed33ef85,FKD-20231012-006,2023-05-11,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,423,工资,-11869.19,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2617,4aaf8f23e7dc4c4fb1cecc1e6a873cd1,FKD-20231023-003,2023-05-16,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,318,四川华西集采电子商务有限公司,-5000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1417,28bfd35958f246a0a2f5ab33f9a69e80,FKD-20231023-004,2023-05-19,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,412,太平财产保险有限公司德阳中心支公司,-32996.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
9038,fd473f6a08fb42f39311f8bf0f223215,FKD-20231012-005,2023-05-19,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,171,中国太平洋财产保险股份有限公司德阳中心支公司,-27023.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5815,a44870403c6a4af09ed332037a6ec48b,FKD-20230925-010,2023-05-26,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,647,李德兴,-5274.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8181,e4cbf4abb19144e686f914c57fe7cfe2,FKD-20231007-010,2023-06-08,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,636,旌阳区黄许镇运红建材经营部,-3780.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4817,895ca364ec0649808807ccf270ce2116,FKD-20231023-005,2023-06-12,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,69,挂靠单位,-4000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1166,21ab1479fa1e423d84bedd3f4e9c1d27,FKD-20230626-001,2023-06-17,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,121,四川世旺鑫润商贸有限公司,-5000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1310,25be9b8fad304f06ac619ebde3db5e8b,FKD-20230626-002,2023-06-17,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,318,四川华西集采电子商务有限公司,-5000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3527,63aa01382dd443cd92f0cfcc3f7ca023,FKD-20231007-001,2023-07-05,6,二重厂西路等4条道路工程,686,肖文,-200000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8641,f2115785e87b4c94b620b9c74044792f,FKD-20230801-003,2023-07-24,54,SCBS未指定项目 - 德阳市区海旺建材经营部,150,德阳市区海旺建材经营部,-100000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4264,794609db3c04423dbd8a3ec9ab6a7dd3,FKD-20231102-003,2023-07-25,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,397,四川鑫垚建筑劳务有限公司,-1800000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7904,dca950568a8b46d89e0de02184190262,FKD-20231102-004,2023-08-16,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,397,四川鑫垚建筑劳务有限公司,-8500.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6091,abb4d44bdd1f4db99d0607c71c33a76a,FKD-20231102-013,2023-08-21,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,578,文楠,-1000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1319,25f1c3e0386b459d8c35c5c628a65ee3,FKD-20231007-002,2023-08-25,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,549,成都创仕达交通设施有限公司,-6779.5,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
295,08a6ab4dbda542a98856201c168eedf0,FKD-20231102-005,2023-09-07,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,397,四川鑫垚建筑劳务有限公司,-800000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1557,2c8985d662be42838b78b0f77116fd0f,FKD-20231102-007,2023-09-07,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,397,四川鑫垚建筑劳务有限公司,-132230.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4535,80a6ba3b9fce42478204d86d826e77a6,FKD-20231102-008,2023-09-08,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,397,四川鑫垚建筑劳务有限公司,-9000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1187,2276fe61a40f4e6087216ddc8ef6c317,FK-202309111435,2023-09-11,4,三星堆环线基础设施改造,707,陈加国,-3000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2800,4f675c6dff9044bab843be6c8368f6aa,FKD-20231011-001,2023-09-16,4,三星堆环线基础设施改造,664,湖南湘旭交安光电高科技股份有限公司,-18000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
7886,dc3ef723195d4b33a42fed2ef584fbec,FKD-20230927-055,2023-09-27,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,432,德阳中民招标代理有限公司,-600000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8680,f30e368bc4c44c3cb00abedc97050ff6,FKD-20230927-081,2023-09-27,6,二重厂西路等4条道路工程,318,四川华西集采电子商务有限公司,-40000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2403,44f239831ed34262815b86b0d9c20973,FKD-20230928-002,2023-09-28,19,凯江大回湾景区融合提升项目,713,高新区信洲机械租赁服务部,-5000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2138,3db259eec30c4faf86fb0f2b6262f8d8,FKD-20231007-003,2023-10-07,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,222,德阳建投建材有限公司,-124034.6,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
3242,5bdb2ddfaccf48d4b959ce1eaed6493d,FK-202311131444,2023-11-10,29,崴和路二标段,276,伟宸建设集团有限公司,-774603.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
