action,record_id,mapping_state,suggested_action,material_name,spec_model,uom_text,amount_total,material_catalog_id
created,1,conflict,manual_material_identity_required,商品混凝土,C25,m3,2021000.0,
created,2,conflict,manual_material_identity_required,镀锌钢管,DN25,吨,107800.0,
created,3,conflict,manual_material_identity_required,商品混凝土,C20,m3,100800.0,
created,4,conflict,manual_material_identity_required,汉邦高科监视器,HB-LED21.5A-2K/21.5寸,台,8000.0,
created,5,conflict,manual_material_identity_required,铸铁补芯,DN25*20,个,516.0,
created,6,conflict,manual_material_identity_required,钢格栅盖板,"\""1300*1800* 50mm\""",个,276.0,
created,7,conflict,manual_material_identity_required,铸铁盖板,400*500,块,42.0,
created,8,conflict,manual_material_identity_required,球墨铸铁井盖（消防）,700*800（100T）,个,20.0,
created,9,candidate,confirm_exact_text_catalog_or_create_new,连砂石,,立方米,2275319.81,
created,10,candidate,confirm_exact_text_catalog_or_create_new,机砂,,吨,825878.7,
created,11,candidate,confirm_exact_text_catalog_or_create_new,页岩砖,,匹,181958.0,
created,12,candidate,confirm_exact_text_catalog_or_create_new,碎石,,m3,152665.65,
created,13,candidate,review_name_spec_catalog_or_create_new,镀锌钢管,,吨,1068161.2,
created,14,candidate,review_name_spec_catalog_or_create_new,连砂石,,m3,875965.4,
created,15,candidate,review_name_spec_catalog_or_create_new,碎石,,t,863907.84,
created,16,candidate,review_name_spec_catalog_or_create_new,机制碎石,,m3,284400.0,
created,17,candidate,review_name_spec_catalog_or_create_new,机制砂,,吨,275696.0,
created,18,candidate,review_name_spec_catalog_or_create_new,板材,,批,259987.6,
created,19,candidate,review_name_spec_catalog_or_create_new,黄金麻,,M2,250000.0,
created,20,candidate,review_name_spec_catalog_or_create_new,花岗石,,M3,200000.0,
created,21,candidate,review_name_spec_catalog_or_create_new,连砂石,,m2,187000.0,
created,22,candidate,review_name_spec_catalog_or_create_new,防裂贴,,米,142398.0,
created,23,candidate,review_name_spec_catalog_or_create_new,不锈钢栏杆,,㎡,140400.0,
created,24,candidate,review_name_spec_catalog_or_create_new,真石漆,,kg,102227.4,
created,25,candidate,create_or_map_material_catalog,商品混凝土,C20,m3,4512350.84,
created,26,candidate,create_or_map_material_catalog,商品混凝土,C30,立方米,3158699.76,
created,27,candidate,create_or_map_material_catalog,商品混凝土,C35P8,立方米,2801890.0,
created,28,candidate,create_or_map_material_catalog,商品混凝土,C20,M3,2037999.74,
created,29,candidate,create_or_map_material_catalog,商品混凝土,C25,立方米,1948676.73,
created,30,candidate,create_or_map_material_catalog,沥青混凝土,改性AC-13,t,1659850.0,
created,31,candidate,create_or_map_material_catalog,承重内保温球墨铸铁井盖,700*75T,个,1508550.0,
created,32,candidate,create_or_map_material_catalog,商品混凝土,C30,m3,1116476.0,
created,33,candidate,create_or_map_material_catalog,砂石,机砂,吨,1017107.35,
created,34,candidate,create_or_map_material_catalog,二灰废料,,M3,1009716.0,
created,35,candidate,create_or_map_material_catalog,块石,200mm~800mm,m3,919010.0,
created,36,candidate,create_or_map_material_catalog,仿花岗石芝麻灰pc砖,300*600*50,平方,875200.88,
created,37,candidate,create_or_map_material_catalog,螺纹钢HRB400E,14,吨,863870.24,
created,38,candidate,create_or_map_material_catalog,烧结普通砖,240*115*53mm,匹,826390.44,
created,39,candidate,create_or_map_material_catalog,PC砖,,M2,802563.95,
created,40,candidate,create_or_map_material_catalog,pc砖,,平方米,800046.0,
created,41,candidate,create_or_map_material_catalog,仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,782998.19,
created,42,candidate,create_or_map_material_catalog,地铺石,300*600,,766078.0,
created,43,candidate,create_or_map_material_catalog,砂石,1-3石,吨,718978.12,
created,44,candidate,create_or_map_material_catalog,中粒式改性沥青砼,AC-20,吨,697200.0,
created,45,candidate,create_or_map_material_catalog,商品混凝土,C30P8,立方米,693620.0,
created,46,candidate,create_or_map_material_catalog,标砖,240*115*53,匹,668776.55,
created,47,candidate,create_or_map_material_catalog,商品混凝土,C15,立方米,659995.98,
created,48,candidate,create_or_map_material_catalog,干混地面砂浆,M20,t,616614.29,
created,49,candidate,create_or_map_material_catalog,沥青混凝土,AC-20C,m3,587572.77,
created,50,candidate,create_or_map_material_catalog,CPVC电力管,φ200*10mmSN≥8,m,561316.55,
