legacy_source_table,legacy_record_id
C_JXXP_ZYFPJJD_CB,a4f7c79ad11341049aa34ce1da50c703
C_JXXP_ZYFPJJD_CB,a9aa12fba6f84b978b59245bf119d755
C_JXXP_ZYFPJJD_CB,aacaa0fb23e046ca8bd53891446e69d2
C_JXXP_ZYFPJJD_CB,ad9fabe7851942ab8822738a03f08f8e
C_JXXP_ZYFPJJD_CB,adc63f7222ad4a5cbd99978c57704a2b
C_JXXP_ZYFPJJD_CB,ae52e434cec746989bc37a6017572dbf
C_JXXP_ZYFPJJD_CB,b0cc2e82471048db814eb630eab322b3
C_JXXP_ZYFPJJD_CB,b12249a3711b41ae9c2a326434ee4273
C_JXXP_ZYFPJJD_CB,b1bdcb516d6445b6bc9d4cff543d7954
C_JXXP_ZYFPJJD_CB,b1daf46423dc4b65be476deecd5901aa
C_JXXP_ZYFPJJD_CB,b27636d0542a4d168aa37d10c3baeb18
C_JXXP_ZYFPJJD_CB,b660338bb8c84acb86949c45d735f7ab
C_JXXP_ZYFPJJD_CB,b823ff8b96644f0a8c5cf64adc0e0111
C_JXXP_ZYFPJJD_CB,b82d9a7ce4c5417ea1bb459c20082eaa
C_JXXP_ZYFPJJD_CB,bc77640833de4ae0bea0086de4d88928
C_JXXP_ZYFPJJD_CB,c262cbf59aea446b96628130a4806fb8
C_JXXP_ZYFPJJD_CB,c2ac24aeba81492a93907ff82c379315
C_JXXP_ZYFPJJD_CB,c893fa7b29d04086b7a82060d52a410f
C_JXXP_ZYFPJJD_CB,c8b815ee133b4920b87a54ea1e1fabbe
C_JXXP_ZYFPJJD_CB,c99099f4d8344f8dbe11a513a9721459
C_JXXP_ZYFPJJD_CB,c9d02eed515646a5a89f9cba0e205dcd
C_JXXP_ZYFPJJD_CB,ccd4481b29ef4aaba90a680d3453949f
C_JXXP_ZYFPJJD_CB,cd5e239940f4422d88fa47f2044f573d
C_JXXP_ZYFPJJD_CB,ceaccfe5de58497cbfaa4a1d9fd8c8f4
C_JXXP_ZYFPJJD_CB,d1a64f660c8c42ec81ea761ab84a73d6
C_JXXP_ZYFPJJD_CB,d3aef07a711c4b879e511b0b4450569a
C_JXXP_ZYFPJJD_CB,d6186f0587204770b6ad85409636f112
C_JXXP_ZYFPJJD_CB,d919d8e6a37c4eb1b59fd6e67533036e
C_JXXP_ZYFPJJD_CB,df4bba1fbac740139160a25f9f746194
C_JXXP_ZYFPJJD_CB,df9f1e860c1d493e8c683b19cb662025
C_JXXP_ZYFPJJD_CB,e2645b2450474a95bfd30b9d3b59e807
C_JXXP_ZYFPJJD_CB,e8b73f9bc30b48b98c7151394742533e
C_JXXP_ZYFPJJD_CB,ea77eceab42d4198aa9f4769bc90072a
C_JXXP_ZYFPJJD_CB,ecc74e8a70a94f00976be6dff37f24d5
C_JXXP_ZYFPJJD_CB,f4c35ecb1383452dbff055eddf2e90a8
C_JXXP_ZYFPJJD_CB,f50d4a6610af48d7af960f690a8e3cb7
C_JXXP_ZYFPJJD_CB,f8d9c49f6cf84c89a135919e0ac28fd7
C_JXXP_ZYFPJJD_CB,fbe33a6b39d24bda88f8630ff16a2291
C_JXXP_ZYFPJJD_CB,fd40b500c4634c078d36714b4e1c2d9f
C_JXXP_ZYFPJJD_CB,fe65b6f706e04aaab676c60cf833a526
C_JXXP_ZYFPJJD_CB,fef67fada10c48d69224716bce424821
C_JXXP_ZYFPJJD_CB,ff62da4a31544dfd984bcd61d62457fd
