model,record_id,source_table,legacy_record_id,updated_fields
payment.request,30658,T_FK_Supplier,d20d7fa85e8c4440a5ee156e088c504f,legacy_record_id;legacy_source_table
payment.request,30654,T_FK_Supplier,d0305f8dab914b42ad006066272b958a,legacy_record_id;legacy_source_table
payment.request,30653,T_FK_Supplier,cffcdcbbbd154ba7a3385800eb9f7af8,legacy_record_id;legacy_source_table
payment.request,30652,T_FK_Supplier,cf999bbf1aa84e45a0ef0456e434ad8b,legacy_record_id;legacy_source_table
payment.request,30645,T_FK_Supplier,ccfe88fd605346d98582a2aaaa99f6e2,legacy_record_id;legacy_source_table
payment.request,30642,T_FK_Supplier,cc33117fa16b4363bf3c4bde7a24577d,legacy_record_id;legacy_source_table
payment.request,30641,T_FK_Supplier,ca9378ff07b04b17b4709e2a42c61aa9,legacy_record_id;legacy_source_table
payment.request,30640,T_FK_Supplier,c9b461e286ab4d7da3307a465115b627,legacy_record_id;legacy_source_table
payment.request,30639,T_FK_Supplier,c94901b5d49f4ee89b9a6ce8804fd749,legacy_record_id;legacy_source_table
payment.request,30638,T_FK_Supplier,c9237c35579f4a13997bf78354b1f3e3,legacy_record_id;legacy_source_table
payment.request,30636,T_FK_Supplier,c7f5537545564519b4a4fb2558b5b6da,legacy_record_id;legacy_source_table
payment.request,30633,T_FK_Supplier,c6cf9e96a2b5492ca32e57406b08c49b,legacy_record_id;legacy_source_table
payment.request,30632,T_FK_Supplier,c647bb07398d4f29b9be86be9109e7cb,legacy_record_id;legacy_source_table
payment.request,30631,T_FK_Supplier,c5def9093dfa4a3ca0837aedc3c335e6,legacy_record_id;legacy_source_table
payment.request,30628,T_FK_Supplier,c4536c02a876484489dbd0bdeee5c82a,legacy_record_id;legacy_source_table
payment.request,30627,T_FK_Supplier,c42f68df1c814e0f99b4fc31966fc12b,legacy_record_id;legacy_source_table
payment.request,30623,T_FK_Supplier,c1c538589dec44d8963e69de804c8886,legacy_record_id;legacy_source_table
payment.request,30622,T_FK_Supplier,c15c29963ba44ec1ab6a469934e3ee0f,legacy_record_id;legacy_source_table
payment.request,30617,T_FK_Supplier,bfe39bbe634943628db1d325c5f0627b,legacy_record_id;legacy_source_table
payment.request,30611,T_FK_Supplier,bceffe33adff4ffd9f3fd531586f511a,legacy_record_id;legacy_source_table
payment.request,30610,T_FK_Supplier,bcca4163ffaa4f268d61d172901f5b4b,legacy_record_id;legacy_source_table
payment.request,30609,T_FK_Supplier,bcc6280ed77b473592185e1dce801849,legacy_record_id;legacy_source_table
payment.request,30608,T_FK_Supplier,bc90044ee5d64f2893d853d21f93e7bb,legacy_record_id;legacy_source_table
payment.request,30607,T_FK_Supplier,bb98777c2f104e00bb76bdd540ffef7e,legacy_record_id;legacy_source_table
payment.request,30603,T_FK_Supplier,ba93bff394e4471ba1d8cfed6db3bcbb,legacy_record_id;legacy_source_table
payment.request,30602,T_FK_Supplier,b9a0938b521c412d8638b727f94d64ce,legacy_record_id;legacy_source_table
payment.request,30601,T_FK_Supplier,b8926074b18c458c893a03ecbddc9de9,legacy_record_id;legacy_source_table
payment.request,30600,T_FK_Supplier,b7f35342123a4325b09f00a51a8bbc69,legacy_record_id;legacy_source_table
payment.request,30592,T_FK_Supplier,b49eea33fbae4a33822bf1c9910831e3,legacy_record_id;legacy_source_table
payment.request,30589,T_FK_Supplier,b35eaece0b7d4b40a8303d369e3c40e5,legacy_record_id;legacy_source_table
payment.request,30586,T_FK_Supplier,b285cd5e4cc24d17a31bbd601c6245af,legacy_record_id;legacy_source_table
payment.request,30583,T_FK_Supplier,b1b446f29a2c475a9ff9f892a0060bff,legacy_record_id;legacy_source_table
