fact_family,source_rows,source_amount,formal_rows,formal_amount,residual_rows,residual_amount,delta_amount,status,note
payment,6905,239883709.0200002,6905,239883709.02000016,0,0,2.9802322387695312e-08,PASS_STRICT_AMOUNT_CLOSED,positive project-confirmed rows written to payment execution; negative project-confirmed rows written to historical adjustment facts; no-project rows written to enterprise facts or registered
supplier_contract,1023,138749122.27,1023,138749122.27,0,0,0.0,PASS_STRICT_AMOUNT_CLOSED,project-confirmed rows written; no-project rows written to enterprise facts or registered
stock_in,403,40862655.20000001,400,40871509.2,0,0,-8853.99999999255,PASS_WITH_HEADER_LINE_POLICY_DELTA,formal amount follows legacy line facts; source amount is header signal; expected delta is -8854.00
fund_daily,3798,1290762428.6400077,3798,1290762428.6400077,0,0.0,0.0,PASS_ENTERPRISE_DOCUMENT_CLOSED,enterprise business-entity fund daily documents written without project binding
inactive_residual,3094,310053346.31999964,0,0.0,3094,310053346.31999964,0.0,PASS_ARCHIVED_RESIDUAL_REGISTERED,inactive dirty/non-business rows are excluded from operational projection
