staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,reason
10985,6208f82be70c456e9d10f1297f2f69ce,RKD-202303122300,867,SCBS未指定项目 - 公司综合平台,0.0,0,0,missing_legacy_lines
10777,14ab8241292345458c56000305af8adf,RKD-202303361850,867,SCBS未指定项目 - 公司综合平台,0.0,0,0,missing_legacy_lines
10970,5c53ccbef39d4f2caafb80c0c9694fcd,RKD-202303472040,868,SCBS未指定项目 - 陕西煤业化工建设(集团)有限公司洗选煤运营分公司,0.0,0,0,missing_legacy_lines
