neutral_id,legacy_member_id,legacy_project_id,project_id,user_id,role_fact_status,import_batch
1,00032811652544fba3fd87810a5191c8,74a80ab7582e4672815771b3b2c10fbe,354,101,missing,project_member_neutral_xml_v1
2,000eebe41c52456390ebe355f0dadd7d,b7f07bc4b72c4cd29b5d1b445b499386,553,17,missing,project_member_neutral_xml_v1
3,00132482cf5648ae860805acddc4274e,d75424f3247646c395ff5edd2ab1b1f9,636,85,missing,project_member_neutral_xml_v1
4,00155cf5a08d4922b8b88a52bdf1952a,dcd315ee82ba47d6a463c3090abd9577,654,15,missing,project_member_neutral_xml_v1
5,0016bbe65ef64061909babaae2c7321e,eaec532f7b9b47a4bf4c0c2989290a70,701,37,missing,project_member_neutral_xml_v1
6,0017ABF7-E0E7-4318-BE32-B6F6759C88CF,68d2896f3eaf4682b902117d4dcda350,326,78,missing,project_member_neutral_xml_v1
7,00183ffd192d448c9b15706704ccd94b,7c38d18f4d2e4ab6818f9527e46cce15,378,17,missing,project_member_neutral_xml_v1
8,001973ef3e3b475db5e38988862ce1f0,1428742882bf4fc5988efcc289c8d5e8,55,26,missing,project_member_neutral_xml_v1
9,001a18b97964406b82ca60d5a9132d6c,ce7524b7223d46e8974e48044decb355,611,34,missing,project_member_neutral_xml_v1
10,001c1943521e453abc327cd451658ac0,57925b24d00a47ddafa39631e8df9951,284,107,missing,project_member_neutral_xml_v1
11,001e963bf5fc4f6b8d7e23687c1c83cc,409e165a85264d6c9e22085d02dcd09a,201,45,missing,project_member_neutral_xml_v1
12,00206696266e48f78c77c54dae90e245,52dbcbcb460349ecac1ec682f9129b29,268,102,missing,project_member_neutral_xml_v1
13,0026dafd3d9c425eb51feaf6ce0af2cd,791aca08955c42f088311447b7b70e38,370,37,missing,project_member_neutral_xml_v1
14,002F9A18-8383-4116-A464-C42C84D733AA,f947d45769804682af3a6233ff0b5d0d,740,78,missing,project_member_neutral_xml_v1
15,002F9A98-D361-4EF9-B876-0F9033A37367,800fb4620f6f4afca71708d0da82500f,391,85,missing,project_member_neutral_xml_v1
16,002ad355c10b4b1f96b1c1979f08d60f,52278e622558409db167eca9eba8c8b8,266,7,missing,project_member_neutral_xml_v1
17,002cea17eaef4fce9da7ef9c86ce530c,ecd2fbc747a541cca5ec8572052e2451,708,28,missing,project_member_neutral_xml_v1
18,002e7c3194f941c38dbd40fae0c0b6a1,9679632240d74ff9bd55e0c7b26a0d07,461,101,missing,project_member_neutral_xml_v1
19,00311eb5fac1498dafa7285275bbeba4,5d3979512ead4bd8a20d8053164a516a,298,45,missing,project_member_neutral_xml_v1
20,0033271c06cc46b4b5b204e84ebdb119,8f874aff67254dde80a7b2a2c63ba91e,445,16,missing,project_member_neutral_xml_v1
21,003931EA-DDDE-4203-A80A-85A2448A9E85,11e56ccc546e4532a323597457133e8c,48,87,missing,project_member_neutral_xml_v1
