request_id,name,type,project_id,contract_id,partner_id,amount,date_request,state,legacy_receipt_id
25430,PRQ2625430,receive,564,,30223,10000.0,2023-05-05,draft,00351b540d6d426e82ba3491a0944f49
25431,PRQ2625431,receive,237,,30267,21016.0,2020-04-02,draft,003a2b2e1c2246debf30d768154b9c22
25432,PRQ2625432,receive,326,1106,19465,500000.0,2023-12-14,draft,003b6d460ab5436e87f7915e29782380
25433,PRQ2625433,receive,485,774,19739,100000.0,2023-06-19,draft,003f18cf3a964e6c8c9815f9f10bab0c
25434,PRQ2625434,receive,134,,29394,22100.0,2026-01-12,draft,004756fa95f1474ca69e9396249c748f
25435,PRQ2625435,receive,553,,30310,11413.12,2021-05-08,draft,0049e3a0ff644914b455f2bcf69eb1e1
25436,PRQ2625436,receive,158,,30242,60000.0,2021-09-03,draft,005bc7575ee5438486199336a9608546
25437,PRQ2625437,receive,710,,30195,84000.0,2023-07-20,draft,007e969edc1f4a838619d0daa60a6294
25438,PRQ2625438,receive,141,1173,19383,500000.0,2019-12-11,draft,007ff91f7ad3460fbc748d74fcc466ca
25439,PRQ2625439,receive,451,,30195,38488.8,2020-10-09,draft,0087d4690fd645d4bb2b55b3291c0863
25440,PRQ2625440,receive,473,1217,19756,372278.72,2023-05-26,draft,00bb9da4a6b2477caab339b298a561a2
25441,PRQ2625441,receive,612,,28724,635627.72,2023-09-05,draft,00e8469534214d8f9fd3a571e04958c0
25442,PRQ2625442,receive,627,1367,27026,862129.28,2024-09-04,draft,01387ab522b6472cb4f8b72a16c80f21
25443,PRQ2625443,receive,87,1103,19341,696091.06,2024-09-24,draft,015f38f1d67f493fa63263d177f2d627
25444,PRQ2625444,receive,555,,30195,5800.0,2025-03-24,draft,016034c373384baa956acc0f85152131
25445,PRQ2625445,receive,754,45,19240,100000.0,2024-02-07,draft,016f3b632651405fac6f86afc40636ba
25446,PRQ2625446,receive,172,1260,19989,1798792.5,2023-12-05,draft,0183fb667b644346ab4801ac416b1616
25447,PRQ2625447,receive,699,,30195,70000.0,2023-04-03,draft,0184e43b13854632b8047e2d73ae43f0
25448,PRQ2625448,receive,170,13,20061,1180907.11,2025-01-14,draft,0186d45d77ac40d0a460dfdcd64d1cfe
25449,PRQ2625449,receive,91,,30214,20030.94,2022-11-01,draft,01872824143747d5867c088df0951c19
25450,PRQ2625450,receive,428,58,19937,151900.0,2024-08-20,draft,0197327cb828466a8049633a896008ad
