action_type,xmlid,name,res_model,view_mode,binding_type,groups
act_window,sms.sms_template_action,Templates,sms.template,"tree,form",action,
act_window,snailmail.action_mail_letters,Snailmail Letters,snailmail.letter,"form,tree",action,
act_window,payment.action_payment_provider,Payment Providers,payment.provider,"kanban,tree,form",action,
act_window,payment.action_payment_method,Payment Methods,payment.method,"tree,kanban,form",action,
act_window,account.action_account_payments,Customer Payments,account.payment,"tree,kanban,form,graph,activity",action,
act_window,account.action_account_payments_payable,Vendor Payments,account.payment,"tree,kanban,form,graph,activity",action,
act_window,account.action_move_out_invoice_type,Invoices,account.move,"tree,kanban,form,activity",action,
act_window,account.action_move_out_refund_type,Credit Notes,account.move,"tree,kanban,form,activity",action,
act_window,account.action_move_in_invoice_type,Bills,account.move,"tree,kanban,form,activity",action,
act_window,account.action_move_in_refund_type,Refunds,account.move,"tree,kanban,form,activity",action,
act_window,account.action_tax_form,Taxes,account.tax,"tree,kanban,form",action,
act_window,account.action_payment_term_form,Payment Terms,account.payment.term,"tree,kanban,form",action,
act_window,account.action_account_supplier_accounts,Bank Accounts,res.partner.bank,"tree,form",action,
act_window,account.product_product_action_sellable,Products,product.template,"kanban,tree,form,activity",action,
act_window,account.product_product_action_purchasable,Products,product.template,"kanban,tree,form,activity",action,
act_window,account.action_account_invoice_report_all,Invoices Analysis,account.invoice.report,"graph,pivot",action,
act_window,account.action_account_fiscal_position_form,Fiscal Positions,account.fiscal.position,"tree,kanban,form",action,
act_window,account.res_partner_action_customer,Customers,res.partner,"kanban,tree,form",action,
act_window,account.res_partner_action_supplier,Vendors,res.partner,"kanban,tree,form",action,
act_window,project.project_project_stage_configure,Project Stages,project.project.stage,"tree,kanban,form",action,
act_window,project.open_view_project_all_group_stage,Projects,project.project,"kanban,tree,form,calendar,activity",action,
act_window,project.open_view_project_all_config,Projects,project.project,"tree,kanban,form",action,
act_window,project.open_view_project_all_config_group_stage,Projects,project.project,"tree,kanban,form,calendar,activity",action,
act_window,project.action_view_all_task,All Tasks,project.task,"tree,kanban,form,calendar,pivot,graph,activity",action,
act_window,project.project_tags_action,Tags,project.tags,"tree,form",action,
act_window,project.mail_activity_plan_action_config_project_task_plan,Activity Plans,mail.activity.plan,"tree,form",action,
act_window,project.mail_activity_type_action_config_project_types,Activity Types,mail.activity.type,"tree,form",action,
act_window,project.action_project_task_user_tree,Tasks Analysis,report.project.task.user,"graph,pivot",action,
act_window,spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,Dashboards,spreadsheet.dashboard.group,"tree,form",action,
act_window,stock.action_stock_scrap,Scrap Orders,stock.scrap,"tree,form,kanban,pivot,graph",action,
act_window,stock.action_warehouse_form,Warehouses,stock.warehouse,"tree,form",action,
act_window,stock.stock_move_line_action,Moves History,stock.move.line,"tree,kanban,pivot,form",action,
act_window,stock.action_picking_type_list,Operations Types,stock.picking.type,"tree,form",action,
act_window,stock.stock_picking_type_action,Inventory Overview,stock.picking.type,"kanban,form",action,
act_window,stock.stock_move_action,Move Analysis,stock.move,"tree,form",action,
act_window,stock.action_product_stock_view,Stock,product.product,"tree,form",action,
act_window,stock.product_template_action_product,Products,product.template,"kanban,tree,form",action,
act_window,stock.action_orderpoint,Reordering Rules,stock.warehouse.orderpoint,"tree,kanban,form",action,
act_window,purchase.product_normal_action_puchased,Products,product.template,"kanban,tree,form,activity",action,
act_window,purchase.purchase_rfq,Requests for Quotation,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,
act_window,purchase.purchase_form_action,Purchase Orders,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,
act_window,stock_account.stock_valuation_layer_action,Stock Valuation,stock.valuation.layer,"tree,form,pivot",action,
act_window,stock_account.inventory_aging_action,Inventory Aging,stock.valuation.layer,"pivot,tree,graph",action,
