xmlid_local,res_model,file
action_construction_contract,construction.contract,addons/smart_construction_core/views/core/contract_views.xml
action_construction_contract_income,construction.contract,addons/smart_construction_core/views/core/contract_views.xml
action_construction_contract_expense,construction.contract,addons/smart_construction_core/views/core/contract_views.xml
action_project_budget,project.budget,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_cost_code,project.cost.code,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_cost_compare,project.cost.compare,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_profit_compare,project.profit.compare,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_cost_ledger,project.cost.ledger,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_budget_cost_alloc,project.budget.cost.alloc,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_budget_quick,project.budget,addons/smart_construction_core/views/core/project_views.xml
action_project_cost_ledger_quick,project.cost.ledger,addons/smart_construction_core/views/core/project_views.xml
action_project_progress_quick,project.progress.entry,addons/smart_construction_core/views/core/project_views.xml
action_project_boq_line,project.boq.line,addons/smart_construction_core/views/core/boq_views.xml
action_project_boq_line_analysis,project.boq.line,addons/smart_construction_core/views/core/boq_views.xml
action_project_progress_entry,project.progress.entry,addons/smart_construction_core/views/core/cost_domain_views.xml
action_project_budget,project.budget,addons/smart_construction_core/views/core/project_budget_views.xml
action_project_contract,project.contract,addons/smart_construction_core/views/core/project_contract_views.xml
action_project_structure,sc.project.structure,addons/smart_construction_core/views/core/project_structure_views.xml
action_project_wbs,construction.work.breakdown,addons/smart_construction_core/views/core/cost_domain_views.xml
