role,action_xmlid,action_name,res_model,view_mode,has_groups,groups_xmlids,visible
demo_pm,payment.action_payment_provider,Payment Providers,payment.provider,"kanban,tree,form",0,,1
demo_pm,payment.action_payment_method,Payment Methods,payment.method,"tree,kanban,form",0,,1
demo_pm,account.action_account_payments,Customer Payments,account.payment,"tree,kanban,form,graph,activity",0,,1
demo_pm,account.action_account_payments_payable,Vendor Payments,account.payment,"tree,kanban,form,graph,activity",0,,1
demo_pm,account.action_move_out_invoice_type,Invoices,account.move,"tree,kanban,form,activity",0,,1
demo_pm,account.action_move_out_refund_type,Credit Notes,account.move,"tree,kanban,form,activity",0,,1
demo_pm,account.action_move_in_invoice_type,Bills,account.move,"tree,kanban,form,activity",0,,1
demo_pm,account.action_move_in_refund_type,Refunds,account.move,"tree,kanban,form,activity",0,,1
demo_pm,account.action_account_journal_form,Journals,account.journal,"tree,kanban,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_pm,account.action_account_journal_group_list,Journal Groups,account.journal.group,"tree,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_pm,account.action_tax_form,Taxes,account.tax,"tree,kanban,form",0,,1
demo_pm,account.action_payment_term_form,Payment Terms,account.payment.term,"tree,kanban,form",0,,1
demo_pm,account.action_account_supplier_accounts,Bank Accounts,res.partner.bank,"tree,form",0,,1
demo_pm,account.product_product_action_sellable,Products,product.template,"kanban,tree,form,activity",0,,1
demo_pm,account.product_product_action_purchasable,Products,product.template,"kanban,tree,form,activity",0,,1
demo_pm,account.action_account_invoice_report_all,Invoices Analysis,account.invoice.report,"graph,pivot",0,,1
demo_pm,account.action_account_config,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_pm,account.action_account_fiscal_position_form,Fiscal Positions,account.fiscal.position,"tree,kanban,form",0,,1
demo_pm,account.res_partner_action_customer,Customers,res.partner,"kanban,tree,form",0,,1
demo_pm,account.res_partner_action_supplier,Vendors,res.partner,"kanban,tree,form",0,,1
demo_pm,account.action_incoterms_tree,Incoterms,account.incoterms,"tree,form",1,smart_construction_core.group_sc_cap_finance_manager,0
demo_pm,project.project_share_wizard_action,Share Project,project.share.wizard,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_pm,project.action_send_mail_project_project,Send Email,mail.compose.message,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_pm,project.open_view_project_all,Projects,project.project,"kanban,tree,form",1,smart_construction_core.group_sc_cap_project_read,1
demo_pm,project.open_view_project_all_config,Projects,project.project,"tree,kanban,form",0,,1
demo_pm,project.action_view_all_task,All Tasks,project.task,"tree,kanban,form,calendar,pivot,graph,activity",0,,1
demo_pm,project.project_tags_action,Tags,project.tags,"tree,form",0,,1
demo_pm,project.project_config_settings_action,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_pm,project.mail_activity_plan_action_config_project_task_plan,Activity Plans,mail.activity.plan,"tree,form",0,,1
demo_pm,project.mail_activity_type_action_config_project_types,Activity Types,mail.activity.type,"tree,form",0,,1
demo_pm,project.action_project_task_user_tree,Tasks Analysis,report.project.task.user,"graph,pivot",0,,1
demo_pm,spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,Dashboards,spreadsheet.dashboard.group,"tree,form",0,,1
demo_pm,stock.action_stock_scrap,Scrap Orders,stock.scrap,"tree,form,kanban,pivot,graph",0,,1
demo_pm,stock.action_warehouse_form,Warehouses,stock.warehouse,"tree,form",0,,1
demo_pm,stock.stock_move_line_action,Moves History,stock.move.line,"tree,kanban,pivot,form",0,,1
demo_pm,stock.action_picking_tree_incoming,Receipts,stock.picking,"tree,kanban,form,calendar,activity",1,stock.group_stock_user,0
demo_pm,stock.action_picking_tree_outgoing,Deliveries,stock.picking,"tree,kanban,form,calendar,activity",1,stock.group_stock_user,0
demo_pm,stock.action_picking_type_list,Operations Types,stock.picking.type,"tree,form",0,,1
demo_pm,stock.stock_picking_type_action,Inventory Overview,stock.picking.type,"kanban,form",0,,1
demo_pm,stock.stock_move_action,Move Analysis,stock.move,"tree,form",0,,1
demo_pm,stock.action_product_stock_view,Stock,product.product,"tree,form",0,,1
demo_pm,stock.product_template_action_product,Products,product.template,"kanban,tree,form",0,,1
demo_pm,stock.action_orderpoint,Reordering Rules,stock.warehouse.orderpoint,"tree,kanban,form",0,,1
demo_pm,stock.action_stock_config_settings,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_pm,project_sms.project_project_act_window_sms_composer,Send SMS Text Message,sms.composer,form,1,smart_construction_core.group_sc_super_admin;base.group_system,0
demo_pm,purchase.product_normal_action_puchased,Products,product.template,"kanban,tree,form,activity",0,,1
demo_pm,purchase.purchase_rfq,Requests for Quotation,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",0,,1
demo_pm,purchase.purchase_form_action,Purchase Orders,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",0,,1
demo_pm,purchase.action_purchase_configuration,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_pm,purchase.action_purchase_order_report_all,Purchase Analysis,purchase.report,"graph,pivot",1,purchase.group_purchase_user,0
demo_pm,stock_account.stock_valuation_layer_action,Stock Valuation,stock.valuation.layer,"tree,form,pivot",0,,1
demo_pm,stock_account.inventory_aging_action,Inventory Aging,stock.valuation.layer,"pivot,tree,graph",0,,1
demo_cost,base.action_decimal_precision_form,Decimal Accuracy,decimal.precision,"tree,form",0,,1
demo_cost,base.ir_sequence_actions,Actions,ir.actions.actions,"tree,form",0,,1
demo_cost,base.ir_action_report,Reports,ir.actions.report,"tree,form",0,,1
demo_cost,base.ir_action_window,Window Actions,ir.actions.act_window,"tree,form",0,,1
demo_cost,base.ir_client_actions_report,Client Actions,ir.actions.client,"tree,form",0,,1
