partner_id,legacy_partner_source,legacy_partner_id,name,customer_rank,supplier_rank,action
8808,xlsx_supplier_cooperat_company,name:成都长红润晨建材有限公司,成都长红润晨建材有限公司,0,1,create_new_xlsx_identity
8809,xlsx_supplier_cooperat_company,name:新疆凌新建筑工程有限公司,新疆凌新建筑工程有限公司,0,1,create_new_xlsx_identity
8810,xlsx_supplier_cooperat_company,name:旌阳区忠明工程机械设备租赁服务部,旌阳区忠明工程机械设备租赁服务部.,0,1,create_new_xlsx_identity
8811,xlsx_supplier_cooperat_company,name:旌阳区星龙机电经营部,旌阳区星龙机电经营部,0,1,create_new_xlsx_identity
8812,xlsx_supplier_cooperat_company,name:旌阳区睿行达建筑材料经营部,旌阳区睿行达建筑材料经营部,0,1,create_new_xlsx_identity
8813,xlsx_supplier_cooperat_company,name:旌阳区裕鑫五金经营部,旌阳区裕鑫五金经营部,0,1,create_new_xlsx_identity
8814,xlsx_supplier_cooperat_company,name:旌阳区金益建材经营部,旌阳区金益建材经营部,0,1,create_new_xlsx_identity
8815,xlsx_supplier_cooperat_company,name:旌阳区鑫宇建材经营部,旌阳区鑫宇建材经营部,0,1,create_new_xlsx_identity
8816,xlsx_supplier_cooperat_company,name:旌阳区雷盾电动门维修经营部,旌阳区雷盾电动门维修经营部,0,1,create_new_xlsx_identity
8817,xlsx_supplier_cooperat_company,name:普格县顺达经营部,普格县顺达经营部,0,1,create_new_xlsx_identity
8818,xlsx_supplier_cooperat_company,name:永川区启乘机械设备租赁经营部个体工商户,永川区启乘机械设备租赁经营部（个体工商户）,0,1,create_new_xlsx_identity
8819,xlsx_supplier_cooperat_company,name:永州市智博工程有限公司,永州市智博工程有限公司,0,1,create_new_xlsx_identity
8820,xlsx_supplier_cooperat_company,name:江津区恒峰铝合金加工经营部,江津区恒峰铝合金加工经营部,0,1,create_new_xlsx_identity
8821,xlsx_supplier_cooperat_company,name:深圳市正泓融资担保有限公司,深圳市正泓融资担保有限公司,0,1,create_new_xlsx_identity
8822,xlsx_supplier_cooperat_company,name:渝北区鸣谦机械设备租赁站,渝北区鸣谦机械设备租赁站,0,1,create_new_xlsx_identity
8823,xlsx_supplier_cooperat_company,name:璧山区林建工程机械租赁经营部,璧山区林建工程机械租赁经营部,0,1,create_new_xlsx_identity
8824,xlsx_supplier_cooperat_company,name:疏附县华拓机械租赁部,疏附县华拓机械租赁部,0,1,create_new_xlsx_identity
8825,xlsx_supplier_cooperat_company,name:绵竹市辰之兴工程管理服务部,绵竹市辰之兴工程管理服务部,0,1,create_new_xlsx_identity
8826,xlsx_supplier_cooperat_company,name:绵阳市游仙区福贵工程机械租赁部,绵阳市游仙区福贵工程机械租赁部,0,1,create_new_xlsx_identity
8827,xlsx_supplier_cooperat_company,name:绵阳源来志承油脂销售有限公司,绵阳源来志承油脂销售有限公司,0,1,create_new_xlsx_identity
8828,xlsx_supplier_cooperat_company,name:绵阳精运物流服务有限公司,绵阳精运物流服务有限公司,0,1,create_new_xlsx_identity
8829,xlsx_supplier_cooperat_company,name:绵阳鑫泰水泥制品有限公司,绵阳鑫泰水泥制品有限公司,0,1,create_new_xlsx_identity
8830,xlsx_supplier_cooperat_company,name:荣昌区昌州街道如鸿挖掘机租赁站,荣昌区昌州街道如鸿挖掘机租赁站,0,1,create_new_xlsx_identity
8831,xlsx_supplier_cooperat_company,name:西藏景胜工程技术有限公司,西藏景胜工程技术有限公司,0,1,create_new_xlsx_identity
8832,xlsx_supplier_cooperat_company,name:遂宁市祥通建材有限公司,遂宁市祥通建材有限公司,0,1,create_new_xlsx_identity
8833,xlsx_supplier_cooperat_company,name:重庆伟翰建筑设备租赁有限公司,重庆伟翰建筑设备租赁有限公司,0,1,create_new_xlsx_identity
8834,xlsx_supplier_cooperat_company,name:重庆图南供应链有限公司,重庆图南供应链有限公司,0,1,create_new_xlsx_identity
