model,id,legacy_material_id,name,code
sc.material.catalog,190,7f561e416abb4f5f9d75874168c9d3b5,轨道,SCBS-7f561e416abb4f5f9d758741
sc.material.catalog,191,4037ae54aad84088a58e1d669b0263ee,钢材,SCBS-4037ae54aad84088a58e1d66
sc.material.catalog,192,a432c1b3f0de49599091fcfa5ef198b7,水泥,SCBS-a432c1b3f0de49599091fcfa
sc.material.catalog,193,0ad0d7d3f5534ea596038308fd2ec268,木工板,SCBS-0ad0d7d3f5534ea596038308
sc.material.catalog,194,c398b848463f4a3185035d1c9fe457dc,木方,SCBS-c398b848463f4a3185035d1c
sc.material.catalog,195,6167a606904849c0b731d8b4a7d238f3,土工布,SCBS-6167a606904849c0b731d8b4
sc.material.catalog,196,e118da9e956e4ed2a69b18bbe86e1f21,级配碎石,SCBS-e118da9e956e4ed2a69b18bb
sc.material.catalog,197,6105c49e68d74956aa18d8cbf11074de,安全帽,SCBS-6105c49e68d74956aa18d8cb
sc.material.catalog,198,0df35e3b058849078ec4ca29c5a779bc,镀锌管,SCBS-0df35e3b058849078ec4ca29
sc.material.catalog,199,dffdae95ea124f17ad106fe6b12c9714,打印机,SCBS-dffdae95ea124f17ad106fe6
sc.material.catalog,200,9e6fb4563a9c4c0d98eb53e7f4558b68,防火漆,SCBS-9e6fb4563a9c4c0d98eb53e7
sc.material.catalog,201,e4cfc811d0514aa4a5f51aeece2d5d3f,堵漏剂,SCBS-e4cfc811d0514aa4a5f51aee
sc.material.catalog,202,3771d1189d054fcc86be5844176c66d3,空心砖,SCBS-3771d1189d054fcc86be5844
sc.material.catalog,203,5a21094b554c4411bd688cf7d2f08ba8,防盗门,SCBS-5a21094b554c4411bd688cf7
sc.material.catalog,204,8dfd47e3962842bea71d036d070f6748,盖土网,SCBS-8dfd47e3962842bea71d036d
sc.material.catalog,205,33001,砂浆王,SCBS-33001
sc.material.catalog,206,1d978a1d2bc14da881a4173a948965bf,百叶窗,SCBS-1d978a1d2bc14da881a4173a
