fact_family,staging_id,legacy_record_id,document_no,project_id,project_name,amount_total,reason
payment_negative,3688,6861abf9b449404b8fc6835a10eec138,FKD-20240821-020,812,SCBS未指定项目 - 四川晟博通达商贸有限公司,-8640.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6038,aa3c51b1b6cd4fceb2706b6bf8e22231,FKD-20240821-002,818,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-28094.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6541,b725a63008234aa8a45ad16e52644331,FKD-20231012-046,817,SCBS未指定项目 - 四川迈投建筑工程有限公司,-17340.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1898,36fa99f595c54603a41647002288b515,FKD-20231012-043,817,SCBS未指定项目 - 四川迈投建筑工程有限公司,-88364.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6773,bdf45aa04b964f0ebb436949c04e293f,FKD-20240821-004,818,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-19015.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5643,9f23c95565d14296abc2a73ce3fad5f4,FKD-20231007-005,816,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-150000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8142,e3a1b6a6941f4d0a9cfc8722a1f3c185,FKD-20240821-003,818,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-25000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4279,79895135063d45668152b1914766fa1e,FKD-20231012-045,817,SCBS未指定项目 - 四川迈投建筑工程有限公司,-49527.8,negative_payment_requires_refund_or_reversal_target
payment_negative,904,19a990013dc549f39dbb888698664b64,FKD-20231012-047,817,SCBS未指定项目 - 四川迈投建筑工程有限公司,-196115.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2971,5410995755e54d8b87af91b9b6120879,FKD-20230920-057,818,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-3848.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5721,a1776af7da16430483f67f30bc8ce8bf,FKD-20231012-037,817,SCBS未指定项目 - 四川迈投建筑工程有限公司,-6622.2,negative_payment_requires_refund_or_reversal_target
