fact_family,staging_id,legacy_record_id,document_no,project_id,project_name,amount_total,reason
payment_negative,3527,63aa01382dd443cd92f0cfcc3f7ca023,FKD-20231007-001,6,二重厂西路等4条道路工程,-200000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8641,f2115785e87b4c94b620b9c74044792f,FKD-20230801-003,54,SCBS未指定项目 - 德阳市区海旺建材经营部,-100000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4264,794609db3c04423dbd8a3ec9ab6a7dd3,FKD-20231102-003,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-1800000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7904,dca950568a8b46d89e0de02184190262,FKD-20231102-004,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-8500.0,negative_payment_requires_refund_or_reversal_target
payment_negative,250,076b99b4a4bf4f8791bde6e4a5c6ba71,FKD-20231023-016,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-4500000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6091,abb4d44bdd1f4db99d0607c71c33a76a,FKD-20231102-013,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-1000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1319,25f1c3e0386b459d8c35c5c628a65ee3,FKD-20231007-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-6779.5,negative_payment_requires_refund_or_reversal_target
payment_negative,295,08a6ab4dbda542a98856201c168eedf0,FKD-20231102-005,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-800000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1557,2c8985d662be42838b78b0f77116fd0f,FKD-20231102-007,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-132230.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4535,80a6ba3b9fce42478204d86d826e77a6,FKD-20231102-008,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-9000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1187,2276fe61a40f4e6087216ddc8ef6c317,FK-202309111435,4,三星堆环线基础设施改造,-3000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2800,4f675c6dff9044bab843be6c8368f6aa,FKD-20231011-001,4,三星堆环线基础设施改造,-18000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7886,dc3ef723195d4b33a42fed2ef584fbec,FKD-20230927-055,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-600000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8680,f30e368bc4c44c3cb00abedc97050ff6,FKD-20230927-081,6,二重厂西路等4条道路工程,-40000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2403,44f239831ed34262815b86b0d9c20973,FKD-20230928-002,19,凯江大回湾景区融合提升项目,-5000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2138,3db259eec30c4faf86fb0f2b6262f8d8,FKD-20231007-003,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-124034.6,negative_payment_requires_refund_or_reversal_target
payment_negative,3242,5bdb2ddfaccf48d4b959ce1eaed6493d,FK-202311131444,29,崴和路二标段,-774603.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7045,c5249c1b80e94835a75461f04711bbc9,FK-202311131444,33,崴和路一标段,-728125.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1337,26951c17f6094ecf8ffdb75af0af5c12,FKD-20231116-002,27,高地搅拌站,-41013.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5183,9332b5443d814aeca6ca4863d1cf3331,FKD-20231124-003,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-11670.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8225,e609d572f3a043f98e769be3b166330d,FKD-20231207-001,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-129200.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1731,31bdfab791044e0189bfa07aa1ad4f7d,FKD-20231220-001,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-24603.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1008,1cc6deffe6bf4aea80a6c4e84f7c4fc2,FKD-20240821-021,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-1680.0,negative_payment_requires_refund_or_reversal_target
payment_negative,552,0f73eaf80c9b49baae70f62b45311c9c,FKD-20240108-002,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,-49371.0,negative_payment_requires_refund_or_reversal_target
