source_sequence,project_name,normalized_project_name,source_operation_mode,operation_strategy,operation_strategy_label,source_file,source_received_date
19,信息中心图书馆安全整治及服务能力提升项目,信息中心图书馆安全整治及服务能力提升项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
20,四川司法产教融合实训基地二期项目（运动场及附属设施）土石方工程,四川司法产教融合实训基地二期项目(运动场及附属设施)土石方工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
21,渭河路市场夜市市集项目,渭河路市场夜市市集项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
22,上海二十冶西南公司四川省广汉市职业中专学校迁建项目土石方专业分包工程,上海二十冶西南公司四川省广汉市职业中专学校迁建项目土石方专业分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
23,峨边彝族自治县人工智能实践基地建设项目,峨边彝族自治县人工智能实践基地建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
24,岳普湖县防沙治沙电力配套设施建设项目,岳普湖县防沙治沙电力配套设施建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
25,林芝区域办事处办公用房装修工程施工专业分包,林芝区域办事处办公用房装修工程施工专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
26,德阳站综合交通枢纽改造项目桥梁地下室主体结构工程,德阳站综合交通枢纽改造项目桥梁地下室主体结构工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
27,广汉市城市更新城西片区城中村改造项目地基基础工程专业分包,广汉市城市更新城西片区城中村改造项目地基基础工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
28,广汉市城市更新天府旌城南片区城中村改造项目地基基础工程专业分包,广汉市城市更新天府旌城南片区城中村改造项目地基基础工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
29,阿合奇县劳保局棚户区（城市危旧房屋）改造项目（一标段）防水专业分包工程,阿合奇县劳保局棚户区(城市危旧房屋)改造项目(一标段)防水专业分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
30,合阳城街道2024年老旧小区改造工程(二期),合阳城街道2024年老旧小区改造工程(二期),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
31,绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次),绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
32,广汉市城市更新城西片区城中村改造项目--配套道路路面工程专业分包,广汉市城市更新城西片区城中村改造项目--配套道路路面工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
33,阿坝-成都东线路工程14标,阿坝-成都东线路工程14标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
34,中建四局-刘兴宇项目,中建四局-刘兴宇项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
35,垫江县城区污水处理厂提标改造项目（中水管网建设工程A段）--玉鼎桥至明月大道段（第二次）,垫江县城区污水处理厂提标改造项目(中水管网建设工程A段)--玉鼎桥至明月大道段(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
36,旌兴·和悦雲岸1#-11#楼项目公区精装修工程专业分包,旌兴·和悦雲岸1#-11#楼项目公区精装修工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
