source_sequence,project_name,normalized_project_name,source_operation_mode,operation_strategy,operation_strategy_label,source_file,source_received_date
97,四川建筑职业技术学院德阳校区2025年大型修缮项目,四川建筑职业技术学院德阳校区2025年大型修缮项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
98,智慧之心项目5#泡沫混凝土工程,智慧之心项目5#泡沫混凝土工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
99,仙足岛阜康医院前人行道改造项目,仙足岛阜康医院前人行道改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
100,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
101,奇峰镇共和村蔬菜产业园提升项目,奇峰镇共和村蔬菜产业园提升项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
102,2025年中石化西南石油工程公司钻前辅助工程劳务项目（1-8标段）,2025年中石化西南石油工程公司钻前辅助工程劳务项目(1-8标段),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
103,绵竹市城区停车场建设项目二期设计施工（一标段）项目模板脚手架专业分包工程,绵竹市城区停车场建设项目二期设计施工(一标段)项目模板脚手架专业分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
104,天弓智慧城产业园（一期）总承包工程精装修工程工程专业分包,天弓智慧城产业园(一期)总承包工程精装修工程工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
105,绵阳市安州区雎水镇皇帽村2024年河堤护岸水毁修复工程,绵阳市安州区雎水镇皇帽村2024年河堤护岸水毁修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
106,金螺湾及文德湖游乐设备维修与更换,金螺湾及文德湖游乐设备维修与更换,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
107,焙浸车间硫酸罐区防腐项目工程,焙浸车间硫酸罐区防腐项目工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
108,荣昌猪核心区建设基地(SPF猪生产示范场项目)二期,荣昌猪核心区建设基地(SPF猪生产示范场项目)二期,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
109,中国移动四川公司成都分公司2025-2026年渠道维修采购项目,中国移动四川公司成都分公司2025-2026年渠道维修采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
110,中国移动四川公司乐山分公司2025-2026年渠道维修采购项目,中国移动四川公司乐山分公司2025-2026年渠道维修采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
111,堆龙德庆区乃琼亲子公园建设项目,堆龙德庆区乃琼亲子公园建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
112,77561部队制供氧站用房新建项目,77561部队制供氧站用房新建项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
113,成都中铁二院商业运营管理有限公司2025-2027年度供应商集中招募,成都中铁二院商业运营管理有限公司2025-2027年度供应商集中招募,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
114,国网新疆喀什供电公司110kV一明线接地网大修等2项工程,国网新疆喀什供电公司110kV一明线接地网大修等2项工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
115,国网新疆喀什供电公司110kV叶果线杆塔提升隐患治理大修等13项工程,国网新疆喀什供电公司110kV叶果线杆塔提升隐患治理大修等13项工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
116,四川致远锂业有限公司一号窑收尘器基础工程,四川致远锂业有限公司一号窑收尘器基础工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
117,石船镇农村公路护栏修复工程,石船镇农村公路护栏修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
118,成都市青羊区文庙后街雨水管网管道清淤及更换维修改造工程,成都市青羊区文庙后街雨水管网管道清淤及更换维修改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
119,四川纹江致远建筑开发工程有限公司2025-2026年度管道临时封堵专业分包,四川纹江致远建筑开发工程有限公司2025-2026年度管道临时封堵专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
120,旌阳区城市地下综合管廊建设项目庐山路段中控室装饰装修工程专业分包,旌阳区城市地下综合管廊建设项目庐山路段中控室装饰装修工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
121,德缆公司-能源装备及轨道交通用电缆数字化车间建设项目提升机房雨棚建设工程-雨棚建设,德缆公司-能源装备及轨道交通用电缆数字化车间建设项目提升机房雨棚建设工程-雨棚建设,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
122,全民健身活动中心五人制足球场实施维修改造项目,全民健身活动中心五人制足球场实施维修改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
123,新华水库放水闸阀整治工程,新华水库放水闸阀整治工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
124,银鑫·五洲广场二期 CD 座室外消防车道施工,银鑫·五洲广场二期CD座室外消防车道施工,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
125,重庆市璧山区璧城街道老旧小区改造建设项目（东关社区）,重庆市璧山区璧城街道老旧小区改造建设项目(东关社区),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
126,信达国际车库伸缩缝漏水维修工程项目,信达国际车库伸缩缝漏水维修工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
127,眉山环天水务有限公司各条线服务供应商项目（包2）-舒坪社区管网工程,眉山环天水务有限公司各条线服务供应商项目(包2)-舒坪社区管网工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
128,西昌市西部城区B2-05地块房地产开发项目泛光照明,西昌市西部城区B2-05地块房地产开发项目泛光照明,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
129,华系田园猪”生产技术集成示范与应用项目——2024年华系田园猪舍采购(包1：应用示范一),华系田园猪”生产技术集成示范与应用项目--2024年华系田园猪舍采购(包1：应用示范一),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
130,盐亭县2024年新章路、垢巨路、刘黑路水毁恢复工程,盐亭县2024年新章路、垢巨路、刘黑路水毁恢复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
131,合格土销售项目,合格土销售项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
132,成绵TJ4项目部驻地房屋恢复装修工程,成绵TJ4项目部驻地房屋恢复装修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
133,西昌市西部城区A2-04地块房地产开发项目项目消防、智能化、暖通预留预埋部分安装专业分包,西昌市西部城区A2-04地块房地产开发项目项目消防、智能化、暖通预留预埋部分安装专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
134,C地块非机动车停车场修建工程,C地块非机动车停车场修建工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
135,准环对称仿星器项目,准环对称仿星器项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
136,国盛莲花湖（1号地块）5.7.8.9.10#楼公共区域室内精装修工程,国盛莲花湖(1号地块)5.7.8.9.10#楼公共区域室内精装修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
137,重庆市綦江区育英高级中学建设工程（一标段）,重庆市綦江区育英高级中学建设工程(一标段),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
138,重庆市璧山区璧泉街道老旧小区改造配套基础设施（南关社区）（第二次）,重庆市璧山区璧泉街道老旧小区改造配套基础设施(南关社区)(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
139,重庆电子科技职业大学应急与抢险工程,重庆电子科技职业大学应急与抢险工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
140,中国电信股份有限公司成都分公司2024年大邑县城区电信大楼外墙景观照明项目,中国电信股份有限公司成都分公司2024年大邑县城区电信大楼外墙景观照明项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
141,绵阳市安州区人民检察院智慧检察系统Ⅴ期办案工作区土建项目,绵阳市安州区人民检察院智慧检察系统Ⅴ期办案工作区土建项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
142,濛阳河路（泰山路-蓥华山路）市政道路工程劳务分包,濛阳河路(泰山路-蓥华山路)市政道路工程劳务分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
143,浪卡子县白地乡龙桑村水塘工程项目(1标段),浪卡子县白地乡龙桑村水塘工程项目(1标段),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
144,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
145,南川区石溪镇2024年农村公路（学校至王官果业（主干道至家禽屠宰场）、灯草湾至枫香榜）建设项目,南川区石溪镇2024年农村公路(学校至王官果业(主干道至家禽屠宰场)、灯草湾至枫香榜)建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
146,牡丹北苑修建建筑垃圾池,牡丹北苑修建建筑垃圾池,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
147,白鹤花园修建建筑垃圾池,白鹤花园修建建筑垃圾池,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
148,莎车县艾力西湖镇拜什库都克(12)村农村污水治理建设项目(二次),莎车县艾力西湖镇拜什库都克(12)村农村污水治理建设项目(二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
149,罗江区新盛镇X601新慧路王家湾桥危桥拆除重建工程(第二次),罗江区新盛镇X601新慧路王家湾桥危桥拆除重建工程(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
150,某部食堂维修整治工程,某部食堂维修整治工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
151,智慧之心项目3#楼及3#楼裙楼泡沫混凝土工程,智慧之心项目3#楼及3#楼裙楼泡沫混凝土工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
152,绿地健康谷二号地块1标段项目泡沫混凝土工程,绿地健康谷二号地块1标段项目泡沫混凝土工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
153,旌阳区综合管廊项目钱塘江路段支护及防水工程二标,旌阳区综合管廊项目钱塘江路段支护及防水工程二标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
154,旌阳区综合管廊项目钱塘江路段支护及防水工程一标,旌阳区综合管廊项目钱塘江路段支护及防水工程一标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
155,花荄镇兴福村草溪河石拱桥维修加固工程,花荄镇兴福村草溪河石拱桥维修加固工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
156,南平智能环保产业孵化中心监控设施及道闸安装工程,南平智能环保产业孵化中心监控设施及道闸安装工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
157,德阳市旌江线城市路灯及绿化工程(八角路口交通改善)项目,德阳市旌江线城市路灯及绿化工程(八角路口交通改善)项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
158,四川建筑职业技术学院德阳校区垃圾压缩站项目（第二次）,四川建筑职业技术学院德阳校区垃圾压缩站项目(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
159,国网新疆喀什莎车县供电公司荒地供电所扩建项目,国网新疆喀什莎车县供电公司荒地供电所扩建项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
160,英吉沙县乡村两级锅炉改造项目第三标段,英吉沙县乡村两级锅炉改造项目第三标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
161,合川分行沙溪分理处营业网点主体装修工程,合川分行沙溪分理处营业网点主体装修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
162,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,南川区S531西龙路K18+800-K27+230日常维修养护工程(换填、边沟)项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
163,国网新疆喀什岳普湖县供电公司城区供电所项目,国网新疆喀什岳普湖县供电公司城区供电所项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
164,德阳市旌北13、14#地块（德阳北站TOD及基础设施配套项目）项目示范区园林景观工程专业分包,德阳市旌北13、14#地块(德阳北站TOD及基础设施配套项目)项目示范区园林景观工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
165,广汉市连山镇农村集体经济融合发展示范项目——广汉市连山镇农产品展示展销中心（二期）劳务分包工程,广汉市连山镇农村集体经济融合发展示范项目--广汉市连山镇农产品展示展销中心(二期)劳务分包工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
166,银鑫·五洲广场A地块漏水维修工程,银鑫·五洲广场A地块漏水维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
167,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包（第一批）胜利堰二标段,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包(第一批)胜利堰二标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
168,智慧之心项目2#楼及2#楼裙楼泡沫混凝土工程,智慧之心项目2#楼及2#楼裙楼泡沫混凝土工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
169,2024-2025年度成都所区零星工程框架协议,2024-2025年度成都所区零星工程框架协议,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
170,八角星坐标项目景观坡道优化调整工程劳务分包,八角星坐标项目景观坡道优化调整工程劳务分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
171,河黄路种子加工中心至双佳养殖场、罗绵路至种子加工中心、制种基地展示中心至种子加工中心、罗绵路至彩色油路沥青摊铺项目,河黄路种子加工中心至双佳养殖场、罗绵路至种子加工中心、制种基地展示中心至种子加工中心、罗绵路至彩色油路沥青摊铺项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
172,渝北区双龙水库管理所2024年水库维修养护工程,渝北区双龙水库管理所2024年水库维修养护工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
173,疏勒县第二幼儿园消防改造项目,疏勒县第二幼儿园消防改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
174,工程部后油库油罐清洗,工程部后油库油罐清洗,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
175,喀什地区某医院综合内科楼消防设施改造工程,喀什地区某医院综合内科楼消防设施改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
176,喀什地区塔什库尔干县生活垃圾分类收运及处置建设项目工程总承包第三标段,喀什地区塔什库尔干县生活垃圾分类收运及处置建设项目工程总承包第三标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
177,潼南支行东安分理处营业网点主体装修工程项目,潼南支行东安分理处营业网点主体装修工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
178,界石围栏采购项目,界石围栏采购项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
179,2024年中江县永兴镇七郎村集体经济扶持村项目,2024年中江县永兴镇七郎村集体经济扶持村项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
180,大唐甘肃发电有限公司碧口水力发电厂碧口水电站右岸泄洪洞护坦防护结构改造施工,大唐甘肃发电有限公司碧口水力发电厂碧口水电站右岸泄洪洞护坦防护结构改造施工,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
181,阆中水城项目唐家山片区一期酒店热水及地暖改造工程,阆中水城项目唐家山片区一期酒店热水及地暖改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
182,建工五建——科发泰升人和——装饰装修2专业分包,建工五建--科发泰升人和--装饰装修2专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
183,喀什地区检察院办案与专业技术用房外立面改造项目,喀什地区检察院办案与专业技术用房外立面改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
184,绵阳市涪城区教工幼儿园维修装饰工程,绵阳市涪城区教工幼儿园维修装饰工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
185,四川省广汉高封橡塑有限公司地上建(构)筑物附着物拆除工程及残值处置项目,四川省广汉高封橡塑有限公司地上建(构)筑物附着物拆除工程及残值处置项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
186,绵阳市公安局高新技术产业开发区分局磨家派出所改造工程,绵阳市公安局高新技术产业开发区分局磨家派出所改造工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
187,银鑫五洲广场二期 1#楼 A、D 座楼栋间交界处防水施工,银鑫五洲广场二期1#楼A、D座楼栋间交界处防水施工,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
188,中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程,中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
189,德阳站综合交通枢纽改造项目（德阳站、S11 线连通工程等 4 个子项）漓江一、二西路特殊地基处理工程,德阳站综合交通枢纽改造项目(德阳站、S11线连通工程等4个子项)漓江一、二西路特殊地基处理工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
190,重庆市璧山区青杠街道山洪沟整治项目,重庆市璧山区青杠街道山洪沟整治项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
191,德阳市罗江区综合行政执法局2024年罗江区零星市政维修工程（苍海D区、潺亭中学旁等7座公厕维修改造）,德阳市罗江区综合行政执法局2024年罗江区零星市政维修工程(苍海D区、潺亭中学旁等7座公厕维修改造),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
192,洛碛餐厨污水处理厂基础设施修复及零星工程项目,洛碛餐厨污水处理厂基础设施修复及零星工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
193,喀什西克尔水库架空线路和配电工程专业分包,喀什西克尔水库架空线路和配电工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
194,杰阳排水有限公司采购零星修缮服务,杰阳排水有限公司采购零星修缮服务,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
195,德阳市罗江区鄢家镇高垭村山坪塘整治项目,德阳市罗江区鄢家镇高垭村山坪塘整治项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
196,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,德阳市青少年宫舞蹈、钢琴、美术教室改造(二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
197,重庆轨道交通15号线一期土建工程01标金童路站2B出入口 DN500 给水管道迁改工程,重庆轨道交通15号线一期土建工程01标金童路站2B出入口DN500给水管道迁改工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
198,绵竹市高新区科技服务中心项目消防工程,绵竹市高新区科技服务中心项目消防工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
199,四川省德阳市2012-2013年中小河流水文监测系统新建水文站-站房工程,四川省德阳市2012-2013年中小河流水文监测系统新建水文站-站房工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
200,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
201,西藏军区工程建设项目临时器材库和装备库建设项目（2302项目）,西藏军区工程建设项目临时器材库和装备库建设项目(2302项目),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
202,东水门大桥、朝天门大桥（南北）公园、停车场、电梯等新增附属设施工程,东水门大桥、朝天门大桥(南北)公园、停车场、电梯等新增附属设施工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
203,旌阳印象森林餐厅零星维修工程,旌阳印象森林餐厅零星维修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
204,旌南大厦12楼办公场所装修项目,旌南大厦12楼办公场所装修项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
205,2023年渝中区绿管处冬季行道树修剪,2023年渝中区绿管处冬季行道树修剪,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
206,西藏方向军事设施建设项目施工总承包合同90项目工程工序劳务作业,西藏方向军事设施建设项目施工总承包合同90项目工程工序劳务作业,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
207,临空经济总部大楼A栋9层装修装饰工程,临空经济总部大楼A栋9层装修装饰工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
208,巴中恩阳临港产业园建设项目-制造业组团项目21-22号厂房消防工程,巴中恩阳临港产业园建设项目-制造业组团项目21-22号厂房消防工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
209,集团五楼男卫生间渗水修缮项目,集团五楼男卫生间渗水修缮项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
210,旌阳区涪江苑小区等2个城镇老旧小区改造及配套基础设施改造项目（孝感街道二期）-涪江苑小区周边道路改造,旌阳区涪江苑小区等2个城镇老旧小区改造及配套基础设施改造项目(孝感街道二期)-涪江苑小区周边道路改造,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
211,德阳市主城区园林绿化及市政设施提档升级项目（庐山路及长江路示范段）,德阳市主城区园林绿化及市政设施提档升级项目(庐山路及长江路示范段),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
212,伽师县工业园区空气源供热建设项目（二次）二标段,伽师县工业园区空气源供热建设项目(二次)二标段,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
213,东河农贸市场场内厕所改造,东河农贸市场场内厕所改造,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
214,凯州新城城乡一体化项目配套建设工程保温工程专业分包,凯州新城城乡一体化项目配套建设工程保温工程专业分包,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
215,旌阳区综合管廊项目泰山路段支护及防水工程二标,旌阳区综合管廊项目泰山路段支护及防水工程二标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
216,旌阳区综合管廊项目泰山路段支护及防水工程一标,旌阳区综合管廊项目泰山路段支护及防水工程一标,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
217,重庆机场护宾楼二层办公室改造项目,重庆机场护宾楼二层办公室改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
218,德阳市旌阳区东湖-和新（崴和路）道路改建工程（K4+140-K4+790边坡滑坡治理）,德阳市旌阳区东湖-和新(崴和路)道路改建工程(K4+140-K4+790边坡滑坡治理),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
219,新疆维吾尔自治区喀什地区大数据局电力机房维修维护项目,新疆维吾尔自治区喀什地区大数据局电力机房维修维护项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
220,中国电信股份有限公司德阳分公司2023-2024年房屋零星维修服务,中国电信股份有限公司德阳分公司2023-2024年房屋零星维修服务,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
221,中建七局天府大道北延线（德阳段）项目桥面防水工程,中建七局天府大道北延线(德阳段)项目桥面防水工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
222,德阳市漓江路大桥-穿绵远河给水管道工程,德阳市漓江路大桥-穿绵远河给水管道工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
223,德阳站综合交通枢纽改造项目（旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理项目-河西段）工程,德阳站综合交通枢纽改造项目(旌阳区长江流域可持续发展(沱江上游-绵远河段)综合治理项目-河西段)工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
224,德阳市天府旌城石亭江河段堤防改建给水迁改工程,德阳市天府旌城石亭江河段堤防改建给水迁改工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
225,合川高新区南溪组团用地整治项目,合川高新区南溪组团用地整治项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
