partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags,review_reason
name:德阳市旌湖宾馆有限责任公司,xlsx_supplier_cooperat_company,name:德阳市旌湖宾馆有限责任公司,,德阳市旌湖宾馆有限责任公司,company,0,0,other,,,,,,邓洪英,2024-05-15 11:43,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳市旌源建设发展有限公司,xlsx_supplier_cooperat_company,name:德阳市旌源建设发展有限公司,,德阳市旌源建设发展有限公司,company,0,0,other,,,,,,admin,2024-07-09 14:13,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳市旌阳区孝感街道金牛社区居民委员会,xlsx_supplier_cooperat_company,name:德阳市旌阳区孝感街道金牛社区居民委员会,,德阳市旌阳区孝感街道金牛社区居民委员会,person,0,0,other,,,,,,秦军,2024-10-24 14:14,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳建能职业培训学校,xlsx_supplier_cooperat_company,name:德阳建能职业培训学校,,德阳建能职业培训学校,company,0,0,other,,,,,,邓洪英,2025-06-19 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:成都诺美力威科技有限公司,xlsx_supplier_cooperat_company,name:成都诺美力威科技有限公司,,成都诺美力威科技有限公司,company,0,0,other,,,,,,邓洪英,2025-05-27 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:田和全,xlsx_supplier_cooperat_company,name:田和全,,田和全,person,0,0,other,,,,,,邓洪英,2025-09-19 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:管理费用,xlsx_supplier_cooperat_company,name:管理费用,,管理费用,person,0,0,other,,,,,,倪德珍,2025-01-13 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:进项税金,xlsx_supplier_cooperat_company,name:进项税金,,进项税金,person,0,0,other,,,,,,倪德珍,2025-01-13 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:销进项税金+管理费,xlsx_supplier_cooperat_company,name:销进项税金+管理费,,销/进项 税金+管理费,person,0,0,other,,,,,,倪德珍,2024-07-11 14:40,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:销项税金,xlsx_supplier_cooperat_company,name:销项税金,,销项税金,person,0,0,other,,,,,,倪德珍,2025-01-13 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
