id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2437,6a00ac86acbb4ac1a7474b917f5f5bf6,石船镇农村公路护栏修复工程,draft,5,筹备中,202061,17441713729540000
2438,6a159518e9b143cab983f8ee74c3a3b2,沥青混凝土路面专业分包施工合同,draft,5,筹备中,,
2439,6a6b66ef5cc244359a6389425cf4393b,渝北区石船镇龙胆路石船段公交站新建工程,draft,5,筹备中,238991,17659359516230000
2440,6a9c137ef7a44d6bb67efff0dfa2dca8,国有企业职工家属区“三供一业”分离移交改造项目物业管理部分-沁苑小区工程,draft,5,筹备中,109832,16982986236320001
2441,6afb33672c394b2984b82f859550575b,翡翠湾售楼部改造工程,draft,5,筹备中,109590,16982985623980000
2442,6b15fd3e78694585bba77c73601b3ccb,朝天区沙河镇元西村农村公路面硬化工程,draft,5,筹备中,109642,16982985690390000
2443,6b46b842c0d344a08dd79ae5ba83628a,马踏洞安置房停车场相关基础设施项目,draft,5,筹备中,109428,16982984837900000
2444,6b4e37cd90a94055a69de211efdab846,易静工程（德阳二重工程项目）,draft,5,筹备中,109732,16982985806010001
2445,6c8b94d81edc4bb7aef0c3c0f58e3b2a,结古、囊谦、治多路政大队和共和塔拉滩超限站配置发电机以及电路改造项目,draft,5,筹备中,109712,16982985780070000
2446,6e315aeb124b4afaac4c79345f3971dc,德阳市第一小学校通风换气设备采购及配套用电设施改造项目,draft,5,筹备中,109479,16982984899930001
2447,6ee79af1274b49ffbd25926ad5f04f4d,中国移动四川公司成都分公司2021-2025年管理用房及生产枢纽楼公共区域维修服务项目-上市,draft,5,筹备中,109551,16982984993050001
2448,6f39bd9ada194b63828edcb0f846c184,南平智能环保产业孵化中心监控设施及道闸安装工程,draft,5,筹备中,188215,17310569329120000
2449,6f5cacd6245346079d3cbc0f0dd078de,建筑门窗、幕墙工程施工图深化设计项目,draft,5,筹备中,109689,16982985751320001
2450,6f87b6f5c70744a0ad50b5bf87b32abb,丰都县峡南溪片区兴都公园大道西环线(K1+300—K2+611.409) 段市政道路工程,draft,5,筹备中,109489,16982984912580001
2451,70207ec218f04345ac987514a121c9ad,巴中临港产业园项目13#-16#楼标准厂房室内消防（BZS2022-73）,draft,5,筹备中,109472,16982984891330000
2452,702cd4f80b7c4180afc3a5730e29625f,荣昌区盘龙镇黄桷滩水库库区集体经济产业基础设施配套,draft,5,筹备中,109466,16982984883830001
