payment_request_id,external_id,name,old_state,old_validation_status,amount,old_ledger_count,old_ledger_sum,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids
5382,legacy_outflow_sc_00a2268eac8d4bfdb58d0a918cf1bb43,PRQ2605382,done,validated,20600.00,1,20600.00,1,20600.00,legacy_actual_outflow_sc_ace072305df84271be75583fb6d2189e
5383,legacy_outflow_sc_00aedf45dc3b4525b05e7c0838c1d086,PRQ2605383,done,validated,9800.00,1,9800.00,1,9800.00,legacy_actual_outflow_sc_467ce5bd610340e693315d6ddbc8cf3c
5384,legacy_outflow_sc_00b2e5f0aa744306b0521fce7b2c75ee,PRQ2605384,done,validated,1468.83,1,1468.83,1,1468.83,legacy_actual_outflow_sc_6ea358cb04df4078a6865ea394b43ccb
5385,legacy_outflow_sc_00c95d9727ea41ab9b572f7b3506c25d,PRQ2605385,done,validated,2987.00,1,2987.00,1,2987.00,legacy_actual_outflow_sc_8bcb681d0e0b470eb5d4d4ebc1722f98
5386,legacy_outflow_sc_00d392b48c854637a92e8c82f699ad50,PRQ2605386,done,validated,209128.52,1,209128.52,1,209128.52,legacy_actual_outflow_sc_16c0abad19974b64ac9cf48505b1fa6c
5387,legacy_outflow_sc_00d5e2b906a5419daf99dcfda84a730e,PRQ2605387,done,validated,155400.00,1,155400.00,1,155400.00,legacy_actual_outflow_sc_663160f12869498aa4a3fd6c1877f440
5388,legacy_outflow_sc_00d9973b44ce455e933e2efe07a42ebf,PRQ2605388,done,validated,70000.00,1,70000.00,1,70000.00,legacy_actual_outflow_sc_a8b33cceabd642c5822b912443bdd7e1
5389,legacy_outflow_sc_00efb7cce8d64b8eaeb7d5a12b93ee0b,PRQ2605389,done,validated,97550.00,1,97550.00,1,97550.00,legacy_actual_outflow_sc_b93ed4e74034402f82784e232598f542
5390,legacy_outflow_sc_00f1d307fec2445abb3d9a9ae2c9cf7e,PRQ2605390,done,validated,4000.00,1,4000.00,1,4000.00,legacy_actual_outflow_sc_88d4a96ba6ee491e907668fd4e376da3
5391,legacy_outflow_sc_00fe428597ed464cb4a21db0102ae9c7,PRQ2605391,done,validated,171137.00,1,171137.00,1,171137.00,legacy_actual_outflow_sc_0d3eaedc0f1b47019858e085b50d254d
5392,legacy_outflow_sc_00fe91b23edc4df6bdfd35934a7e8151,PRQ2605392,done,validated,400000.00,1,400000.00,1,400000.00,legacy_actual_outflow_sc_1fe142e7939b45b2b2641f0f2af0c1fd
5393,legacy_outflow_sc_00ff2af27bb043cd84b8ccbb43890797,PRQ2605393,done,validated,268650.80,1,268650.80,1,268650.80,legacy_actual_outflow_sc_da15236aa26c4988be8218a16fe9571f
5394,legacy_outflow_sc_01134d912e0749e89697ca885875cc76,PRQ2605394,done,validated,17000.00,1,17000.00,1,17000.00,legacy_actual_outflow_sc_5983d7353eae447a88e55bb091c4cc26
5395,legacy_outflow_sc_01181fe00bed4d9fa61aaca19664ef72,PRQ2605395,done,validated,91476.00,1,91476.00,1,91476.00,legacy_actual_outflow_sc_a45788f1d45a42ed910d6489aa34246a
5396,legacy_outflow_sc_0122d6888f3c437c8bfcb54a3dcf4fea,PRQ2605396,done,validated,30000.00,1,30000.00,1,30000.00,legacy_actual_outflow_sc_bdb684b993944eb3be634a6e57ec8508
5397,legacy_outflow_sc_0128ec2f788b43a6a857fe0a4ed235e3,PRQ2605397,done,validated,435526.84,1,435526.84,1,435526.84,legacy_actual_outflow_sc_97a04d6d016b4f9cbc59c24133a79805
5398,legacy_outflow_sc_012c25aad8444ba4b15d15553f3f8d0d,PRQ2605398,done,validated,500000.00,1,500000.00,1,500000.00,legacy_actual_outflow_sc_d6bc761044024550b73d81bc19d2a585
5399,legacy_outflow_sc_012c9ae42df741b49def25d7ee1a2be6,PRQ2605399,done,validated,50000.00,1,50000.00,1,50000.00,legacy_actual_outflow_sc_0c219fc97b994e85a9ec22c2ea31259c
5400,legacy_outflow_sc_012d707f7b634446be9a585f4b373bc0,PRQ2605400,done,validated,370000.00,1,370000.00,1,370000.00,legacy_actual_outflow_sc_548164ae804b47fd806c5d989b39684f
5401,legacy_outflow_sc_0130c82fe7934bccae8215a0efe0ff0a,PRQ2605401,done,validated,43561.00,1,43561.00,1,43561.00,legacy_actual_outflow_sc_b89f12a7b7e9480a8ca0ce4b15b7655c
5402,legacy_outflow_sc_0131a251efaf43cdaa9753d62da29ac7,PRQ2605402,done,validated,36840.00,1,36840.00,1,36840.00,legacy_actual_outflow_sc_1eed45cee8964e16800fb8da003aef84
5403,legacy_outflow_sc_0132878ec035425497d35ea07cb312e2,PRQ2605403,done,validated,7671.00,1,7671.00,1,7671.00,legacy_actual_outflow_sc_0760b4039bf24a4cb7bdaa373ac6fb7f
5404,legacy_outflow_sc_013552c944944dd79727610752093a1b,PRQ2605404,done,validated,1200000.00,1,1200000.00,1,1200000.00,legacy_actual_outflow_sc_7abb5b2891bb4afea1ba2cbe297291ce
5405,legacy_outflow_sc_013f917bd62f4626974ebc7e39174f68,PRQ2605405,done,validated,300000.00,1,300000.00,1,300000.00,legacy_actual_outflow_sc_9cc888c08a1c463eb7cffd72e497fbf8
5406,legacy_outflow_sc_013fe8c6caec422d98ba0cb7a65a3ed8,PRQ2605406,done,validated,32996.00,1,32996.00,1,32996.00,legacy_actual_outflow_sc_6340e4697e824f24b7f1c755b7305fa1
5407,legacy_outflow_sc_0141959f1e9249fc9316c0f514557298,PRQ2605407,done,validated,106962.41,1,106962.41,1,106962.41,legacy_actual_outflow_sc_ad86a53fbbec45d4aa2d552db53387b1
5408,legacy_outflow_sc_0141afb6d63c481496ea149483f69f33,PRQ2605408,done,validated,359425.00,1,359425.00,1,359425.00,legacy_actual_outflow_sc_96634f3f1578425bad4d213a0508fa4b
5409,legacy_outflow_sc_0141b0e2d5a243358f8ad18c950b0c83,PRQ2605409,done,validated,12600.00,1,12600.00,1,12600.00,legacy_actual_outflow_sc_d0ec6cc59f5944b1b94e4073d4a1f4a7
5410,legacy_outflow_sc_0146ed706005498d806f52f6ae775181,PRQ2605410,done,validated,30000.00,1,30000.00,1,30000.00,legacy_actual_outflow_sc_58e5e7c1d11a4164b6aa436c10485d75
5411,legacy_outflow_sc_014dbf90dfe94b3b8266b4f6c0f104b9,PRQ2605411,done,validated,245800.00,1,245800.00,1,245800.00,legacy_actual_outflow_sc_c3ac0678e69247a9a1898a5b52248437
5412,legacy_outflow_sc_0152863c0b4345bc891a454b33513eb7,PRQ2605412,done,validated,3465.00,1,3465.00,1,3465.00,legacy_actual_outflow_sc_7609bf6108d84adc80188ae8c099c9cd
5413,legacy_outflow_sc_0155589eb5ca4bfe837fd03968e628b2,PRQ2605413,done,validated,21389.07,1,21389.07,1,21389.07,legacy_actual_outflow_sc_0754002e74e34813929ebdf0814abf50
5414,legacy_outflow_sc_0157b91aadf8444f9064376081e534ad,PRQ2605414,done,validated,5100.00,1,5100.00,1,5100.00,legacy_actual_outflow_sc_bb0f2f4cf5f44d939d93e6a41bfea256
5415,legacy_outflow_sc_015c553823db4bc789ea105402a5af53,PRQ2605415,done,validated,3000.00,1,3000.00,1,3000.00,legacy_actual_outflow_sc_e69ff7c3f59d474885ab628bfd731478
5416,legacy_outflow_sc_015d47f87d494caeaf41766983231211,PRQ2605416,done,validated,160827.00,1,160827.00,1,160827.00,legacy_actual_outflow_sc_c14d02305ddc4c63b303ffe22bbfa064
5417,legacy_outflow_sc_0163ff03c1f647938d662157fa31a30c,PRQ2605417,done,validated,400000.00,1,400000.00,1,400000.00,legacy_actual_outflow_sc_6ccc1a0517d44494a7aa636568a8b3be
5418,legacy_outflow_sc_01642516dde6401388ced6151f6cfd15,PRQ2605418,done,validated,200283.00,1,200283.00,1,200283.00,legacy_actual_outflow_sc_e0b191c1bc7144d0b253bc8395dd5226
5419,legacy_outflow_sc_0165f32ae3a34a328be492264a685115,PRQ2605419,done,validated,61495.00,1,61495.00,1,61495.00,legacy_actual_outflow_sc_f93b580bf23448959634c40f829b90e7
5420,legacy_outflow_sc_016ab3b19b544e679b0109df062d7f78,PRQ2605420,done,validated,173389.00,1,173389.00,1,173389.00,legacy_actual_outflow_sc_1979318dff704ef4b6a8a1dbc7e6cd5d
5421,legacy_outflow_sc_016ef158d96144fd8936b62c476f7837,PRQ2605421,done,validated,39520.00,1,39520.00,1,39520.00,legacy_actual_outflow_sc_05c3bcdc44204ccbb5fd60e8b0e9e012
5422,legacy_outflow_sc_017021b031a54a2f836d09e058c45e5f,PRQ2605422,done,validated,5340.84,1,5340.84,1,5340.84,legacy_actual_outflow_sc_c5fb44feaf034c359391dd6b7c873713
5423,legacy_outflow_sc_0174346f2b8545e999010a287ae80ab8,PRQ2605423,done,validated,3700.00,1,3700.00,1,3700.00,legacy_actual_outflow_sc_9641902afa5f47b09780630e87137568
5424,legacy_outflow_sc_017502497a234d0aadef42bcefaab1ba,PRQ2605424,done,validated,16859.00,1,16859.00,1,16859.00,legacy_actual_outflow_sc_041aca5109a748c4a3f359db2e2867cf
