external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_contract_line_summary_sc_02860be649fc4256844cdff1a03302f1,02860be649fc4256844cdff1a03302f1,10,1.0,706.0000,summary line from legacy contract header amount; legacy_contract_id=02860be649fc4256844cdff1a03302f1; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_02860be649fc4256844cdff1a03302f1,create_if_missing
legacy_contract_line_summary_sc_0289e318abff46c084516bd75bb441d3,0289e318abff46c084516bd75bb441d3,10,1.0,455620.0000,summary line from legacy contract header amount; legacy_contract_id=0289e318abff46c084516bd75bb441d3; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0289e318abff46c084516bd75bb441d3,create_if_missing
legacy_contract_line_summary_sc_02b90c824b464d49bd05d21458574915,02b90c824b464d49bd05d21458574915,10,1.0,14666400.0000,summary line from legacy contract header amount; legacy_contract_id=02b90c824b464d49bd05d21458574915; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_02b90c824b464d49bd05d21458574915,create_if_missing
legacy_contract_line_summary_sc_02b96888686a492cb45f9b64064d648f,02b96888686a492cb45f9b64064d648f,10,1.0,404.0000,summary line from legacy contract header amount; legacy_contract_id=02b96888686a492cb45f9b64064d648f; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_02b96888686a492cb45f9b64064d648f,create_if_missing
legacy_contract_line_summary_sc_039c1e19f43f4ad79c191ef201a3337e,039c1e19f43f4ad79c191ef201a3337e,10,1.0,19583286.7300,summary line from legacy contract header amount; legacy_contract_id=039c1e19f43f4ad79c191ef201a3337e; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_039c1e19f43f4ad79c191ef201a3337e,create_if_missing
legacy_contract_line_summary_sc_03b3ddc568e647dba65a6475e9148f59,03b3ddc568e647dba65a6475e9148f59,10,1.0,12000.0000,summary line from legacy contract header amount; legacy_contract_id=03b3ddc568e647dba65a6475e9148f59; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03b3ddc568e647dba65a6475e9148f59,create_if_missing
legacy_contract_line_summary_sc_03c34d34fea748f6bd892980dfe06452,03c34d34fea748f6bd892980dfe06452,10,1.0,5750219.0000,summary line from legacy contract header amount; legacy_contract_id=03c34d34fea748f6bd892980dfe06452; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03c34d34fea748f6bd892980dfe06452,create_if_missing
legacy_contract_line_summary_sc_03cb1d4a42894852bb35489f493f0794,03cb1d4a42894852bb35489f493f0794,10,1.0,85000.0000,summary line from legacy contract header amount; legacy_contract_id=03cb1d4a42894852bb35489f493f0794; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03cb1d4a42894852bb35489f493f0794,create_if_missing
legacy_contract_line_summary_sc_03ce07f8f6034c0fb9129b18f30e67e9,03ce07f8f6034c0fb9129b18f30e67e9,10,1.0,3000.0000,summary line from legacy contract header amount; legacy_contract_id=03ce07f8f6034c0fb9129b18f30e67e9; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03ce07f8f6034c0fb9129b18f30e67e9,create_if_missing
legacy_contract_line_summary_sc_03ea5994a14e442bae1716490c5b06c6,03ea5994a14e442bae1716490c5b06c6,10,1.0,2297095.8100,summary line from legacy contract header amount; legacy_contract_id=03ea5994a14e442bae1716490c5b06c6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03ea5994a14e442bae1716490c5b06c6,create_if_missing
legacy_contract_line_summary_sc_03fcfca6e19b49a49b3b3a6215d33309,03fcfca6e19b49a49b3b3a6215d33309,10,1.0,20862.0000,summary line from legacy contract header amount; legacy_contract_id=03fcfca6e19b49a49b3b3a6215d33309; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_03fcfca6e19b49a49b3b3a6215d33309,create_if_missing
legacy_contract_line_summary_sc_04069e0c6f7440dd951197b5d206ed4a,04069e0c6f7440dd951197b5d206ed4a,10,1.0,221.0000,summary line from legacy contract header amount; legacy_contract_id=04069e0c6f7440dd951197b5d206ed4a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_04069e0c6f7440dd951197b5d206ed4a,create_if_missing
