external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_supplier_contract_line_sc_006a39ff8e014e7ca612cf6b0f8a06d8,006a39ff8e014e7ca612cf6b0f8a06d8,10,1,52000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=006a39ff8e014e7ca612cf6b0f8a06d8; amount_source=ZJE; source_amount=52000.0000; legacy_qty=1.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_006a39ff8e014e7ca612cf6b0f8a06d8,create_if_missing
legacy_supplier_contract_line_sc_007255edb2f94b20b3bdcd5938c40a34,007255edb2f94b20b3bdcd5938c40a34,10,1,1600.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=007255edb2f94b20b3bdcd5938c40a34; amount_source=ZJE; source_amount=1600.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_007255edb2f94b20b3bdcd5938c40a34,create_if_missing
legacy_supplier_contract_line_sc_007306e0937a458a843259a5030f9782,007306e0937a458a843259a5030f9782,10,1,201041.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=007306e0937a458a843259a5030f9782; amount_source=ZJE; source_amount=201041.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_007306e0937a458a843259a5030f9782,create_if_missing
legacy_supplier_contract_line_sc_00769378af67458dad0a7f5204963fe3,00769378af67458dad0a7f5204963fe3,10,1,50000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00769378af67458dad0a7f5204963fe3; amount_source=ZJE; source_amount=50000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00769378af67458dad0a7f5204963fe3,create_if_missing
legacy_supplier_contract_line_sc_007e48f07ca948d8ac3db5302302289b,007e48f07ca948d8ac3db5302302289b,10,1,650000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=007e48f07ca948d8ac3db5302302289b; amount_source=ZJE; source_amount=650000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_007e48f07ca948d8ac3db5302302289b,create_if_missing
legacy_supplier_contract_line_sc_008daf590d674712b5dc8831ad132699,008daf590d674712b5dc8831ad132699,10,1,161750.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=008daf590d674712b5dc8831ad132699; amount_source=ZJE; source_amount=161750.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_008daf590d674712b5dc8831ad132699,create_if_missing
legacy_supplier_contract_line_sc_00a3cede2c2f4ddd90a4fc89c8b35ac9,00a3cede2c2f4ddd90a4fc89c8b35ac9,10,1,864480.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00a3cede2c2f4ddd90a4fc89c8b35ac9; amount_source=ZJE; source_amount=864480.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00a3cede2c2f4ddd90a4fc89c8b35ac9,create_if_missing
legacy_supplier_contract_line_sc_00a65d7f3c104235b204d8fb14554088,00a65d7f3c104235b204d8fb14554088,10,1,221724.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00a65d7f3c104235b204d8fb14554088; amount_source=ZJE; source_amount=221724.0000; legacy_qty=0.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00a65d7f3c104235b204d8fb14554088,create_if_missing
legacy_supplier_contract_line_sc_00a75ab0ae5346d38227235e8892909f,00a75ab0ae5346d38227235e8892909f,10,1,95136.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00a75ab0ae5346d38227235e8892909f; amount_source=ZJE; source_amount=95136.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00a75ab0ae5346d38227235e8892909f,create_if_missing
legacy_supplier_contract_line_sc_00a9cab1dc0d41d69b29caf40ed6b56b,00a9cab1dc0d41d69b29caf40ed6b56b,10,1,56000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00a9cab1dc0d41d69b29caf40ed6b56b; amount_source=ZJE; source_amount=56000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00a9cab1dc0d41d69b29caf40ed6b56b,create_if_missing
legacy_supplier_contract_line_sc_00bb98b976fd4723ad96f610125e904e,00bb98b976fd4723ad96f610125e904e,10,1,7840.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=00bb98b976fd4723ad96f610125e904e; amount_source=ZJE; source_amount=7840.0000; legacy_qty=4.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_00bb98b976fd4723ad96f610125e904e,create_if_missing
