map_id,legacy_gcmc,fact_rows,amount_total,candidate_project_id,candidate_name,confidence,action
20,万润苑改造,309,5802418.95,705,万润苑改造项目,0.8333,confirm
24,天山路（黄河路-凯江路）改造项目,19,2480138.8,654,德阳市旌阳区天山路（黄河路-凯江路）改造项目,0.8421,confirm
