project_id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,rollback_eligible
2437,6a00ac86acbb4ac1a7474b917f5f5bf6,石船镇农村公路护栏修复工程,draft,5,筹备中,True
2438,6a159518e9b143cab983f8ee74c3a3b2,沥青混凝土路面专业分包施工合同,draft,5,筹备中,True
2439,6a6b66ef5cc244359a6389425cf4393b,渝北区石船镇龙胆路石船段公交站新建工程,draft,5,筹备中,True
2440,6a9c137ef7a44d6bb67efff0dfa2dca8,国有企业职工家属区“三供一业”分离移交改造项目物业管理部分-沁苑小区工程,draft,5,筹备中,True
2441,6afb33672c394b2984b82f859550575b,翡翠湾售楼部改造工程,draft,5,筹备中,True
2442,6b15fd3e78694585bba77c73601b3ccb,朝天区沙河镇元西村农村公路面硬化工程,draft,5,筹备中,True
2443,6b46b842c0d344a08dd79ae5ba83628a,马踏洞安置房停车场相关基础设施项目,draft,5,筹备中,True
2444,6b4e37cd90a94055a69de211efdab846,易静工程（德阳二重工程项目）,draft,5,筹备中,True
2445,6c8b94d81edc4bb7aef0c3c0f58e3b2a,结古、囊谦、治多路政大队和共和塔拉滩超限站配置发电机以及电路改造项目,draft,5,筹备中,True
2446,6e315aeb124b4afaac4c79345f3971dc,德阳市第一小学校通风换气设备采购及配套用电设施改造项目,draft,5,筹备中,True
2447,6ee79af1274b49ffbd25926ad5f04f4d,中国移动四川公司成都分公司2021-2025年管理用房及生产枢纽楼公共区域维修服务项目-上市,draft,5,筹备中,True
2448,6f39bd9ada194b63828edcb0f846c184,南平智能环保产业孵化中心监控设施及道闸安装工程,draft,5,筹备中,True
2449,6f5cacd6245346079d3cbc0f0dd078de,建筑门窗、幕墙工程施工图深化设计项目,draft,5,筹备中,True
2450,6f87b6f5c70744a0ad50b5bf87b32abb,丰都县峡南溪片区兴都公园大道西环线(K1+300—K2+611.409) 段市政道路工程,draft,5,筹备中,True
2451,70207ec218f04345ac987514a121c9ad,巴中临港产业园项目13#-16#楼标准厂房室内消防（BZS2022-73）,draft,5,筹备中,True
2452,702cd4f80b7c4180afc3a5730e29625f,荣昌区盘龙镇黄桷滩水库库区集体经济产业基础设施配套,draft,5,筹备中,True
2453,703168b02c414c4fa219307367d2fd54,2023年南岸区城市桥隧设施病害整治工程,draft,5,筹备中,True
2454,708f939840de45d7b68fc07e9200d912,合川分行沙溪分理处营业网点主体装修工程,draft,5,筹备中,True
2455,71158c73ca8e43bc9d7a0848181fdaaf,四川省玻纤集团有限公司屋面维修工程,draft,5,筹备中,True
2456,71387d99afc94f92aa22e36cb068524d,罗江县2018年水利发展资金高效节水灌溉项目,draft,5,筹备中,True
2457,71aafee1c1074febb2f69baf9ac964e3,渝北区龙泉水库大坝公路两侧人行便道扶助工程施工,draft,5,筹备中,True
2458,71b02926f98b416c8d27220566c4195c,绵阳市安州区公办学校空调电力改造安装工程(桑枣小学),draft,5,筹备中,True
2459,725351f017384485b35a2a9297a4739d,雅安市雨城区生活垃圾资源化利用项目劳务班组采购项目包件2钢结构,draft,5,筹备中,True
2460,7389350ed3904d4895d3a918fc3caad2,德阳市旌阳区东山社区卫生服务中心基层防治能力提升项目,draft,5,筹备中,True
2461,73b8da91cfe945d0bf6ba8babbeee779,什邡市方亭街道老旧小区改造项目六标段,draft,5,筹备中,True
2462,7454e9d853394d9991f8bf3b110b2e2a,四川省德阳市罗江区2019年元宝山片区高标准农田建设项目（一标段）,draft,5,筹备中,True
2463,7478e2bb9d1d401dabd67d1aae8e0d03,荣昌猪核心区建设基地(SPF猪生产示范场项目)二期,draft,5,筹备中,True
2464,74a80ab7582e4672815771b3b2c10fbe,2025年西南石油工程公司钻前辅助工程劳务框架招标（9标段：中江、孝泉等地区）项目,draft,5,筹备中,True
2465,74d58dce00e345c3af7cbdc58dc2bbbc,中国移动四川分公司德阳片区2018-2020年渠道零星维修项目（标包14）,draft,5,筹备中,True
2466,7502f0c9996a4e0893330ccf0d85661c,旌阳区城市地下综合管廊建设项目庐山路段中控室装饰装修工程专业分包,draft,5,筹备中,True
2467,765cd5c4cb9a494187d25185290c4027,洪安镇土门村杂柑基地改造提升项目,draft,5,筹备中,True
2468,769e23c09ba3423797b9306dd3a44b0c,喜德县2018年第二批农村公路工程尼波镇打尔村-甘洛村水泥路改建工程,draft,5,筹备中,True
2469,76d2c1e0fcf841bbae0d2d7e3ece029a,白鹤花园棚户区改造项目一期工程,draft,5,筹备中,True
2470,773f4494b4f54667ae4bac516f591fde,德阳市行政综合办公楼（老政务中心）屋面防水改造工程,draft,5,筹备中,True
2471,777eb3f422ea4384851c2e11090623ac,区级机关综合办公大楼车库地坪整治项目,draft,5,筹备中,True
2472,77a04024304d44bcae389f681f68f0c9,广汉市南兴镇农业综合开发高标准农田建设项目,draft,5,筹备中,True
