business_entity_id,business_entity_name,project_code,project_name,target_project_id,rows,amount_total,payment_rows,payment_amount,supplier_contract_rows,supplier_contract_amount,stock_in_rows,stock_in_amount,action
7,德阳市博众建材销售有限公司,SCBS-BUCKET-BE-7,SCBS未指定项目 - 德阳市博众建材销售有限公司,830,98,53327387.1,40,2735109.63,58,50592277.47,0,0.0,created_and_linked
4,四川世旺鑫润商贸有限公司,SCBS-BUCKET-BE-4,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,831,517,52498912.43,312,13938104.16,67,17440148.7,138,21120659.57,created_and_linked
3,德阳泰诚硕商贸有限公司,SCBS-BUCKET-BE-3,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,832,406,28755784.34,279,8824253.88,45,8285469.75,82,11646060.71,created_and_linked
6,四川晟博通达商贸有限公司,SCBS-BUCKET-BE-6,SCBS未指定项目 - 四川晟博通达商贸有限公司,833,246,26765695.7,125,9170777.91,40,5916143.54,81,11678774.25,created_and_linked
5,四川迈投建筑工程有限公司,SCBS-BUCKET-BE-5,SCBS未指定项目 - 四川迈投建筑工程有限公司,834,298,21703198.42,203,16375606.82,95,5327591.6,0,0.0,created_and_linked
8,四川鑫垚建筑劳务有限公司,SCBS-BUCKET-BE-8,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,835,297,11947951.95,249,8719682.95,48,3228269.0,0,0.0,created_and_linked
9,四川翔驰恒瑞商贸有限公司,SCBS-BUCKET-BE-9,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,836,166,11059541.87,125,5034940.06,5,439720.95,36,5584880.86,created_and_linked
10,四川宏政嘉斯建筑工程有限公司,SCBS-BUCKET-BE-10,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,837,82,4094308.33,57,2187341.35,25,1906966.98,0,0.0,created_and_linked
11,四川宏川建筑劳务有限公司,SCBS-BUCKET-BE-11,SCBS未指定项目 - 四川宏川建筑劳务有限公司,838,72,3405037.75,41,1345704.75,31,2059333.0,0,0.0,created_and_linked
12,德阳森元路面工程有限公司,SCBS-BUCKET-BE-12,SCBS未指定项目 - 德阳森元路面工程有限公司,839,37,1407100.48,23,341645.48,14,1065455.0,0,0.0,created_and_linked
22,德阳市区永沁建材经营部,SCBS-BUCKET-BE-22,SCBS未指定项目 - 德阳市区永沁建材经营部,840,6,526333.0,6,526333.0,0,0.0,0,0.0,created_and_linked
20,德阳市海旺建材经营部,SCBS-BUCKET-BE-20,SCBS未指定项目 - 德阳市海旺建材经营部,841,7,508615.0,7,508615.0,0,0.0,0,0.0,created_and_linked
21,德阳经开区科纳机械租赁部,SCBS-BUCKET-BE-21,SCBS未指定项目 - 德阳经开区科纳机械租赁部,842,5,499702.0,5,499702.0,0,0.0,0,0.0,created_and_linked
24,旌阳区加卓建筑材料经营部,SCBS-BUCKET-BE-24,SCBS未指定项目 - 旌阳区加卓建筑材料经营部,843,6,375020.0,6,375020.0,0,0.0,0,0.0,created_and_linked
14,四川嘉易欢悦建筑工程有限公司,SCBS-BUCKET-BE-14,SCBS未指定项目 - 四川嘉易欢悦建筑工程有限公司,844,6,225800.0,3,155300.0,3,70500.0,0,0.0,created_and_linked
28,德阳经开区铭杨建材经营部,SCBS-BUCKET-BE-28,SCBS未指定项目 - 德阳经开区铭杨建材经营部,845,4,175020.0,4,175020.0,0,0.0,0,0.0,created_and_linked
30,旌阳区立扬伟建材经营部,SCBS-BUCKET-BE-30,SCBS未指定项目 - 旌阳区立扬伟建材经营部,846,3,174500.0,3,174500.0,0,0.0,0,0.0,created_and_linked
34,旌阳区应木建材经营部,SCBS-BUCKET-BE-34,SCBS未指定项目 - 旌阳区应木建材经营部,847,1,122000.0,1,122000.0,0,0.0,0,0.0,created_and_linked
29,旌阳区宏裕辉建材经营部,SCBS-BUCKET-BE-29,SCBS未指定项目 - 旌阳区宏裕辉建材经营部,848,4,110580.98,4,110580.98,0,0.0,0,0.0,created_and_linked
13,公司综合平台,SCBS-BUCKET-BE-13,SCBS未指定项目 - 公司综合平台,849,5,0.0,0,0.0,0,0.0,5,0.0,created_and_linked
31,陕西煤业化工建设(集团)有限公司洗选煤运营分公司,SCBS-BUCKET-BE-31,SCBS未指定项目 - 陕西煤业化工建设(集团)有限公司洗选煤运营分公司,850,3,0.0,0,0.0,0,0.0,3,0.0,created_and_linked
