legacy_name,suggested_action,mapping_rows,target_entity_ids,target_entity_count,fact_rows,fact_amount
测试项目,ignore_or_conflict_test_value,1,,0,9,5797600.0
测试01,ignore_or_conflict_test_value,1,,0,1,0.0
