model,id,source_table,legacy_record_id
sc.legacy.scbs.fact.staging,64,T_FK_Supplier,01d8657e9cce47fcaafb135ca1e28a4c
sc.legacy.scbs.fact.staging,65,T_FK_Supplier,01e024616d8f49cb8a680d6069a5a3cb
sc.legacy.scbs.fact.staging,66,T_FK_Supplier,01e15a90cd954e7e817705ba7923aab1
sc.legacy.scbs.fact.staging,67,T_FK_Supplier,01e4a96e5d2340f69981f73f0691c64a
sc.legacy.scbs.fact.staging,68,T_FK_Supplier,01e7db6705eb434ab25fda8d6d2c96ed
sc.legacy.scbs.fact.staging,69,T_FK_Supplier,01e93cb9d6e8483cb63c22cebd3147e0
sc.legacy.scbs.fact.staging,70,T_FK_Supplier,01eb813f9082491ea0739c6556d3dc74
sc.legacy.scbs.fact.staging,71,T_FK_Supplier,01f5f7ab3e8e4199927180c141b9da66
sc.legacy.scbs.fact.staging,72,T_FK_Supplier,020e69d052ae43699477b851f0593eaf
sc.legacy.scbs.fact.staging,73,T_FK_Supplier,021b9711348c4f1ab69f140352b823c7
sc.legacy.scbs.fact.staging,74,T_FK_Supplier,021c665d3d574b0fa1882a2d94c89b91
sc.legacy.scbs.fact.staging,75,T_FK_Supplier,0256eaf4fa734da986560e034c457884
sc.legacy.scbs.fact.staging,76,T_FK_Supplier,02586e0ba3984bccadceef3317f1e269
sc.legacy.scbs.fact.staging,77,T_FK_Supplier,025bacb47d404eecbbe165867fecb133
sc.legacy.scbs.fact.staging,78,T_FK_Supplier,0260916125b24c7ea11685a4fb7788fc
sc.legacy.scbs.fact.staging,79,T_FK_Supplier,0262d1670e854d609b3939c57feb6f77
sc.legacy.scbs.fact.staging,80,T_FK_Supplier,026ff77f59224a6693e8f816e92e7f0a
sc.legacy.scbs.fact.staging,81,T_FK_Supplier,028feb41a6d54ad0a1622b115ad0ae05
sc.legacy.scbs.fact.staging,82,T_FK_Supplier,0290b95065bc4e3a9504ceb331bf11ba
sc.legacy.scbs.fact.staging,83,T_FK_Supplier,0290e15ae2c84d158c22a1b28ef5ef97
sc.legacy.scbs.fact.staging,84,T_FK_Supplier,02941fdff9f346ddab7b36ad28393715
sc.legacy.scbs.fact.staging,85,T_FK_Supplier,029f6028d5c046d88fa4815cf579e35a
sc.legacy.scbs.fact.staging,86,T_FK_Supplier,029fbf27438b43c0adac8f82954d653d
sc.legacy.scbs.fact.staging,87,T_FK_Supplier,02c0c565f23741b09a1e3a4f44d386bd
sc.legacy.scbs.fact.staging,88,T_FK_Supplier,02c14c53f9be450196c003b9fa65dd58
