run_id,contract_id,legacy_contract_id,legacy_project_id,project_id,partner_id,name,subject,type,state,line_count,is_locked,write_action_result
ITER-2026-04-15-CONTRACT-FINAL132,1284,e625638a3de54fc6ad2bbd8351973c2d,0201344da1b74e008006a7a96f90be6f,2116,4044,CONIN2601247,四川艺术职业学院消防隐患整治工程,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1285,e640e977c0b945c7bde642feb12e4de0,6b4e37cd90a94055a69de211efdab846,2444,5803,CONIN2601248,炼钢厂9米跨安全走道隐患整治,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1286,e64e4deb55f84a1495821f33e25ca994,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,CONIN2601249,4-8舍边和建筑系实训四合院门口透水砖恢复,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1287,e671ca51b0604754b464f402c5b03689,6b4e37cd90a94055a69de211efdab846,2444,3663,CONIN2601250,模锻厂-南电平车电源线铺设,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1288,e68951591e664ba583f2563258f71503,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,CONIN2601251,增加餐厨废弃物存放间,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1289,e68dbdfe6ccd45e8896f9e351618fd30,9ebba094a48443a39dd7e1421da8dfbb,2588,4408,CONIN2601252,德阳市香诗美林酒店管理有限公司食堂燃气报警系统安装工程,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1290,e6a65e33620e4e358c74341a123b79b8,77f6ddc2d277451f922b7c5177530dde,2474,4313,CONIN2601253,海正广场防护栏拆除,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1291,e6b86b78d41b4e9b95f665b780023409,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,CONIN2601254,玉泉路315号商校花园4栋一单元迁管工程,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1292,e6d3d11f2e1044a0ac76aba3ef58d88f,6b4e37cd90a94055a69de211efdab846,2444,5803,CONIN2601255,炼钢厂8号炉平台安全整治,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1293,e6e946096c7b438e86da7e1cfcd340cb,6b4e37cd90a94055a69de211efdab846,2444,3663,CONIN2601256,模锻厂-锤跨蒸汽管道修理,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1294,e7137d1a28f74c56b805623910a66a02,8565db0386b842f0932560eb0780e129,2525,5839,CONIN2601257,智慧之心项目5#泡沫混凝土工程,out,draft,0,False,created
ITER-2026-04-15-CONTRACT-FINAL132,1295,e73c1b3a04ee4b9a920ddbb726cd80f6,0c028a6f51ea4e728448ce29b1e2eaab,2140,4937,CONIN2601258,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）,out,draft,0,False,created
