legacy_member_id,legacy_project_id,legacy_user_ref,project_ref,user_ref,role_fact_status,import_batch,evidence,notes,active,replay_action
b8b48fbd0c3f4a649e344b86b7a4d3f7,71387d99afc94f92aa22e36cb068524d,10000026,legacy_project_sc_71387d99afc94f92aa22e36cb068524d,legacy_user_sc_10000026,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8b48fbd0c3f4a649e344b86b7a4d3f7,neutral staging only; role fact missing,1,create_if_missing
b8bda0636ada4d5b98951e571c421186,080a2d8ee204424a8b7edd08817eee20,10000051,legacy_project_sc_080a2d8ee204424a8b7edd08817eee20,legacy_user_sc_10000051,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8bda0636ada4d5b98951e571c421186,neutral staging only; role fact missing,1,create_if_missing
b8c5a851_7578_4551_9f88_0c4e2005dfd2,a1d5df160ba1409dbb581cc5c68a9cfc,10000076,legacy_project_sc_a1d5df160ba1409dbb581cc5c68a9cfc,legacy_user_sc_10000076,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B8C5A851-7578-4551-9F88-0C4E2005DFD2,neutral staging only; role fact missing,1,create_if_missing
b8da72d18aa340a2bc836ec02f7af8d9,64127fa422624757bc12f7dae485c234,10000020,legacy_project_sc_64127fa422624757bc12f7dae485c234,legacy_user_sc_10000020,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8da72d18aa340a2bc836ec02f7af8d9,neutral staging only; role fact missing,1,create_if_missing
b8dfd92a_1280_4574_b88c_8b314e29a8f8,74d58dce00e345c3af7cbdc58dc2bbbc,10000070,legacy_project_sc_74d58dce00e345c3af7cbdc58dc2bbbc,legacy_user_sc_10000070,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B8DFD92A-1280-4574-B88C-8B314E29A8F8,neutral staging only; role fact missing,1,create_if_missing
b8e0e5c11c5442daaef95cf2166e0e77,c845a86e0fed40a6afd947f09580664f,10000014,legacy_project_sc_c845a86e0fed40a6afd947f09580664f,legacy_user_sc_10000014,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8e0e5c11c5442daaef95cf2166e0e77,neutral staging only; role fact missing,1,create_if_missing
b8e17f81_caa5_479d_9c07_a8508b47afe4,2c8212fcec854602883cf1f1b88f9354,10000076,legacy_project_sc_2c8212fcec854602883cf1f1b88f9354,legacy_user_sc_10000076,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B8E17F81-CAA5-479D-9C07-A8508B47AFE4,neutral staging only; role fact missing,1,create_if_missing
b8e2d35878c44e2a821d3429102e308f,855160338f1e45cfbc0d0c34ed169a79,10000012,legacy_project_sc_855160338f1e45cfbc0d0c34ed169a79,legacy_user_sc_10000012,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8e2d35878c44e2a821d3429102e308f,neutral staging only; role fact missing,1,create_if_missing
b8ead47d53a24ede832dd97c1044afd4,9999948fd712497985312d9b63a718fb,10000038,legacy_project_sc_9999948fd712497985312d9b63a718fb,legacy_user_sc_10000038,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b8ead47d53a24ede832dd97c1044afd4,neutral staging only; role fact missing,1,create_if_missing
b8eaf62f_a6fc_4910_b1ef_faadea696676,edd87052c5a044328e248bb6b8168598,10000070,legacy_project_sc_edd87052c5a044328e248bb6b8168598,legacy_user_sc_10000070,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B8EAF62F-A6FC-4910-B1EF-FAADEA696676,neutral staging only; role fact missing,1,create_if_missing
