legacy_contract_id,legacy_project_id,subject,coverage_route,blockers,policy_route,policy_note
23284b7dd1304bb3ae1edcc3caf6bcf8,93f06cd7b4224d759b02bd71317c00d9,2025 年度钻前辅助工程及劳务项目第六标段2025年度西南油气分公司罗江、黄许、扬嘉、孝感、和新、新中、柏隆、绵竹、双东地区钻 前主体工程劳务分包项目,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2412fe6aadc64c699e639e3c677b2c76,e91ab58b0d264ccaba5f9356ad85ae44,西部(重庆)科学城保障性住房(一期)室外综合管网、景观、绿化、围 墙、精装修及标识标牌系统工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
244b71e59c284777afa594b7155865c7,9bd11b5b52694523b3eecb0ccf6c3c04,重庆轨道交通15号线一期土建工程01标金童路站2B出入口 DN500 给水管道迁改工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
24a431f479a5494c86c59933af595c72,22cc58beaef44ba5a8aae55953edd635,德阳市水韵江南小区4栋、13栋维修,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
27087b29110243a9b1384063e3964f31,7fa974d0bc674fb48bd98beaad6825ab,测试3423123,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
2780f0ac1f9b4eed9d17a2e0d8665e94,d673283d7f064228aa3bcdb822c8d425,中山市工业技术研究中心项目道路工程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
28862cb1f3ba40c6b78adb7960bbe7f6,28b43ef4516445d8a54326b977288fba,补充协议,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
289d7e2ed6004da7b43c89089720e33d,e9f5e654b3e249c3b4fd1600dcb58c63,补录老项目合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
28d5343d4cc5475bb925d9a5af03628f,9ebba094a48443a39dd7e1421da8dfbb,德阳开放大学厨房送排风系统安装工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
28fc4be205974e79820d97d406cd029c,9ebba094a48443a39dd7e1421da8dfbb,德阳宏泰盛源实业有限公司锅炉房燃气报警系统安装,discard_deleted_source,deleted_flag,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
293dbf3ae5e0468ca027eaf04bc3f9c8,9ebba094a48443a39dd7e1421da8dfbb,中国电信股份有限公司德阳分公司厨房及空调机房燃气报警系统安装,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2a49b8624fd145f2aa90177d3c2f4c9c,2c2cf0230879448b8aa65a135baa1292,四川省广汉市职业中专学校迁建项目土石方专业分包工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2bb8d71a5c29466db571fb753c78a29f,24be53b1b08345649d8f3786e0725e60,补录老项目合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2c63d820de7d43339d2e479dd70ce0d7,d5e059c23e3d4a2c802cbecb7911cd38,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同(二),partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2d11e799ec5b4338a551fb70dfd0dc1c,1791ed98bcc5407a9476f93365909791,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
2d9cba36a9c342a09a1552ee3a64462d,25fddeb8dbdb4060a3a72127b2a5108d,宁南县葫芦口镇,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
