source_table,legacy_record_id,project_name,other_system_id,company_id,fact_family,amount_total
T_FK_Supplier,240aa73bf639446ba040b0563113da3e,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,9
T_FK_Supplier,242ba954391b4581a1b4d042069c27a4,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,68962.66
T_FK_Supplier,2447c6b3bf3f47f6b80bda80a76bc686,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,-1000000
T_FK_Supplier,2475a86344e54b36bfbee3963a0a5caf,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,270
T_FK_Supplier,24780fd9e1d447219b221825b53451c9,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,-10765
T_FK_Supplier,2481ad66d469464096cdda6bfb86080a,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,3018.06
T_FK_Supplier,2486d65875244390932ab5fd82436b9d,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,30
T_FK_Supplier,24aa63903e644b699ecc2e0f4ea38ccc,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,30
T_FK_Supplier,24caba3a6ef64c5aa7da83070eb873c0,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,1206
T_FK_Supplier,2558aed6e6cc4925ace58f33be85f80c,四川翔驰恒瑞商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,,payment,18
T_FK_Supplier,25635268417a4a7487df17c87629357b,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,479690
T_FK_Supplier,2592927a55e348ad977576b3622e3b3a,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,42
T_FK_Supplier,259f03e40b124e73b9e479b747d0bd5a,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,216.63
T_FK_Supplier,25aa05887cab4146a6b37ae6358be036,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,-5809.43
T_FK_Supplier,25bbf720a4ee40aa89d096016fca10f2,德阳市博众建材销售有限公司,SCBS:BASE_SYSTEM_PROJECT:88ca50467a784725aa4b42467b549e21,,payment,500000
T_FK_Supplier,25be9b8fad304f06ac619ebde3db5e8b,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,-5000
T_FK_Supplier,25c21372611c48368d35466c1c5e980b,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,40
T_FK_Supplier,25f1c3e0386b459d8c35c5c628a65ee3,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,-6779.5
T_FK_Supplier,262130602127479da0ac9d0002fe2d43,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,15
T_FK_Supplier,267bf0adcd6a492cb20375148a21d0dd,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,200
