model,id,legacy_material_id,name,code
sc.material.catalog,6840661,6354409660494a0c82af786604f1bf17,商品混凝土,SCBS-6354409660494a0c82af7866
sc.material.catalog,6840662,b17fdf37c172431ca2a4d56fa4759d62,商品混凝土,SCBS-b17fdf37c172431ca2a4d56f
sc.material.catalog,6840663,eb1f9ff787a24dba9ee20723707f6110,商品混凝土,SCBS-eb1f9ff787a24dba9ee20723
sc.material.catalog,6840664,51948c07f10740b69aa4300c2ff62911,商品混凝土,SCBS-51948c07f10740b69aa4300c
sc.material.catalog,6840665,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,SCBS-ba944f5415d6498280ee8242
sc.material.catalog,6840666,0dd03d3aed624015a78645b47cbed417,沥青混凝土,SCBS-0dd03d3aed624015a78645b4
sc.material.catalog,6840667,9ab5067cd1094dc58704accffdf4b079,承重内保温球墨铸铁井盖,SCBS-9ab5067cd1094dc58704accf
sc.material.catalog,6840668,2d0fbc89f3dc434cb6711dd8cfca7856,商品混凝土,SCBS-2d0fbc89f3dc434cb6711dd8
sc.material.catalog,6840669,b8b5b42b765a4b3bb975fc9a589140b2,砂石,SCBS-b8b5b42b765a4b3bb975fc9a
sc.material.catalog,6840670,8d83632cb4f5437395ca5504352e99a3,二灰废料,SCBS-8d83632cb4f5437395ca5504
sc.material.catalog,6840671,69043f56addb4e909419e2cce6b5dacc,块石,SCBS-69043f56addb4e909419e2cc
sc.material.catalog,6840672,3cc6d10f287e404ab2b45e39d9fe6c99,仿花岗石芝麻灰pc砖,SCBS-3cc6d10f287e404ab2b45e39
sc.material.catalog,6840673,001764a2bd3a44aa808eeae067a48926,螺纹钢HRB400E,SCBS-001764a2bd3a44aa808eeae0
sc.material.catalog,6840674,75149db58f034e6d8cbc32fdbfd0fd51,烧结普通砖,SCBS-75149db58f034e6d8cbc32fd
sc.material.catalog,6840675,af2584e2b70e43d78d6c6656d6ca85ce,PC砖,SCBS-af2584e2b70e43d78d6c6656
sc.material.catalog,6840676,7b02672d31284f8c94be9b74f9aeb567,pc砖,SCBS-7b02672d31284f8c94be9b74
sc.material.catalog,6840677,b6d5f078843647d2a9833e1bb3a9d7b7,仿花岗岩芝麻灰PC路缘石,SCBS-b6d5f078843647d2a9833e1b
sc.material.catalog,6840678,a889a257c85f446099efbe4eb9a3a37b,地铺石,SCBS-a889a257c85f446099efbe4e
sc.material.catalog,6840679,ea05d38044194c80b4d1cf39940ff662,砂石,SCBS-ea05d38044194c80b4d1cf39
sc.material.catalog,6840680,40c5048ebeb147c7928e3fca32df455e,中粒式改性沥青砼,SCBS-40c5048ebeb147c7928e3fca
sc.material.catalog,6840681,15bad534041b4f548dca2f778b8d4955,商品混凝土,SCBS-15bad534041b4f548dca2f77
sc.material.catalog,6840682,aa3f846e074a437986ff6bf6eef67c97,标砖,SCBS-aa3f846e074a437986ff6bf6
sc.material.catalog,6840683,71c7b525fe54427786dec5f43588453d,商品混凝土,SCBS-71c7b525fe54427786dec5f4
sc.material.catalog,6840684,4f5621c67c1a46bcb1ba6c876cb309a1,干混地面砂浆,SCBS-4f5621c67c1a46bcb1ba6c87
sc.material.catalog,6840685,eca68bba74e14a6d86b90099bbe4a418,沥青混凝土,SCBS-eca68bba74e14a6d86b90099
sc.material.catalog,6840686,f0f285ff96ed493aa7e6226a36b3a4a9,CPVC电力管,SCBS-f0f285ff96ed493aa7e6226a
sc.material.catalog,6840687,894c684f571f4d19980afcdaeb4bc342,商品混泥土,SCBS-894c684f571f4d19980afcda
sc.material.catalog,6840688,52a8ce327ab44189bcd4909fa8fc6e3e,仿花岗岩芝麻灰pc路缘石,SCBS-52a8ce327ab44189bcd4909f
sc.material.catalog,6840689,1113eee7facf48b282d2887f25ef19f2,水泥,SCBS-1113eee7facf48b282d2887f
sc.material.catalog,6840690,df94bafca71c45c788f7f3b998ea4f83,花岗石透水砖,SCBS-df94bafca71c45c788f7f3b9
sc.material.catalog,6840691,cf3c336ad94744ba9fb1e0b97626d3b1,汉白玉栏杆,SCBS-cf3c336ad94744ba9fb1e0b9
sc.material.catalog,6840692,eeab71bc7b5448f198ccc88d1b1e0a89,商品混凝土,SCBS-eeab71bc7b5448f198ccc88d
sc.material.catalog,6840693,8d3c135ba8394646b7f99c495570ba1f,电线电缆WDZN-YJV,SCBS-8d3c135ba8394646b7f99c49
sc.material.catalog,6840694,515fa5829f154642b97cab5400b4c3c5,螺纹钢HRB400E,SCBS-515fa5829f154642b97cab54
sc.material.catalog,6840695,95b248d9069d4eaaa01084dfdd9e9e18,HDPE钢带增强聚乙烯螺旋波纹管,SCBS-95b248d9069d4eaaa01084df
sc.material.catalog,6840696,db6b43eb0ac949b8a20290daae159226,沥青混凝土,SCBS-db6b43eb0ac949b8a20290da
sc.material.catalog,6840697,eb4c2881afc5489ebb01d48999b4587b,商品混泥土,SCBS-eb4c2881afc5489ebb01d489
sc.material.catalog,6840698,de4f4a2ac5304ddeacef70ebd49a0317,盘螺 HRB400E,SCBS-de4f4a2ac5304ddeacef70eb
sc.material.catalog,6840699,d68fae4566ea46318afbd1905bea5b1a,胶合板（建筑模板）,SCBS-d68fae4566ea46318afbd190
sc.material.catalog,6840700,42663711adb940dcbe9306ffc090298b,铜芯电缆YJV5*120,SCBS-42663711adb940dcbe9306ff
sc.material.catalog,6840701,bb9d830edf92476dbc824ac2f07bb98f,沥青混凝土,SCBS-bb9d830edf92476dbc824ac2
sc.material.catalog,6840702,dbbd23881fe54b7782ceb349218d6620,毛条石,SCBS-dbbd23881fe54b7782ceb349
sc.material.catalog,6840703,a3e97b0639ed40dbb05a14624294f246,螺纹钢HRB400E,SCBS-a3e97b0639ed40dbb05a1462
sc.material.catalog,6840704,79b47659423a4a229068e86103820754,螺纹钢,SCBS-79b47659423a4a229068e861
sc.material.catalog,6840705,640b03c70a204807bfa1ddd9ebdb166a,商品水稳层,SCBS-640b03c70a204807bfa1ddd9
sc.material.catalog,6840706,60d5bf2f888e4908a5b56ae0a553e801,商品水稳层,SCBS-60d5bf2f888e4908a5b56ae0
sc.material.catalog,6840707,6fef288ead32418aa24d7d3aa5f8679e,商品混凝土,SCBS-6fef288ead32418aa24d7d3a
sc.material.catalog,6840708,b396169b14ba4131a0d02920b2ff8bd0,LED教室灯,SCBS-b396169b14ba4131a0d02920
sc.material.catalog,6840709,04ad3b0223994cb5b2002bda62191477,仿花岗石盲道pc砖,SCBS-04ad3b0223994cb5b2002bda
sc.material.catalog,6840710,cf520000401d482a92370762c21aba04,钢带缠绕管,SCBS-cf520000401d482a92370762
sc.material.catalog,6840711,79f0c10f12bc442188f0bcae6711dbb0,CPVC管,SCBS-79f0c10f12bc442188f0bcae
sc.material.catalog,6840712,1bd3d6f1b22b409e860323db0a9ad430,芝麻灰花岗石路沿石,SCBS-1bd3d6f1b22b409e860323db
sc.material.catalog,6840713,fdc23934533f47909039feac328f372a,商砼,SCBS-fdc23934533f47909039feac
sc.material.catalog,6840714,076464c55e8a475ea13911e1120552d6,PVC-C,SCBS-076464c55e8a475ea13911e1
sc.material.catalog,6840715,fc1203fdeabb4f7fb2d30a7051504cd8,商品混凝土,SCBS-fc1203fdeabb4f7fb2d30a70
sc.material.catalog,6840716,b3ee27725ba641d7b4820911d72c4dc6,螺纹钢HRB400E,SCBS-b3ee27725ba641d7b4820911
sc.material.catalog,6840717,ffb2811d7b2a4a0e9f40793e88f9ba97,花岗石人行道板芝麻灰烧面,SCBS-ffb2811d7b2a4a0e9f40793e
sc.material.catalog,6840718,6fb7c5bab39a4b03b13e150e72d5e764,综合排管,SCBS-6fb7c5bab39a4b03b13e150e
sc.material.catalog,6840719,74aeb280d6054abcb88a34065df8440a,无缝钢管,SCBS-74aeb280d6054abcb88a3406
sc.material.catalog,6840720,99af91e664884fd2a547a0e2a9de5c1f,水泥稳定级配料,SCBS-99af91e664884fd2a547a0e2
