id,legacy_project_id,lifecycle_state,phase_key,sc_execution_state,stage_id
2,00a4bb196d944fa5a8c56e3bd3f1e448,in_progress,execution,in_progress,6
3,00c73f013e234461883beac337e8d75d,in_progress,execution,in_progress,6
4,00db8d3baa894d1e8efd7acd181f6499,in_progress,execution,in_progress,6
5,0201344da1b74e008006a7a96f90be6f,in_progress,execution,in_progress,6
6,020eddc09afb4260a5843a84ee58d826,in_progress,execution,in_progress,6
7,027c5b467ae94e52aabb6f6218d310d4,in_progress,execution,in_progress,6
8,02df67b4ddb6469b81ed551e9b544d25,in_progress,execution,in_progress,6
9,037fddc6219449c3840477989cc06f82,in_progress,execution,in_progress,6
10,03f8997135504039a36557ec6e57909b,in_progress,execution,in_progress,6
12,04c36990cc144f04b8f2423c36e5f713,in_progress,execution,in_progress,6
13,04d0a65675424e41b8c65ba26ef48b4e,in_progress,execution,in_progress,6
14,05139ca820724561bee71e016b22fd55,in_progress,execution,in_progress,6
15,0550ea3a2e1b4161b25a697476e344b5,in_progress,execution,in_progress,6
16,059742d9ac094c018b91894306d5fc2d,in_progress,execution,in_progress,6
17,069cd56871fd4307b836a3167fddf14b,in_progress,execution,in_progress,6
19,06cd855d5ede4a279a81568903836256,in_progress,execution,in_progress,6
20,072425c9c9ad453eb60c137fd4215459,in_progress,execution,in_progress,6
21,076d8bcae3064dca8927f4f629bf2356,in_progress,execution,in_progress,6
22,07e6484cc40d4609b0bcafcf187dd9af,in_progress,execution,in_progress,6
23,080a2d8ee204424a8b7edd08817eee20,in_progress,execution,in_progress,6
24,088193c97f1443b58f1489b321c1288a,in_progress,execution,in_progress,6
25,08ac2e586f574d39a3272852fa22bf71,in_progress,execution,in_progress,6
26,08fa00e1bf9d4c88bcbfa652610aa347,in_progress,execution,in_progress,6
27,092bc953078b42ab89b7a9d07fecab66,in_progress,execution,in_progress,6
28,09a62a54dcf645d6b7030d40fbdac1cb,in_progress,execution,in_progress,6
29,09ba719dfd18431a951ec77d29ea6194,in_progress,execution,in_progress,6
30,0a098ceefc5046c380028104a3caa2af,in_progress,execution,in_progress,6
31,0b3b88a05d6d454b9cbbe6b4c3c342d5,in_progress,execution,in_progress,6
33,0c028a6f51ea4e728448ce29b1e2eaab,in_progress,execution,in_progress,6
34,0c4f914eee3547c185a2108fc1f768df,in_progress,execution,in_progress,6
35,0c8c213e89204a6fb61a4c8ac79f0d4a,in_progress,execution,in_progress,6
36,0cdd82e96265456494a1de15f36c433e,in_progress,execution,in_progress,6
37,0d21826a7ebb4dbfb7317338baaf57a0,in_progress,execution,in_progress,6
