legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code,legacy_stage_id,legacy_stage_name,legacy_region_id,legacy_region_name,legacy_state,legacy_deleted_flag,legacy_project_manager_name,legacy_technical_responsibility_name,current_db_project_id,evidence_file,idempotency_key,replay_action
069cd56871fd4307b836a3167fddf14b,10628,和田地区于田县高速公路10千伏线路迁改工程,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,436,61b686151e7a438eae9e8813786c4801,,,,109570,16982985598510000,,,,,,0,,,2127,artifacts/migration/project_create_only_write_result_v1.json,project::069cd56871fd4307b836a3167fddf14b,create_if_missing
06c94694eb3e418bb4ceb5e55a987583,16971689320260000,崴和路边坡滑坡治理,,,1,四川保盛建设集团有限公司,430001,公路工程,1,联营,,,,1,,34aa96e6e1144f352447f23a579e7f64,,,,,,,,,,,1,,,2128,artifacts/migration/project_create_only_write_result_v1.json,project::06c94694eb3e418bb4ceb5e55a987583,create_if_missing
06cd855d5ede4a279a81568903836256,17332125573940000,白鹤花园修建建筑垃圾池,,,1,四川保盛建设集团有限公司,400001,市政工程,0,联营,,,,0,,69776efdb9f520ac4bc2cacb87874606,,,,191770,17366521172650000,,,,,,0,,,2129,artifacts/migration/project_create_only_write_result_v1.json,project::06cd855d5ede4a279a81568903836256,create_if_missing
072425c9c9ad453eb60c137fd4215459,10520,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,329,eacb5bb83b1e46fc99bcde9cdbf6f596,,,,109667,16982985724290001,,,,,,0,,,2130,artifacts/migration/project_create_only_write_result_v1.json,project::072425c9c9ad453eb60c137fd4215459,create_if_missing
076d8bcae3064dca8927f4f629bf2356,10426,中国移动四川西区二枢纽“车库改机房”土建工程,,正式项目,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,234,040fd0422f324f3fa4d49b9a0eac60ff,,,,109735,16982985809600001,,,,,,0,,,2131,artifacts/migration/project_create_only_write_result_v1.json,project::076d8bcae3064dca8927f4f629bf2356,create_if_missing
07e6484cc40d4609b0bcafcf187dd9af,16999467302380000,德阳市天府旌城石亭江河段堤防改建给水迁改工程,,,1,四川保盛建设集团有限公司,400001,市政工程,1,联营,,,,0,,5747dd2e693d30d433daa5e09d072986,,,,115139,17018337601850001,,,,,,0,,,2132,artifacts/migration/project_create_only_write_result_v1.json,project::07e6484cc40d4609b0bcafcf187dd9af,create_if_missing
080a2d8ee204424a8b7edd08817eee20,10505,2017年公路水毁修复工程（双石镇）,,正式项目,1,四川保盛建设集团有限公司,3220001,公路交通,1,联营,,,,0,314,77745657c61e4c518b6944130ee6047a,,,,109681,16982985741790001,,,,,,0,,,2133,artifacts/migration/project_create_only_write_result_v1.json,project::080a2d8ee204424a8b7edd08817eee20,create_if_missing
088193c97f1443b58f1489b321c1288a,17333702281750000,浪卡子县白地乡龙桑村水塘工程项目(1标段),,,1,四川保盛建设集团有限公司,440001,水利工程,0,联营,,,,0,,6829d5285a9127448332595d12fa12f4,,,,190048,17339744856300000,,,,,,0,,,2134,artifacts/migration/project_create_only_write_result_v1.json,project::088193c97f1443b58f1489b321c1288a,create_if_missing
08ac2e586f574d39a3272852fa22bf71,10270,德昌县宽裕镇花园村文化休闲广场,德阳市公安局罗江区德昌县宽裕镇花园村文化休闲广场,正式项目,141,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,121,30f5317eef1f46aba85c7fa602db08f6,,,,109837,16982986242720001,,,,,,0,,,2135,artifacts/migration/project_create_only_write_result_v1.json,project::08ac2e586f574d39a3272852fa22bf71,create_if_missing
08fa00e1bf9d4c88bcbfa652610aa347,10729,永川区卫星中型灌区续建配套与节水改造工程,,正式项目,1,四川保盛建设集团有限公司,10730001,水利水电工程,1,联营,,,,0,534,1bc6ab09279e4744a55669d9930ee186,,,,109492,16982984916330001,,,,,,0,,,2136,artifacts/migration/project_create_only_write_result_v1.json,project::08fa00e1bf9d4c88bcbfa652610aa347,create_if_missing
092bc953078b42ab89b7a9d07fecab66,10398,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,209,37252278fdd446249a623b6e39cb4e14,,,,109750,16982985829450001,,,,,,0,,,2137,artifacts/migration/project_create_only_expand_write_result_v1.json,project::092bc953078b42ab89b7a9d07fecab66,create_if_missing
09a62a54dcf645d6b7030d40fbdac1cb,10498,林芝市财富阳光建设项目消防工程,,正式项目,1,四川保盛建设集团有限公司,3240001,消防设施,1,联营,,,,0,307,8b10360b1a8241fd8e8b75a8d2f78c73,,,,109688,16982985750230001,,,,,,0,,,2144,artifacts/migration/project_create_only_expand_write_result_v1.json,project::09a62a54dcf645d6b7030d40fbdac1cb,create_if_missing
09ba719dfd18431a951ec77d29ea6194,17473583981170000,焙浸车间硫酸罐区防腐项目工程,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,eda4b466016b6591aee85847d22a8f4e,,,,214321,17493534527250000,,,,,0,0,,,2145,artifacts/migration/project_create_only_expand_write_result_v1.json,project::09ba719dfd18431a951ec77d29ea6194,create_if_missing
0a098ceefc5046c380028104a3caa2af,10824,中建天投天河区育新街南侧AT0304011-1地块项目,,正式项目,1,四川保盛建设集团有限公司,460001,专业分包,0,自营,,,,0,629,2842da20c989473282b9437865283343,,,,,,,,,,,1,,,2138,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0a098ceefc5046c380028104a3caa2af,create_if_missing
0b3b88a05d6d454b9cbbe6b4c3c342d5,17709677461580000,岳普湖县防沙治沙电力配套设施建设项目,,,565,保盛新疆分公司,10890001,电力工程,1,联营,,,,1,,5b5a746890cb0097840f78d60f267f6f,,,,261151,17723318707090000,,,,,0,0,,,2139,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0b3b88a05d6d454b9cbbe6b4c3c342d5,create_if_missing
0bb1dac8c9a94e39b421b3a619491c1f,16926693942450000,公司综合管理平台,,,1,四川保盛建设集团有限公司,256f5fcf25944b49b9f6bc3c86f71510,内部,0,,,,,0,,1a9f92ca5d111b97dc83c54ec7446f71,,,,,,,,,,,1,,,2146,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0bb1dac8c9a94e39b421b3a619491c1f,create_if_missing
0c028a6f51ea4e728448ce29b1e2eaab,17283751663400000,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,,,570,保盛重庆分公司,400001,市政工程,0,联营,,,,0,,0828c91f4a2ec28a368a603e8b6c8e99,,,,181031,17286088295120000,,,,,,0,,,2140,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0c028a6f51ea4e728448ce29b1e2eaab,create_if_missing
0c4f914eee3547c185a2108fc1f768df,10537,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,345,14073cb0b3a84b6983e746757c6496c9,,,,109654,16982985708670001,,,,,,0,,,2147,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0c4f914eee3547c185a2108fc1f768df,create_if_missing
