legacy_contract_id,legacy_project_id,subject,contract_no,direction,counterparty_text,partner_id,legacy_partner_source,legacy_partner_id,match_type,legacy_status,legacy_deleted
0a2327c0e84a47ebaf4218101ec2fdd3,28020d9fe0c345f295ebbf4b41c119e4,绵竹市城区停车场建设项目二期设计施工（一标段）项目模板脚手架专业分包工程,DYS2025-68,out,中国建筑第六工程局有限公司,107,cooperat_company,7ce672292518434bac72c88850ecd357,exact,2,0
102f1039d9bf4d7e8cb2946dbf2aab72,23aa1343ca99440abf7bd7315fd60c6a,中核中原建设 2022-2023 年度华北、西北区域脚手架专业分包框架协议,SNS2022-96,out,中国核工业中原建设有限公司,109,cooperat_company,9D1DEAFCBB2D410185C657F95D399C19,exact,2,
2642d1906f134f568ddcf9b818b96578,14c4325bb56b408788e6f442f4384374,广东南华工商职业学院清远校区二期建设工程 （ 学 生生活区、教学行政区）,GDS2022-113,out,中国建筑第四工程局有限公司,108,cooperat_company,E761D25EBB404B95A754AC023D70D3A3,exact,2,
359ceebc083241caab1db9b39a2c33ba,1524f421b94c41698305394cf8691f44,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,CDS2025-164,out,中国移动通信集团四川有限公司天府新区分公司,118,cooperat_company,0E6294EEDE0C421EA16938E0E1D1DF55,exact,2,0
36b4b9472702459e80a3cac11f08b27d,26a87546cbc24afcb6852904c53cf90c,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-上市公司,LSS2025-155,out,中国移动通信集团四川有限公司,115,cooperat_company,287c461b2f76478697038144e47b9279,exact,2,0
3711d3dac7ba46118043cafaae7eb45c,1aef1f14fbf64e46a61e70d6cef5955f,龙岗001-20井气田水回注安装工程,NCS2022-68,out,中国石油天然气第七建设有限公司,114,cooperat_company,26e255b6ebb54b678dfdd3463743d479,exact,2,
60b982a1089a4503a46fa3954832143d,23cc90c8afb441639a37ac3d7a9e4fe5,某部机关院内及教导队营房维修项目,DYS2022-58,out,中国人民武装警察部队德阳支队,91,cooperat_company,8A7CA37FD82D451881660F2AECD0F5AB,exact,2,
81dbe78d87334ee8914ac5e704aa6a28,076d8bcae3064dca8927f4f629bf2356,中国移动四川西区二枢纽“车库改机房”土建工程,LSS2020-12,out,中国移动通信集团四川有限公司,115,cooperat_company,287c461b2f76478697038144e47b9279,exact,2,
ab66b22d46754e96afe821d9cc4c49f3,1ceeb10c5d5745879b20d438e2e69534,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同,DYS2020-63,out,中国华西企业股份有限公司,102,cooperat_company,C0D75F520DE543C690CE8D9E105447DA,exact,2,
bbf50c8fdc56423eb1a4339ef4eb2ab3,2001f5127b3e4265b198bef8a7553358,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程,DYS2020-44,out,中国华西企业股份有限公司,102,cooperat_company,C0D75F520DE543C690CE8D9E105447DA,exact,2,
d55e6a51a92a41fe8a7cc79f2cd6ca50,059742d9ac094c018b91894306d5fc2d,ALC预制隔墙板供应及施工分包合同,DYS2021-46,out,中国建筑一局（集团）有限公司,105,cooperat_company,437ee3d15a2548d781620fa3fdc7b1be,exact,2,
f8907855353b4e09a8101022cac1433e,0550ea3a2e1b4161b25a697476e344b5,准环对称仿星器项目,CDS2025-08,out,中国建筑第六工程局有限公司,107,cooperat_company,7ce672292518434bac72c88850ecd357,exact,2,0
