contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
985,af308b5722bd438494ef155b4b21f3e4,791aca08955c42f088311447b7b70e38,2480,广汉市文化体育中心室外篮球场维修项目,4217,广汉市文化体育中心,CONIN2600948,广汉市文化体育中心室外篮球场维修项目,out,draft,DYS2020-51,WBHTGL-20201208-001,1000000308,2,,广汉市文化体育中心,0,False
986,af3ef0e40a95486d89e45d834a85fc1b,66b66086a7144848ba8194ce7db8f101,2430,中国移动四川分公司乐山片区2018-2020年渠道零星维修项目（标包5）,116,中国移动通信集团四川有限公司乐山分公司,CONIN2600949,中国移动四川分公司乐山片区2018-2020年渠道零星维修项目,out,draft,LSS2019-22,WBHTGL-20200311-007,1000000116,2,,中国移动通信集团四川有限公司乐山分公司,0,False
987,af5fa6a6fc52406b92d63bbf2d4631c7,c482406a0a254922800ed08a40707fc5,2696,棉县高层安置小区消防系统维修项目（向阳小区）消防专业分包,5051,雅安市华盛建筑工程有限公司,CONIN2600950,石棉县高层安置小区消防系统维修项目（向阳小区）消防专业分包,out,draft,YAS2022-93,WBHTGL-20221115-002,1000000798,2,,雅安市华盛建筑工程有限公司,0,False
988,af61d55db0e94ccfbf1cd802971ec934,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600951,热处理厂-房及下水道清淤及4跨天沟清理,out,draft,DYS2025-178,WBHTGL-20251022-001,17610952874290000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
989,af66743c36574f30868362dd28fddaf7,d44862eefe674f20bc033c364f15c515,2734,喀什地区检察院办案与专业技术用房外立面改造项目,4569,新疆维吾尔自治区人民检察院喀什分院,CONIN2600952,结算审核报告,out,draft,XJ2024-115-2,WBHTGL-20250114-002,17368420719520000,2,0,新疆维吾尔自治区人民检察院喀什分院,0,False
990,af758aee36c64711bbc44794d50fed1a,77f6ddc2d277451f922b7c5177530dde,2474,违法建（构）筑物拆除工程施工协议2021-2024,4313,德阳市城市管理行政执法局,CONIN2600953,违法建（构）筑物拆除工程施工合同,out,draft,DYS2021-38-2,WBHTGL-20231205-003,17017604763950000,2,0,德阳市城市管理行政执法局,0,False
991,af9ae388283248a280b8d35544f37a20,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600954,新建学生宿舍周边环境改造,out,draft,DYS2021-12-17,WBHTGL-20210722-002,1000000482,2,,四川工程职业技术学院,0,False
992,afc8ad684ebd44c88adb261f2d39d394,e5d7653bc34a45649a7083c79912cf8e,2791,德阳站综合交通枢纽改造项目（德阳站、S11 线连通工程等 4 个子项）漓江一、二西路特殊地基处理工程,3682,中建三局集团（德阳）有限公司,CONIN2600955,德阳站综合交通枢纽改造项目（德阳站、S11 线连通工程等 4 个子项）漓江一、二西路特殊地基处理工程,out,draft,DYS2024-91,WBHTGL-20240524-002,17165412644730000,2,0,中建三局集团（德阳）有限公司,0,False
993,affffe3393b04b00bb49c8a09efeafee,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600956,模锻厂-工业炉窑梯台安全整治,out,draft,DYS2024-97,WBHTGL-20240530-003,17170417658120000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
994,b00eab59780041f99821a1808181389c,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3934,四川工程职业技术大学,CONIN2600957,竣工结算审核报告334400.25,out,draft,DYS2025-166-2,WBHTGL-20260105-005,17675809416990000,2,0,四川工程职业技术大学,0,False
