model,description,count,actions,views,present_pairs,visible_pairs,with_creator,with_time,technical_creator,technical_time,non_business_creator,source_backfill_gaps,accepted_entry_mismatches,state
sc.project.stage.requirement.item,项目阶段要求项,6,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.project.structure,项目工程结构,0,2,8,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.quality.issue,质量问题,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.quality.recheck,质量复验,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.quality.rectification,质量整改,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.receipt.income,收款与收入登记,29105,4,7,"[""creator_name/created_time""]","[""creator_name/created_time""]",28958,27422,0,0,0,,0,ok_visible
sc.receipt.invoice.line,收款发票明细,4454,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.risk.item,风险项,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.risk.library,风险库,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.disclosure,安全交底,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.issue,安全问题,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.patrol.task,安全巡检任务,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.plan,安全施工方案,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.recheck,安全复验,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.safety.rectification,安全整改,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.settlement.adjustment,结算调整,13521,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",13518,13521,0,0,0,0,0,ok_visible
sc.settlement.order,结算单,2747,4,8,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",2742,2736,0,0,0,0,0,ok_visible
sc.site.photo.batch,现场照片批次,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.subcontract.plan,分包计划,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
