project_id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,rollback_eligible
2837,f566b87da9024087a8da380d976a5554,河黄路种子加工中心至双佳养殖场、罗绵路至种子加工中心、制种基地展示中心至种子加工中心、罗绵路至彩色油路沥青摊铺项目,draft,5,筹备中,True
2838,f63676e5d4b844eaaecbe42cc2218d75,德阳高新区万福棚户区改造工程一期一标段“8.11”特大暴雨灾后修复工程,draft,5,筹备中,True
2839,f680bdc8b1ae4a6a84fe7066f7b8056c,A项目-建筑幕墙专业分包,draft,5,筹备中,True
2840,f6db642585394c49a6278eb0eed3119a,柳梧新区雨污水管网及防洪渠维保服务采购项目一标段,draft,5,筹备中,True
2841,f73c2f32e28d4180a093122ef1129461,柳梧新区地下雨水管网清理项目,draft,5,筹备中,True
2842,f772a3bb0b27467eaf46a8b7e13155c9,全民健身活动中心五人制足球场实施维修改造项目,draft,5,筹备中,True
2843,f77d5a1eff67405982b3178110ab35b6,盾构机制造、总装调试及再制造项目区域工程厂房钢结构专业分包施工程,draft,5,筹备中,True
2844,f818ed35825945368619a8ed681101dc,齐家堰水生态保护修复项目,draft,5,筹备中,True
2845,f83ec03b24d24fec8c8fb9cfadb304f7,重庆市沙坪坝区土主街道桐子林黄金湾C1栋 二层,draft,5,筹备中,True
2846,f947d45769804682af3a6233ff0b5d0d,中国移动四川分公司巴中分公司2021-2022渠道维修采购项目框架协议,draft,5,筹备中,True
2847,fa54a849d16840faa4991732709c30b6,德阳市旌北13、14#地块（德阳北站TOD及基础设施配套项目）项目示范区园林景观工程专业分包,draft,5,筹备中,True
2848,fa81dfa136ae42009e8d1d86af0bd1e2,德阳市罗江区一根松应急抢险工程,draft,5,筹备中,True
2849,faa210f1d28440a8b24e787a2db4e1d8,塔什库尔干县塔什库尔干乡托格伦夏村村容村貌整治提升项目,draft,5,筹备中,True
2850,fafad4e03da24e98b7f8cf26706127b8,中国移动四川分公司天府新区2018-2020年渠道零星维修项目（标包4）,draft,5,筹备中,True
2851,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,draft,5,筹备中,True
2852,fb6de3927cc44f4497c986be12ecd05f,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包1 成都,draft,5,筹备中,True
2853,fbbe809ac1994bf9a245f59229553730,四川建筑职业技术学院成都校区迁建工程（二期）室内外消防工程,draft,5,筹备中,True
2854,fd55ff03dc53471a90744a6e145fbba7,新能源电气控制系统研发制造中心项目,draft,5,筹备中,True
2855,fdeb2bb017b94856850715fb5f1ec2c0,射洪县金鹤乡白店村、长房村、大榆镇松林村等3个高标准基本农田建设项目,draft,5,筹备中,True
2856,fe69283d9c29498bab1083b9a12cce88,2025年西南石油工程公司钻前辅助工程劳务框架招标（7标段：成都、绵阳等地区）项目,draft,5,筹备中,True
2857,febf7841fc634ae09dfed83a425979a4,成青路（S105）、河黄路、子汉路路面维修工程,draft,5,筹备中,True
2858,fee87af934dd4759852f0af8b05b6022,石灵社区杂物室、防腐木扶手等零星项目,draft,5,筹备中,True
2859,ff1cd896b4c94a229a243a8228fa9816,修剪田坝村、中南村、西铁村社区老旧小区存量违法建筑周边树木,draft,5,筹备中,True
2860,ff88aca287f94ee09bcc0a53649e5c0f,广清城际轨道交通项目（花都段）安置区工程（秀 全街乐同安置区）一期施工总承包项目 【园林园建】工程专业分包,draft,5,筹备中,True
2861,ff9ee430d28a4fb2b4279a6e9634c247,绵阳市游仙区魏城镇竹柳村（原柳塔村二组）通组路建设工程项目,draft,5,筹备中,True
