review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,e4cfc811d0514aa4a5f51aeece2d5d3f,堵漏剂,,件,1,1,66.0000,4950.00,,0,2076562,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,3771d1189d054fcc86be5844176c66d3,空心砖,,M3,1,1,25.9440,4669.92,,0,1498242,241
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,8dfd47e3962842bea71d036d070f6748,盖土网,,卷,2,1,277.0260,4150.00,,0,1655486,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,33001,砂浆王,,t,1,1,5.0000,4000.00,,0,1892714,2
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,1d978a1d2bc14da881a4173a948965bf,百叶窗,,㎡,1,1,43.0000,3655.00,,0,1521314,133
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,3c044b9d71cb4ed8ade86a95ba670acc,樟子松防腐木,,米,1,1,252.0000,3349.08,,0,1658843,2
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,156cfc284b9246a09ce43ff468805d9e,反光背心,,件,1,1,200.0000,3000.00,,0,2186023,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,6536889a2c9b43ba8e266cbf37737b63,开关插座,,个,1,1,179.0000,2685.00,,0,1868250,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,36600,蹲便器,,套,1,1,5.0000,2448.00,,0,2260985,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,2fdb1d7183b34e4cbef8931912c5890b,运费,,立方米,3,3,55.5000,2220.00,,0,1496058,377
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,4bc346dc982e46f684a2aea22252c62f,配电箱,,套,1,1,2.0000,2100.00,,0,1296277,1873
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,d9364cee71a249db9e5d149e3fbcde39,镀锌钢丝网,,㎡,1,1,560.0000,1680.00,,0,1631766,8
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,de8179fea8ee4808abd235d88ce1b33b,警示带,,箱,1,1,10.0000,1200.00,,0,1574735,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,7334ca73276d4d8aa6fabe246231b9f4,镀锌钢板,,张,1,1,5.0000,1150.00,,0,1356377,4997
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,388e23f00b2d47b997d152f1df3d66aa,回路板,,个,1,1,1.0000,750.00,,0,1540862,8
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,69a1da66c18d488da130f011e1aea73b,配电柜,,个,1,1,1.0000,531.00,,0,1109658,365
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,fb4c002d9c0240119b705dc7955175ac,原子灰,,组,1,1,6.0000,270.00,,0,4193,124
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,9de7faf9823440c492897d846fb62ea1,辅材,,批,1,1,1.0000,228.00,,0,1497417,242
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,7121ef58fd6f4de3b9e3927c4a9e9df9,镀锌圆管,,t,2,2,62.0000,62.00,,0,1792852,2
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,8307597ab83248468133be7c64a883d4,继电器,,套,1,1,3.0000,54.00,,0,1296331,350
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,9f641468eb054fc2946e86bc412d7e09,开关,,个,1,1,10.0000,49.00,,0,1760229,3
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,008c2a38ea5c4979b07b8998f41628e6,波纹管,,卷,1,1,1.0000,30.00,,0,1541686,12
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,2f4e39d47c114eb5ba6b6c0467a70fb8,点火开关,,个,1,1,1.0000,25.00,,0,1640851,5
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,7a1ba563352a42ee9cef55dc4b835e06,线手套,,把,1,1,1.0000,14.00,,0,2,232
