external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_id
legacy_partner_sc_6f283d14e79a42a2be29a4aeef08b596,九寨沟县沙漠绿洲漆专销店,company,1,92513225MA681FFD3R,,,6f283d14e79a42a2be29a4aeef08b596,cooperat_company,九寨沟县沙漠绿洲漆专销店,92513225MA681FFD3R,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,6f283d14e79a42a2be29a4aeef08b596
legacy_partner_sc_6f655527cf604612a1df073aebed7247,四川省泸州市顺纯装饰建材有限公司,company,1,91510522MADH8YXJ85,,,6f655527cf604612a1df073aebed7247,cooperat_company,四川省泸州市顺纯装饰建材有限公司,91510522MADH8YXJ85,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,6f655527cf604612a1df073aebed7247
legacy_partner_sc_6fd44d11600046938f8b768124dbf274,四川隆强建筑设备租赁有限公司,company,1,,,,6fd44d11600046938f8b768124dbf274,cooperat_company,四川隆强建筑设备租赁有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,6fd44d11600046938f8b768124dbf274
legacy_partner_sc_6fd88ceb818e43dfa806b49dfb1d4576,中江县新华石建材有限公司,company,1,915106236804180205,,,6fd88ceb818e43dfa806b49dfb1d4576,cooperat_company,中江县新华石建材有限公司,915106236804180205,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,6fd88ceb818e43dfa806b49dfb1d4576
legacy_partner_sc_6fe8411490144b8081117b4580003be3,拉萨远丰新型建材有限公司,company,1,91540124686813312P,,,6fe8411490144b8081117b4580003be3,cooperat_company,拉萨远丰新型建材有限公司,91540124686813312P,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,6fe8411490144b8081117b4580003be3
legacy_partner_sc_70024676bac54466b7fe1460e703fe39,重庆希茂建材有限公司,company,1,91500112050372080M,,,70024676bac54466b7fe1460e703fe39,cooperat_company,重庆希茂建材有限公司,91500112050372080M,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,70024676bac54466b7fe1460e703fe39
legacy_partner_sc_700849cbfd3d4febb2acaec71eb1ae4a,四川客友建筑工程有限公司,company,1,91510600MA65HJHEXU,,,700849cbfd3d4febb2acaec71eb1ae4a,cooperat_company,四川客友建筑工程有限公司,91510600MA65HJHEXU,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,700849cbfd3d4febb2acaec71eb1ae4a
legacy_partner_sc_7053d93a_0a47_4d4c_9d93_d03874998af6,四川三元聚弘建筑工程有限公司,company,1,,,,7053d93a-0a47-4d4c-9d93-d03874998af6,cooperat_company,四川三元聚弘建筑工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,7053d93a_0a47_4d4c_9d93_d03874998af6
legacy_partner_sc_7055b00e04ef4ce9a4923927caf32d88,四川鑫跃嘉建筑劳务有限公司,company,1,91510603MAD4A2AWXW,,,7055b00e04ef4ce9a4923927caf32d88,cooperat_company,四川鑫跃嘉建筑劳务有限公司,91510603MAD4A2AWXW,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,7055b00e04ef4ce9a4923927caf32d88
legacy_partner_sc_7062e80268994b9982a5c62f2310307a,绵阳夏鑫科技有限公司,company,1,91510700323381784F,18990100285,,7062e80268994b9982a5c62f2310307a,company_supplier,绵阳夏鑫科技有限公司,,91510700323381784F,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7062e80268994b9982a5c62f2310307a
