external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_ref
legacy_partner_sc_012cc1690acf4cf7892ed3e2603c7677,四川省交通建设集团有限责任公司,company,1,,,,012cc1690acf4cf7892ed3e2603c7677,cooperat_company,四川省交通建设集团有限责任公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_012cc1690acf4cf7892ed3e2603c7677
legacy_partner_sc_01BC90A4E9DA45368A99BA46B57733FD,仁寿县富加镇人民政府,company,1,,,,01BC90A4E9DA45368A99BA46B57733FD,cooperat_company,仁寿县富加镇人民政府,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_01BC90A4E9DA45368A99BA46B57733FD
legacy_partner_sc_021c3886541e4515bb8377ca3e65d9f8,德阳市自来水公司,company,1,,,,021c3886541e4515bb8377ca3e65d9f8,cooperat_company,德阳市自来水公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_021c3886541e4515bb8377ca3e65d9f8
legacy_partner_sc_026839DB3B204BE28828C8DA12F0B092,德阳市旌阳区黄许镇卫生院（有误）,company,1,,,,026839DB3B204BE28828C8DA12F0B092,cooperat_company,德阳市旌阳区黄许镇卫生院（有误）,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_026839DB3B204BE28828C8DA12F0B092
legacy_partner_sc_02d21d9e43a047489db27a026c15e091,德阳宏泰盛源实业有限公司,company,1,,,,02d21d9e43a047489db27a026c15e091,cooperat_company,德阳宏泰盛源实业有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_02d21d9e43a047489db27a026c15e091
legacy_partner_sc_04917A51E9F64E318A09532F68E4AC8B,德阳市旌阳区孝感街道金马村村民委员会,company,1,,,,04917A51E9F64E318A09532F68E4AC8B,cooperat_company,德阳市旌阳区孝感街道金马村村民委员会,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_04917A51E9F64E318A09532F68E4AC8B
legacy_partner_sc_078A0ED6585341779F27890B42AEACFB,广元市朝天区沙河镇人民政府,company,1,,,,078A0ED6585341779F27890B42AEACFB,cooperat_company,广元市朝天区沙河镇人民政府,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_078A0ED6585341779F27890B42AEACFB
legacy_partner_sc_07ccebac69384cc8a87e22d86c26f15e,中江县水利局,company,1,,,,07ccebac69384cc8a87e22d86c26f15e,cooperat_company,中江县水利局,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_07ccebac69384cc8a87e22d86c26f15e
legacy_partner_sc_08748a8a4a134be6bd7dbcbe1d159645,德阳市旌创建设工程有限公司,company,1,,,,08748a8a4a134be6bd7dbcbe1d159645,cooperat_company,德阳市旌创建设工程有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_08748a8a4a134be6bd7dbcbe1d159645
legacy_partner_sc_08eef0947b3e41c3b482e17130364cf6,四川卓远企业征信咨询有限公司,company,1,,,,08eef0947b3e41c3b482e17130364cf6,cooperat_company,四川卓远企业征信咨询有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_08eef0947b3e41c3b482e17130364cf6
