dimension,source_table,fact_family,legacy_key,legacy_name,mapping_state,row_count,amount_total
partner,T_RK_RKD,stock_in,什邡市鑫雷石材有限公司,什邡市鑫雷石材有限公司,conflict,10,863671.2
partner,T_FK_Supplier,payment,什邡市鑫雷石材有限公司,什邡市鑫雷石材有限公司,conflict,2,863671.2
partner,T_GYSHT_INFO,supplier_contract,什邡市鑫雷石材有限公司,什邡市鑫雷石材有限公司,conflict,2,690195.0
partner,T_RK_RKD,stock_in,德阳嘉泰水泥制品有限公司,德阳嘉泰水泥制品有限公司,conflict,8,615356.55
partner,T_RK_RKD,stock_in,德阳市区永沁建材经营部,德阳市区永沁建材经营部,conflict,7,610643.44
partner,T_RK_RKD,stock_in,成都长红润晨建材有限公司,成都长红润晨建材有限公司,conflict,9,588435.0
partner,T_GYSHT_INFO,supplier_contract,德阳市区永沁建材经营部,德阳市区永沁建材经营部,conflict,10,560074.0
partner,T_GYSHT_INFO,supplier_contract,成都灿安科技有限公司,成都灿安科技有限公司,conflict,4,548799.36
partner,T_FK_Supplier,payment,德阳市华壹商贸有限公司,德阳市华壹商贸有限公司,conflict,10,501403.7
partner,T_GYSHT_INFO,supplier_contract,德阳市华壹商贸有限公司,德阳市华壹商贸有限公司,conflict,9,488002.1
partner,T_RK_RKD,stock_in,德阳市区兴鑫达管材经营部,德阳市区兴鑫达管材经营部,conflict,4,444772.82
partner,T_FK_Supplier,payment,德阳市区兴鑫达管材经营部,德阳市区兴鑫达管材经营部,conflict,3,444772.82
partner,T_FK_Supplier,payment,成都灿安科技有限公司,成都灿安科技有限公司,conflict,10,435252.09
partner,T_RK_RKD,stock_in,四川文诚管业有限公司,四川文诚管业有限公司,conflict,2,408530.0
partner,T_FK_Supplier,payment,德阳市旌辉建筑材料有限公司,德阳市旌辉建筑材料有限公司,conflict,9,401627.0
partner,T_GYSHT_INFO,supplier_contract,德阳市唯唯预制构件厂,德阳市唯唯预制构件厂,conflict,8,338621.12
partner,T_RK_RKD,stock_in,成都灿安科技有限公司,成都灿安科技有限公司,conflict,4,330533.3
partner,T_RK_RKD,stock_in,德阳市华壹商贸有限公司,德阳市华壹商贸有限公司,conflict,6,258102.7
partner,T_GYSHT_INFO,supplier_contract,德阳市巨鑫金属制品有限公司,德阳市巨鑫金属制品有限公司,conflict,8,239175.65
partner,T_FK_Supplier,payment,德阳市巨鑫金属制品有限公司,德阳市巨鑫金属制品有限公司,conflict,11,179117.3
partner,T_FK_Supplier,payment,德阳市唯唯预制构件厂,德阳市唯唯预制构件厂,conflict,7,160619.12
partner,T_GYSHT_INFO,supplier_contract,四川可为景观园林工程有限公司,四川可为景观园林工程有限公司,conflict,5,139296.56
partner,T_GYSHT_INFO,supplier_contract,德阳市旌辉建筑材料有限公司,德阳市旌辉建筑材料有限公司,conflict,4,133097.0
partner,T_FK_Supplier,payment,中国太平洋财产保险股份有限公司德阳中心支公司,中国太平洋财产保险股份有限公司德阳中心支公司,conflict,16,102704.92
partner,T_RK_RKD,stock_in,德阳市旌辉建筑材料有限公司,德阳市旌辉建筑材料有限公司,conflict,3,93649.5
partner,T_RK_RKD,stock_in,罗江区张安兵五金经营部,罗江区张安兵五金经营部,conflict,1,91200.0
partner,T_FK_Supplier,payment,罗江区张安兵五金经营部,罗江区张安兵五金经营部,conflict,1,91200.0
partner,T_GYSHT_INFO,supplier_contract,罗江区张安兵五金经营部,罗江区张安兵五金经营部,conflict,1,91200.0
partner,T_FK_Supplier,payment,德阳欣宇玉诚商贸有限公司,德阳欣宇玉诚商贸有限公司,conflict,9,82126.92
partner,T_GYSHT_INFO,supplier_contract,湖南湘旭交安光电高科技股份有限公司,湖南湘旭交安光电高科技股份有限公司,conflict,3,81534.0
partner,T_GYSHT_INFO,supplier_contract,旌阳区黄许镇运红建材部,旌阳区黄许镇运红建材部,conflict,6,72660.0
partner,T_RK_RKD,stock_in,湖南湘旭交安光电高科技股份有限公司,湖南湘旭交安光电高科技股份有限公司,conflict,2,70960.0
partner,T_RK_RKD,stock_in,德阳正弘金属材料有限公司,德阳正弘金属材料有限公司,conflict,10,70871.0
partner,T_FK_Supplier,payment,旌阳区黄许镇运红建材部,旌阳区黄许镇运红建材部,conflict,8,70590.0
partner,T_GYSHT_INFO,supplier_contract,德阳欣宇玉诚商贸有限公司,德阳欣宇玉诚商贸有限公司,conflict,6,68174.92
partner,T_FK_Supplier,payment,湖南湘旭交安光电高科技股份有限公司,湖南湘旭交安光电高科技股份有限公司,conflict,6,67960.0
partner,T_RK_RKD,stock_in,德阳欣宇玉诚商贸有限公司,德阳欣宇玉诚商贸有限公司,conflict,7,62632.92
partner,T_RK_RKD,stock_in,德阳市唯唯预制构件厂,德阳市唯唯预制构件厂,conflict,1,58237.0
partner,T_GYSHT_INFO,supplier_contract,四川森宝电气有限公司,四川森宝电气有限公司,conflict,3,53439.5
partner,T_GYSHT_INFO,supplier_contract,德阳市旌盾工贸有限公司,德阳市旌盾工贸有限公司,conflict,2,45162.0
partner,T_FK_Supplier,payment,四川森宝电气有限公司,四川森宝电气有限公司,conflict,5,44719.0
partner,T_RK_RKD,stock_in,郫都区新月石材经营部,郫都区新月石材经营部,conflict,4,42300.0
partner,T_FK_Supplier,payment,郫都区新月石材经营部,郫都区新月石材经营部,conflict,1,42300.0
partner,T_RK_RKD,stock_in,四川森宝电气有限公司,四川森宝电气有限公司,conflict,2,38072.01
partner,T_FK_Supplier,payment,德阳市旌盾工贸有限公司,德阳市旌盾工贸有限公司,conflict,2,32581.0
partner,T_RK_RKD,stock_in,德阳市旌盾工贸有限公司,德阳市旌盾工贸有限公司,conflict,1,32581.0
partner,T_FK_Supplier,payment,旌阳区富玉建材经营部,旌阳区富玉建材经营部,conflict,1,32000.0
partner,T_RK_RKD,stock_in,旌阳区富玉建材经营部,旌阳区富玉建材经营部,conflict,1,32000.0
partner,T_FK_Supplier,payment,旌阳区星龙机电经营部,旌阳区星龙机电经营部,conflict,5,22675.0
partner,T_GYSHT_INFO,supplier_contract,旌阳区星龙机电经营部,旌阳区星龙机电经营部,conflict,4,18610.0
partner,T_RK_RKD,stock_in,旌阳区星龙机电经营部,旌阳区星龙机电经营部,conflict,3,14055.0
partner,T_RK_RKD,stock_in,德阳市巨鑫金属制品有限公司,德阳市巨鑫金属制品有限公司,conflict,3,12343.55
partner,T_RK_RKD,stock_in,旌阳区黄许镇运红建材部,旌阳区黄许镇运红建材部,conflict,3,11370.0
project,T_GYSHT_INFO,supplier_contract,公司综合平台,公司综合平台,conflict,1,10000.0
partner,T_GYSHT_INFO,supplier_contract,德阳市区星龙农机经营部,德阳市区星龙农机经营部,conflict,2,7640.0
partner,T_FK_Supplier,payment,德阳市区星龙农机经营部,德阳市区星龙农机经营部,conflict,2,7640.0
partner,T_GYSHT_INFO,supplier_contract,旌阳区鑫宇建材经营部,旌阳区鑫宇建材经营部,conflict,1,7403.0
partner,T_FK_Supplier,payment,旌阳区鑫宇建材经营部,旌阳区鑫宇建材经营部,conflict,1,7403.0
partner,T_RK_RKD,stock_in,旌阳区瑞丰建材经营部,旌阳区瑞丰建材经营部,conflict,1,5700.0
partner,T_RK_RKD,stock_in,德阳市区星龙农机经营部,德阳市区星龙农机经营部,conflict,1,5040.0
partner,T_GYSHT_INFO,supplier_contract,德阳市区兴鑫达管材经营部,德阳市区兴鑫达管材经营部,conflict,2,5001.0
partner,T_FK_Supplier,payment,成都文镪金属制品有限公司,成都文镪金属制品有限公司,conflict,1,4985.0
project,T_FK_Supplier,payment,一公司项目,一公司项目,conflict,11,1800.0
partner,T_GYSHT_INFO,supplier_contract,德阳市兴明鸿混凝土有限责任公司,德阳市兴明鸿混凝土有限责任公司,conflict,3,0.0
partner,T_FK_Supplier,payment,旌阳区黄许镇运红建材经营部,旌阳区黄许镇运红建材经营部,conflict,2,0.0
