dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
business_entity,sc.legacy.business.entity.map,5,SCBS_BUSINESS_ENTITY_CANDIDATE,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司,candidate,trade,,3,德阳泰诚硕商贸有限公司,1136,383103993.42,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,6,SCBS_BUSINESS_ENTITY_CANDIDATE,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司,candidate,trade,,4,四川世旺鑫润商贸有限公司,1474,305412446.55,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,7,SCBS_BUSINESS_ENTITY_CANDIDATE,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,candidate,unknown,,5,四川迈投建筑工程有限公司,1269,214296736.75,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,8,SCBS_BUSINESS_ENTITY_CANDIDATE,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司,candidate,trade,,6,四川晟博通达商贸有限公司,811,212633363.35,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,9,SCBS_BUSINESS_ENTITY_CANDIDATE,88ca50467a784725aa4b42467b549e21,德阳市博众建材销售有限公司,candidate,trade,,7,德阳市博众建材销售有限公司,577,212190437.11,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,10,SCBS_BUSINESS_ENTITY_CANDIDATE,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司,candidate,labor,,8,四川鑫垚建筑劳务有限公司,982,159023433.13,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,11,SCBS_BUSINESS_ENTITY_CANDIDATE,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司,candidate,trade,,9,四川翔驰恒瑞商贸有限公司,641,124287841.42,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,12,SCBS_BUSINESS_ENTITY_CANDIDATE,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司,candidate,unknown,,10,四川宏政嘉斯建筑工程有限公司,643,73281963.05,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,13,SCBS_BUSINESS_ENTITY_CANDIDATE,8e63129abde54614ae66ef7df8f91046,四川宏川建筑劳务有限公司,candidate,labor,,11,四川宏川建筑劳务有限公司,494,51412278.55,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,14,SCBS_BUSINESS_ENTITY_CANDIDATE,0d7cd766eb9f4d23b53761e593148e25,德阳森元路面工程有限公司,candidate,unknown,,12,德阳森元路面工程有限公司,465,34769657.22,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,15,SCBS_BUSINESS_ENTITY_CANDIDATE,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,candidate,platform,,13,公司综合平台,35,13207512.15,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,17,SCBS_FACT_BUSINESS_ENTITY_CANDIDATE,8d5f91d0e24043d880a79f97be1e64af,德阳泰诚硕商贸有限公司,candidate,trade,,,,37,8812546.95,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,18,SCBS_FACT_BUSINESS_ENTITY_CANDIDATE,fa930650519f4145b0f2d12a42a62095,德阳市博众建材销售有限公司,candidate,trade,,,,26,7036318.89,confirm_or_ignore_business_entity,,,
business_entity,sc.legacy.business.entity.map,16,SCBS_BUSINESS_ENTITY_CANDIDATE,a5f4079846f345788536d81c916ef70f,四川嘉易欢悦建筑工程有限公司,candidate,unknown,,14,四川嘉易欢悦建筑工程有限公司,218,6446744.74,confirm_or_ignore_business_entity,,,
