project_id,name,project_code,current_operation_strategy,target_operation_strategy,action,reason,other_system_id,legacy_project_id,project_environment
792,旌阳区供水项目——柏隆净水厂,PRJ260795,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆净水厂,旌阳区供水项目——柏隆净水厂,legacy_scbs_project_fact
793,高新产业园配套项目（包2）,PRJ260796,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包2）,高新产业园配套项目（包2）,legacy_scbs_project_fact
794,高新产业园配套项目（包3）,PRJ260797,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包3）,高新产业园配套项目（包3）,legacy_scbs_project_fact
795,三星堆环线基础设施改造,PRJ260798,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:三星堆环线基础设施改造,三星堆环线基础设施改造,legacy_scbs_project_fact
796,二重厂西路等4条道路工程,PRJ260799,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:二重厂西路等4条道路工程,二重厂西路等4条道路工程,legacy_scbs_project_fact
797,旌阳区供水项目——柏隆供水管网,PRJ260800,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆供水管网,旌阳区供水项目——柏隆供水管网,legacy_scbs_project_fact
798,澜沧江西路（苗山街-蓥华山路）,PRJ260801,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:澜沧江西路（苗山街-蓥华山路）,澜沧江西路（苗山街-蓥华山路）,legacy_scbs_project_fact
799,2024高标准农田建设项目-龙泉村,PRJ260802,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:2024高标准农田建设项目-龙泉村,2024高标准农田建设项目-龙泉村,legacy_scbs_project_fact
800,龙泉山路二段(赣江路-信江路),PRJ260803,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:龙泉山路二段(赣江路-信江路),龙泉山路二段(赣江路-信江路),legacy_scbs_project_fact
801,王谊村总平,PRJ260804,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:王谊村总平,王谊村总平,legacy_scbs_project_fact
