legacy_contract_id,legacy_project_id,contract_subject,direction,counterparty_text,legacy_partner_source_type,design_action,contract_retry_after_partner_anchor,db_write_authorized,rollback_key
06bd722ec5734e29af0595fcde193045,ff88aca287f94ee09bcc0a53649e5c0f,广清城际轨道交通项目（花都段）安置区工程（秀全街乐同安置区）一期施工总承包项目 【园林园建】工程专业分包,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,06bd722ec5734e29af0595fcde193045
138d7b699f5a4c1fb7c685a3db3e07db,8929f6ba520a4e24813d0adb7e6479e7,绵阳高新医院（肺病医院）建设项目之办公室装饰装修分包合同,out,中国建筑一局（集团）有限公司,company,prepare_partner_anchor_candidate,yes,no,138d7b699f5a4c1fb7c685a3db3e07db
19b3382cc9aa4ea682c4faef2fa60631,d2584e69e21145199d66b25b0181e0a8,西南大数据创新应用中心项目土石方补充协议,out,中国建筑第八工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,19b3382cc9aa4ea682c4faef2fa60631
2780f0ac1f9b4eed9d17a2e0d8665e94,d673283d7f064228aa3bcdb822c8d425,中山市工业技术研究中心项目道路工程,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,2780f0ac1f9b4eed9d17a2e0d8665e94
2c63d820de7d43339d2e479dd70ce0d7,d5e059c23e3d4a2c802cbecb7911cd38,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同(二),out,绵竹市众力工程机械设备有限公司,company,prepare_partner_anchor_candidate,yes,no,2c63d820de7d43339d2e479dd70ce0d7
2d11e799ec5b4338a551fb70dfd0dc1c,1791ed98bcc5407a9476f93365909791,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,out,绵竹市众力工程机械设备有限公司,company,prepare_partner_anchor_candidate,yes,no,2d11e799ec5b4338a551fb70dfd0dc1c
32837dc26c344e8cbf9b3a9346f8a3ec,3ddb4ef7f09a4280b7ef904a6f6e5275,德阳市八角井镇卫生院-新建附属用房,out,德阳市旌阳区八角井镇卫生院,company,prepare_partner_anchor_candidate,yes,no,32837dc26c344e8cbf9b3a9346f8a3ec
3592ba0780794f0092d83e332b3a42aa,3ddb4ef7f09a4280b7ef904a6f6e5275,德阳市旌阳区八角卫生院新建项目附属用房,out,德阳市旌阳区八角井镇卫生院,company,prepare_partner_anchor_candidate,yes,no,3592ba0780794f0092d83e332b3a42aa
3a183e73f5544c8781dfac78a1fafc93,d673283d7f064228aa3bcdb822c8d425,【白云机场三期扩建工程周边临空经济产业园区基础设施二期工程（平西二期安置区）施工总承包（标段一）】项目【室外】工程,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,3a183e73f5544c8781dfac78a1fafc93
3b046a8c299d441ca59b48dc90faa6be,d673283d7f064228aa3bcdb822c8d425,KHQY23001 清远长颈酒店项目总承包工程办公区园林绿化工 程,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,3b046a8c299d441ca59b48dc90faa6be
3b9d03d1f0cc47de8b81daf1f1746e7d,3ddb4ef7f09a4280b7ef904a6f6e5275,八角卫生院-口腔科装修改造工程,out,德阳市旌阳区八角井镇卫生院,company,prepare_partner_anchor_candidate,yes,no,3b9d03d1f0cc47de8b81daf1f1746e7d
3c0659411d374bfcb2313cef17bb6a52,52278e622558409db167eca9eba8c8b8,广州市花都区殡仪馆园建、绿化、道路及护坡工程专业分包,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,3c0659411d374bfcb2313cef17bb6a52
3e59e8b332b74eacb1d679cbd8f0d0f9,d5e059c23e3d4a2c802cbecb7911cd38,绵竹市齐协路、桑土路道路维修养护工程,out,绵竹市众力工程机械设备有限公司,company,prepare_partner_anchor_candidate,yes,no,3e59e8b332b74eacb1d679cbd8f0d0f9
4072c73b39744718a8786199e3d53cf8,784c455d3cfe45cf9b7dfdf3d752e81a,合同变更协议,out,中国石油天然气第七建设有限公司,company,prepare_partner_anchor_candidate,yes,no,4072c73b39744718a8786199e3d53cf8
419650edd1c54b1c96fe7f868b58d673,d5e059c23e3d4a2c802cbecb7911cd38,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同,out,绵竹市众力工程机械设备有限公司,company,prepare_partner_anchor_candidate,yes,no,419650edd1c54b1c96fe7f868b58d673
46dd665c95d3460b84d09083cac81906,d5e059c23e3d4a2c802cbecb7911cd38,G545绵竹市汉旺镇牛鼻村至群力社区段大修工程和G545绵竹市板桥镇康宁村至孝德镇石河村段中修工程,out,绵竹市众力工程机械设备有限公司,company,prepare_partner_anchor_candidate,yes,no,46dd665c95d3460b84d09083cac81906
4a2fbaf074e34e94a9d7a7b1c0732f40,d673283d7f064228aa3bcdb822c8d425,花都区智能学校新华校区建设项目工程室外工程专业分包,out,中国建筑第四工程局有限公司,company,prepare_partner_anchor_candidate,yes,no,4a2fbaf074e34e94a9d7a7b1c0732f40
