fact_family,business_entity,partner_name,rows,amount_total
supplier_contract,四川鑫垚建筑劳务有限公司,德阳路通福星机械租赁有限公司,1,680000.00
stock_in,四川晟博通达商贸有限公司,四川世旺鑫润商贸有限公司,1,663600.00
payment,四川世旺鑫润商贸有限公司,德阳裕康钢筋加工厂,1,663431.71
stock_in,四川世旺鑫润商贸有限公司,德阳裕康钢筋加工厂,1,663431.70
stock_in,四川晟博通达商贸有限公司,四川矿奇石材有限公司,3,660701.13
supplier_contract,四川宏政嘉斯建筑工程有限公司,四川墨策天程装饰工程有限公司,1,660000.00
supplier_contract,四川晟博通达商贸有限公司,四川矿奇石材有限公司,2,649485.00
stock_in,德阳泰诚硕商贸有限公司,四川祥坤新材料有限公司,1,649140.72
stock_in,四川世旺鑫润商贸有限公司,绵阳鑫泰水泥制品有限公司,2,646570.70
payment,四川宏政嘉斯建筑工程有限公司,四川墨策天程装饰工程有限公司,5,645000.00
payment,四川迈投建筑工程有限公司,备用金.,1,634135.00
supplier_contract,四川迈投建筑工程有限公司,德阳经开区科纳机械租赁部,2,600000.00
stock_in,四川晟博通达商贸有限公司,德阳市恒石建材有限公司广汉分公司,2,580335.58
supplier_contract,四川世旺鑫润商贸有限公司,成都中大长城市政工程有限公司,1,573600.00
stock_in,四川世旺鑫润商贸有限公司,绵竹市铭盛运输有限公司,1,571600.00
stock_in,四川世旺鑫润商贸有限公司,四川海川盛翔贸易有限公司,1,561756.09
payment,四川世旺鑫润商贸有限公司,四川海川盛翔贸易有限公司,1,561756.05
payment,[NO_BUSINESS_ENTITY],德阳市海森物资有限公司,2,558978.00
payment,四川世旺鑫润商贸有限公司,德阳开发区未城建材经营部,3,556481.00
stock_in,四川世旺鑫润商贸有限公司,德阳开发区未城建材经营部,6,556481.00
supplier_contract,四川宏川建筑劳务有限公司,旌阳区浮霖劳务服务部（个体工商户）,1,550000.00
stock_in,德阳泰诚硕商贸有限公司,旌阳区煜辉建材经营部,1,549840.00
payment,四川翔驰恒瑞商贸有限公司,东创建国汽车集团成都天韵车业有限公司,2,543700.00
supplier_contract,德阳市博众建材销售有限公司,德阳旌城杰阳建材科技有限公司,1,537210.00
payment,四川晟博通达商贸有限公司,税费,22,523969.18
