id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2237,2838f6304aa84ca891cf8b55fafca171,美林康城售楼部绿化改造,draft,5,筹备中,109424,16982984833050000
2238,2865a4a7b99940cfa2653c54b26edf99,璧山区正兴镇龙家河河堤水毁修复工程,draft,5,筹备中,224479,17554790983280000
2239,28b43ef4516445d8a54326b977288fba,重庆市璧山区青杠街道山洪沟整治项目,draft,5,筹备中,164059,17165338343310000
2240,290615a7138e49228ce83d02514c1372,鸿图府项目第二期建筑安装工程,draft,5,筹备中,109616,16982985657420001
2241,292584f7b81f40579ab90504983a05fc,蓬溪县汽车城二期建设项目,draft,5,筹备中,109850,16982986260530000
2242,29c0549f98024dc0937823da66701bbc,阿克陶县人民医院医技楼配电安装工程项目,draft,5,筹备中,109390,16982984788210001
2243,29cf2f89c2b94a19b4c8689f8199a2a3,某部车库建设项目,draft,5,筹备中,109369,16982984762740001
2244,29dff975ab4b42b5bc941af2c04b7cec,普格县2019年产业扶贫特色水果种植示范项目大棚及果园灌溉工程（施工2）,draft,5,筹备中,109785,16982986177570000
2245,2a90203d1f0f420b841d1eca197f3a4d,八角星坐标项目景观坡道优化调整工程劳务分包,draft,5,筹备中,179400,17259358289720000
2246,2ac906a09ef840688c8e4045a351367f,引入社会资金共同打造游泳高水平运动员后备人才培养项目,draft,5,筹备中,109400,16982984800710001
2247,2adfc1940c6446e5b5db0f0e3339eeff,东湖街道老旧街区改造城市更新项目（一期）-秦岭山路（黄河路-玉泉路）提升改造工程,draft,5,筹备中,238988,17659359493110000
2248,2afee25a79664b53a6a8a8740bcf6d4b,博雅学校小学部1号楼屋面装饰改造功能用房采购项目施工合同,draft,5,筹备中,109468,16982984886330001
2249,2b26ad9411f0477886faff502f0d606d,广元龙江电力宾馆消防管道改造施工,draft,5,筹备中,109795,16982986190380000
2250,2b62b87ee1a04fcb862ba23ce0e72367,德阳市旌阳区医养结合中心及精神病院区建设项目新增电缆及给排水管工程,draft,5,筹备中,109462,16982984878990001
2251,2c2cf0230879448b8aa65a135baa1292,上海二十冶西南公司四川省广汉市职业中专学校迁建项目土石方专业分包工程,draft,5,筹备中,261622,17730458558490000
2252,2c8212fcec854602883cf1f1b88f9354,中江县北塔南北干道至东二环道路二期工程,draft,5,筹备中,109659,16982985714760001
2253,2cc4764ad05e4c5ebaeaf4d5a85c5cd7,绵阳市游仙区魏城镇竹柳村（原柳塔村3组）通组道路硬化工程项目,draft,5,筹备中,109353,16982978795010000
2254,2cd51f2a8f064ef691347e5fee5d83fb,剑阁2019年村道窄路加宽工程圈龙乡太吉村,draft,5,筹备中,109797,16982986192570001
2255,2cdca43cbcab4faf95cdbc99a09a1454,罗江区2020年暴雨洪灾水毁后重建护岸覆土工程劳务（第二次）,draft,5,筹备中,109632,16982985677570001
2256,2d0c8990b9944c60b5ea355035049c1b,国网四川天府新区龙泉驿区供电公司柏合供电所,draft,5,筹备中,109605,16982985643040001
2257,2e22b1e9bd614b3a9b1abc3ac9cdc912,东湖山水零星工程,draft,5,筹备中,,
2258,2e82c7a28d2d4455a075564650a4caf9,四川建筑职业技术学院德阳校区综合办公楼西侧会议室等维修改造项目,draft,5,筹备中,109406,16982984807900000
2259,2e9c130a609342e28328c728d28b9eb7,2015年市级农业综合开发土地治理项目工程,draft,5,筹备中,109588,16982985621480001
