legacy_project_id,contract_rows,source_project_rows,active_source_project_rows,source_project_name,source_project_deleted,source_project_state,sample_contract_id,sample_contract_subject,recovery_route,recovery_note
0182e913f9df48f0b39db2b059e3ee9b,1,0,0,,,,3a9829cd2d2f481f843259b28aa9cdbd,德昌供港果蔬产业融合项目,legacy_project_source_missing,legacy project id is not present in project.csv
057a6f0da95840a4975138b599d9dbbf,1,0,0,,,,d9ca064fe792457cb698ff51138f5fa0,T2A指廊机房挡水墙改造项目,legacy_project_source_missing,legacy project id is not present in project.csv
07016487cba94e3e8e09290c1becb3d0,1,0,0,,,,64c850fbe31c45ddb9202531e70dd362,WBHTGL-20200722-001,legacy_project_source_missing,legacy project id is not present in project.csv
083dc7e6eff54304a12207ffff366b91,1,0,0,,,,b4e4ffe7b17645ddb8edfd1c5c5da529,马坪坝幼儿园建设,legacy_project_source_missing,legacy project id is not present in project.csv
10dc84827e6643498328e1d5967a6a49,1,0,0,,,,d8c2aa67d86c4e368b9c9bafbafdd7f9,八角片区小街小巷道路改造,legacy_project_source_missing,legacy project id is not present in project.csv
12287d9ab206422a867790b51de38f40,1,0,0,,,,663b3101ecb64b56a014e39e45e9f0fd,石油化工资质增项,legacy_project_source_missing,legacy project id is not present in project.csv
157aa481cc0d4a4e85a8a1220a668ec3,1,0,0,,,,144ecdfb3c9346839fe69bf6cc880cdb,WBHTGL-20200326-005,legacy_project_source_missing,legacy project id is not present in project.csv
22cc58beaef44ba5a8aae55953edd635,1,0,0,,,,24a431f479a5494c86c59933af595c72,德阳市水韵江南小区4栋、13栋维修,legacy_project_source_missing,legacy project id is not present in project.csv
25fddeb8dbdb4060a3a72127b2a5108d,1,0,0,,,,2d9cba36a9c342a09a1552ee3a64462d,宁南县葫芦口镇,legacy_project_source_missing,legacy project id is not present in project.csv
2756bef7613747e7a08e113435356adb,1,0,0,,,,0f7598f020a745079acccb0a6014690b,机加厂2跨3跨新建隔墙工程,legacy_project_source_missing,legacy project id is not present in project.csv
2ecc3573e1924e2f9623d43be7f741d1,1,0,0,,,,f5e104a7b43948449e2034a2783a5858,布拖县（沙洛乡镇）2016年—2019年安全住房地质隐患应急抢险项目,legacy_project_source_missing,legacy project id is not present in project.csv
303cb64ae06449108c585b0d0cc6b5cf,1,0,0,,,,6abf4dfcf96b46669fa561cb4adb147b,茂业仁和春天光华店 2-4 层改造工施工合同,legacy_project_source_missing,legacy project id is not present in project.csv
31968ad0df3a4062b91501dee3a4470f,1,0,0,,,,54562c36b3c8480b83d8677e351c2bdf,德阳市旌阳区八角井镇卫生院停车场改造及体检中心扩容工程项目,legacy_project_source_missing,legacy project id is not present in project.csv
3a0cbd6301be46059b21e5ba65acdfeb,1,0,0,,,,1bd37970b5fd476c8bd5d1330e83035e,附属用房装修改造,legacy_project_source_missing,legacy project id is not present in project.csv
451666f5cb5a49f2b0b4ce4deae4eb55,1,0,0,,,,54eca12cd5b6481c8925b0000901ce13,2020年度高阳街道横路村3组、移民组烤房群修复项目 （二标段）,legacy_project_source_missing,legacy project id is not present in project.csv
462c18ffad7e4443a1ddd25cfd6acd11,1,0,0,,,,788c9877d5cd4918a7060918f3050e67,钟鼓楼广场及南公园苗木移植项目,legacy_project_source_missing,legacy project id is not present in project.csv
4a5b8ed0e142438a8370512e7a06fc43,1,0,0,,,,7c1285e4fe4f4584a1ec5f83c6e23eda,江油市彰明镇2017年生态综合治理,legacy_project_source_missing,legacy project id is not present in project.csv
4e38c530cfbd4820b3ad1fd6b58bc27a,1,0,0,,,,c9b632fd46cd4653a585677d4a3cf826,德阳市行政综合办公楼（老政务中心）屋面防水改造工程,legacy_project_source_missing,legacy project id is not present in project.csv
4e52867932cc43d898c3d50c37fa2cdf,1,0,0,,,,59446b2d36074ba1969bfce82c23ad64,果园村至麦岔道路硬化,legacy_project_source_missing,legacy project id is not present in project.csv
4fe38bb3d51d4e83a8375f34b2aef1c8,1,0,0,,,,e2300abfd09f4d0b83b4babe4ca76c55,布拖县（觉撒乡镇）2016年—2019年安全住房地质隐患应急抢险项目,legacy_project_source_missing,legacy project id is not present in project.csv
50748f14df3c4e5e9e2f79653d75b9b6,1,0,0,,,,cf742eae448f485fb78c9c66a27af7dd,德阳市旌阳区八角井镇卫生院-新建附属用房,legacy_project_source_missing,legacy project id is not present in project.csv
57403a8c67e64bd3a163ff4b5feee0ea,9,0,0,,,,02c99a3dd7034019b3bac6a83726e4d7,WBHTGL-20200227-003,legacy_project_source_missing,legacy project id is not present in project.csv
57a29618ea7b44d68a9903644389526e,1,0,0,,,,ac9b7c0bbfb5409a938ab30aea3b365c,普格县2019年产业扶贫特色水果种植示范项目大棚及果园灌溉工程（施工2普格县荞窝镇城西村果园灌溉项目）,legacy_project_source_missing,legacy project id is not present in project.csv
