legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,tax_id_policy,name_policy,state_policy,dry_run_status,dry_run_blockers
835dc35eb3674c5bb9b7fc3c07301e16,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,"{""en_US"": ""向东工程""}",5871,德阳市供水安装工程队,邓学勇青山巷20号商铺分户工程,out,DYS2024-172,WBHTGL-20240923-022,17270584821070000,2,0,德阳市供水安装工程队,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8370b22f412c4f39a53a3b51364e0d32,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,"{""en_US"": ""向东工程""}",5871,德阳市供水安装工程队,融发雅居新建户表给水工程,out,DYS2021-01-13,WBHTGL-20210408-002,1000000397,2,,德阳市供水安装工程队,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
837bf38fc1354f7e8c06978f60aab96a,64e0706eed044170b60295774f2fb924,2424,"{""en_US"": ""梦溪苑商住项目外墙保温装饰一体板制作安装分包工程""}",4023,四川省第六建筑有限公司,成都市新都区梦溪苑商住项目外墙保温装饰一体扳制安装工程,out,CDS2020-34,WBHTGL-20200930-001,1000000250,2,0,四川省第六建筑有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
837e7dd96fbe483db7d739093102a565,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,"{""en_US"": ""向东工程""}",5871,德阳市供水安装工程队,孝感镇孝感大道160号铎从华分户工程,out,DYS2024-207,WBHTGL-20240923-058,17270762722000000,2,0,德阳市供水安装工程队,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
838714a60f1f4edfbc11ac75429967aa,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",4981,重庆帆盾环保设备有限公司,齿轮厂污水处理站维修工程,out,DYS2022-15-2,WBHTGL-20220221-001,1000000608,2,0,重庆帆盾环保设备有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
83dec6913bb0421f85f7295ab5e578af,4ab6f7c219e2421fa998d1d575ee8496,2342,"{""en_US"": ""三标段旌湖路（秦岭山路至峨眉山南路）10kv下地改造工程""}",5892,德阳经开建设工程有限公司,旌湖路10KV下地改造工程,out,DYS2023-60,WBHTGL-20230612-001,1000000947,2,0,德阳经开建设工程有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
83fe151775fb410c8ea1db434ff2e716,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",5803,二重（德阳）重型装备有限公司,齿轮厂大师工作室装修升级项目,out,DYS2022-15-14,WBHTGL-20221026-001,1000000782,2,,二重（德阳）重型装备有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
84112a31eff74a99827d8fd1eec43467,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",5803,二重（德阳）重型装备有限公司,二重（德阳）重型装备有限公司,out,DYS2022-15-6,WBHTGL-20220408-001,1000000626,2,,二重（德阳）重型装备有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8436920cb5d846538653cbf742a45528,9ebba094a48443a39dd7e1421da8dfbb,2588,"{""en_US"": ""刘伟零星工程项目""}",3679,中国银行股份有限公司德阳分行,中国银行股份有限公司德阳分行食堂燃气报警系统安装工程,out,DYS2023-01-7,WBHTGL-20230103-007,1000000860,2,,中国银行股份有限公司德阳分行,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8466e90c05fd43f88c11b2c639e6e436,6890dd7cde4446059d33a86af5e8ec7a,2435,"{""en_US"": ""西藏方向军事设施建设项目EPC工程总承包合同12项目LBYQ-室外强弱电工程施工劳务分包合同""}",3736,中铁十九局集团第五工程有限公司,西藏方向军事设施建设项目EPC工程总承包合同12项目LBYQ-室外强弱电工程施工劳务分包合同,out,XZS2020-62,WBHTGL-20210107-001,1000000337,2,,中铁十九局集团第五工程有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
84aa140eba8e4e9a9efd3be0adec540e,66bc67e86f8e4f4c88186af4a70104fd,2431,"{""en_US"": ""PET-CT安装工程""}",5869,德阳市人民医院,PET-CT安装工程,out,DYS2026-10,WBHTGL-20260120-002,17688796625730000,2,0,德阳市人民医院,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
84bfa995d83e4a3e9c08fb2d1a950e08,5b42b379257242539e27ddb3ff34fcfc,2401,"{""en_US"": ""御锦坊裙楼商业幕墙""}",5831,四川建设发展股份有限公司,御锦坊裙楼商业幕墙,out,DYS2021-92,WBHTGL-20211025-002,1000000525,2,,四川建设发展股份有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
84c2f5d5af42477a93c117f04d59ecb9,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",3663,中国第二重型机械集团德阳万航模锻有限责任公司,模锻厂-2跨敷设线路,out,DYS2025-67,WBHTGL-20250527-002,17483399080850000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
84d3b18924ca4a8a8e55af119a85ab8f,c0751730f07349fb9d2b573a765484eb,2684,"{""en_US"": ""鸿图府项目第一期建筑安装工程""}",5868,德阳大参林投资有限公司,鸿图府项目第一期建筑安装工程补充协议,out,DYS2021-53-1,WBHTGL-20211110-002,1000000539,2,,德阳大参林投资有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
851e729f0ec94a11917df00d30f4b079,f6db642585394c49a6278eb0eed3119a,2840,"{""en_US"": ""柳梧新区雨污水管网及防洪渠维保服务采购项目一标段""}",5897,拉萨市柳梧新区管理委员会,柳梧新区雨污水管网及防洪渠维保服务采购,out,XZQ2019-61,WBHTGL-20200310-001,1000000109,2,,拉萨市柳梧新区管理委员会,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8553c39c3e654b638a21ab081ada2e6c,a066ecd41c8a4c52b51338d3c00115e1,2593,"{""en_US"": ""德阳智茂润亚电子科技有限公司3C配件及终端制造项目厂房装修工程""}",4443,德阳智茂润亚电子科技有限公司,德阳智茂润亚电子科技有限公司厂房装修项目,out,DYS2023-40,WBHTGL-20230425-001,1000000919,2,0,德阳智茂润亚电子科技有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8555c8ec236f41bea57794320029a454,409e165a85264d6c9e22085d02dcd09a,2312,"{""en_US"": ""布拖县2016年—2019年安全住房地质隐患应急抢险项目建设工程（火烈乡）""}",4149,布拖县 火烈乡（镇）人民政府,布拖县（火烈乡镇）2016年—2019年安全住房地质隐患应急抢险项目。,out,LSZ2020-42,WBHTGL-20201126-002,1000000293,2,0,布拖县 火烈乡（镇）人民政府,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
855bd17cb88245829771d3e8803a0312,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,"{""en_US"": ""向东工程""}",5871,德阳市供水安装工程队,德阳市银山路（青衣江路-英伦世家）给水管道工程,out,DYS2021-01-11,WBHTGL-20210120-005,1000000354,2,,德阳市供水安装工程队,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
855dbd0d09b84346bc7698fe15cbd63a,092bc953078b42ab89b7a9d07fecab66,2137,"{""en_US"": ""德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包""}",4392,德阳市罗江区自来水公司,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,out,DYS2019-04,WBHTGL-20200326-003,1000000155,2,,德阳市罗江区自来水公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8586d5e9194d4de88c8bb6ea047065be,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",5803,二重（德阳）重型装备有限公司,蒸汽管道立柱维修合同,out,DYS2021-09-18,WBHTGL-20210824-001,1000000495,2,,二重（德阳）重型装备有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
85a8eea8f9a146df9a6dcfb316121498,da80de7b7a9644428b917920cb14e31a,2750,"{""en_US"": ""东湖山水土石方挖运工程""}",4323,德阳市弘扬舒苑置业有限公司,东湖山水土石方挖运工程,out,DYS2020-45,WBHTGL-20201103-001,1000000275,2,,德阳市弘扬舒苑置业有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
85a9b632c0834db9a8f43883b06d9d7c,1d69b18850554e28b5c4b4f8c7c83e77,2201,"{""en_US"": ""百合公园维修工程""}",5835,四川昌意兴建筑劳务有限公司,百合公园维修工程,out,DYS2023-23,WBHTGL-20230428-001,1000000921,2,0,四川昌意兴建筑劳务有限公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
86146cb296ad4a8bafbb823ef5aab9a3,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,"{""en_US"": ""向东工程""}",5871,德阳市供水安装工程队,金沙江西路洪小波分户工程,out,DYS2022-16-42,WBHTGL-20220726-020,1000000717,2,,德阳市供水安装工程队,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
8619b5f3c4f2473f9038e8240a0bead5,6b4e37cd90a94055a69de211efdab846,2444,"{""en_US"": ""易静工程（德阳二重工程项目）""}",3663,中国第二重型机械集团德阳万航模锻有限责任公司,模锻厂-514和515配电室低压柜维修,out,DYS2025-134,WBHTGL-20250819-002,17555701056710000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,defer_to_separate_readonly_precheck,use_model_sequence_only_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow,READY_FOR_READONLY_PRECHECK,
