contract_id,legacy_contract_id,legacy_project_id,project_id,partner_id,name,subject,type,state,line_count,is_locked
1,06bd722ec5734e29af0595fcde193045,ff88aca287f94ee09bcc0a53649e5c0f,755,4827,CONIN2600001,广清城际轨道交通项目（花都段）安置区工程（秀全街乐同安置区）一期施工总承包项目 【园林园建】工程专业分包,out,draft,0,False
2,138d7b699f5a4c1fb7c685a3db3e07db,8929f6ba520a4e24813d0adb7e6479e7,426,4825,CONIN2600002,绵阳高新医院（肺病医院）建设项目之办公室装饰装修分包合同,out,draft,0,False
3,19b3382cc9aa4ea682c4faef2fa60631,d2584e69e21145199d66b25b0181e0a8,622,4826,CONIN2600003,西南大数据创新应用中心项目土石方补充协议,out,draft,0,False
4,2780f0ac1f9b4eed9d17a2e0d8665e94,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600004,中山市工业技术研究中心项目道路工程,out,draft,0,False
5,2c63d820de7d43339d2e479dd70ce0d7,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600005,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同(二),out,draft,0,False
6,2d11e799ec5b4338a551fb70dfd0dc1c,1791ed98bcc5407a9476f93365909791,72,4830,CONIN2600006,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,out,draft,0,False
7,32837dc26c344e8cbf9b3a9346f8a3ec,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600007,德阳市八角井镇卫生院-新建附属用房,out,draft,0,False
8,3592ba0780794f0092d83e332b3a42aa,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600008,德阳市旌阳区八角卫生院新建项目附属用房,out,draft,0,False
9,3a183e73f5544c8781dfac78a1fafc93,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600009,【白云机场三期扩建工程周边临空经济产业园区基础设施二期工程（平西二期安置区）施工总承包（标段一）】项目【室外】工程,out,draft,0,False
10,3b046a8c299d441ca59b48dc90faa6be,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600010,KHQY23001 清远长颈酒店项目总承包工程办公区园林绿化工 程,out,draft,0,False
11,3b9d03d1f0cc47de8b81daf1f1746e7d,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600011,八角卫生院-口腔科装修改造工程,out,draft,0,False
12,3c0659411d374bfcb2313cef17bb6a52,52278e622558409db167eca9eba8c8b8,267,4827,CONIN2600012,广州市花都区殡仪馆园建、绿化、道路及护坡工程专业分包,out,draft,0,False
13,3e59e8b332b74eacb1d679cbd8f0d0f9,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600013,绵竹市齐协路、桑土路道路维修养护工程,out,draft,0,False
14,4072c73b39744718a8786199e3d53cf8,784c455d3cfe45cf9b7dfdf3d752e81a,368,4828,CONIN2600014,合同变更协议,out,draft,0,False
15,419650edd1c54b1c96fe7f868b58d673,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600015,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同,out,draft,0,False
16,46dd665c95d3460b84d09083cac81906,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600016,G545绵竹市汉旺镇牛鼻村至群力社区段大修工程和G545绵竹市板桥镇康宁村至孝德镇石河村段中修工程,out,draft,0,False
17,4a2fbaf074e34e94a9d7a7b1c0732f40,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600017,花都区智能学校新华校区建设项目工程室外工程专业分包,out,draft,0,False
18,4d89ae3135154de6a568fcc1ba63e332,208e534eab2d47c6b23bd0576523922c,101,2982,CONIN2600018,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,out,draft,0,False
19,4dd3cbf1f2d64bd287d9ee3ab6b79485,9ebba094a48443a39dd7e1421da8dfbb,481,1819,CONIN2600019,四川宝烨金属制品有限公司燃气报警系统安装,out,draft,0,False
20,5016ff407edc491abe55517e49bec0ca,4bbff2852e8e46d38ceb8ed5b1c9de84,240,1664,CONIN2600020,专业分包合同补充协议,out,draft,0,False
21,54d3a0628269470ca75e58295a5e1694,c2ee2572f2e64330acc9922be5d292e6,585,4827,CONIN2600021,广东南华工商职业学院清远校区二期人防工程一期,out,draft,0,False
22,5c36c166b4d546a2bb91fcde20d3f22b,4bbff2852e8e46d38ceb8ed5b1c9de84,240,1664,CONIN2600022,旌阳区综合管廊项目庐山路段支护及防水3标工程,out,draft,0,False
23,616bf77c6ab346ea88383c05d490fc9f,a7f1cabfc69e4b0e9a8f93a295c8ee03,513,4827,CONIN2600023,广东南华工商职业学院清远校区二期人防工程一期项目路面工程施工分包合同,out,draft,0,False
24,66806256a2534878b9709f7c12130b8e,a74d16f8345a4e29a837fb2ea222deea,512,4827,CONIN2600024,广清城际轨道交通项目（花都段）安置区工程（狮岭镇军田安置区一期工程）项目（市政道路）工程,out,draft,0,False
25,6c1b289a464340ff97a11be1d4807bbe,9ebba094a48443a39dd7e1421da8dfbb,481,3159,CONIN2600025,四川美丰化工股份有限公司燃气报警系统工程安装合同,out,draft,0,False
26,6dfc40f317ae4b3db6bddad8ad13956d,e712d2cd1f10406abfd3f4857656495d,689,4826,CONIN2600026,西南大数据创新应用中心项目-深潜土石方工程,out,draft,0,False
27,6e2fb713017243d8843588bbc698fc0f,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600027,【广州白云国际机场三期扩建工程交通中心综 合体项目施工总承包】项目 【办公区绿化工程】专业分包,out,draft,0,False
28,78547196420f4e5182e5f9a08a26d58d,c0fec62dffee4c0cbcf8eaab7e4a5477,578,4827,CONIN2600028,【广清城际轨道交通项目（花都段）安置区工程 （狮岭镇军田安置区一期工程）施工总承包】项目 【挡土墙】工程专业分包合同,out,draft,0,False
29,78cd6b3b928243c3a7efa741124a155b,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600029,简乃华工程（八角卫生院项目）,out,draft,0,False
