contract_id,legacy_contract_id,legacy_project_id,project_id,partner_id,name,subject,type,state,line_count,is_locked
30,7b84c091718e4a7dad4f0cf7cdf2e9a8,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600030,【白云机场三期扩建工程周边临空经济产业园区基础设施二 期工程（平西二期安置区）施工总承包（标段一）项目室外管网工程】,out,draft,0,False
31,7de4f64ea5e341f79ef1a8ed1aee35f7,a7f1cabfc69e4b0e9a8f93a295c8ee03,513,4827,CONIN2600031,连山壮族瑶族自治县生态产业园(永和片区)建设(一期)施工图设计、施工总承包项目,out,draft,0,False
32,8061a7d557e0440dac38cc82ac574a97,4860c86d34c74e858db90a3e7940327b,230,3024,CONIN2600032,德阳市旌阳区八角井镇卫生院-各类设施零星维护管理,out,draft,0,False
33,87ae52a689b94da6aeb6d162fed03b7d,d2584e69e21145199d66b25b0181e0a8,622,4826,CONIN2600033,土石方工程专业分包工程,out,draft,0,False
34,8e591015ebde4a58a1dbd1b6367f026f,784c455d3cfe45cf9b7dfdf3d752e81a,368,4828,CONIN2600034,龙岗001-20井气田水回注土建工程,out,draft,0,False
35,941336f899064628978398731173c27d,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600035,绵竹市新市下穿引水管道工程,out,draft,0,False
36,98647acd0a364ae1bad798c58822cb2f,0f314b7eb259455f8ad3bb3419f66957,43,4830,CONIN2600036,星旺大桥与货运通道连接匝道工程路面分项工程部分专 业分包项目,out,draft,0,False
37,991508f025444d6fa99dd985307db831,1791ed98bcc5407a9476f93365909791,72,4830,CONIN2600037,路面分项工程专业分包补充协议,out,draft,0,False
38,9ed9094c20d34a62b8f6945c83d52dda,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600038,德阳市旌阳区八角卫生院-防水维修改造工程,out,draft,0,False
39,a462e13d419d401cb65dd769030ee175,855160338f1e45cfbc0d0c34ed169a79,416,4830,CONIN2600039,绵土路九龙里至武新路路面和桥梁工程,out,draft,0,False
40,a6005c8facdf4741acdc92e97c04a84f,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600040,简乃华工程（八角卫生院项目）,out,draft,0,False
41,af5404afe515457a858c2ad208eb77cd,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600041,绵竹市广济镇中新村农村公路提升改造工程,out,draft,0,False
42,afdc9c75edfd4db8be702b1b5514dd20,eaec532f7b9b47a4bf4c0c2989290a70,702,4829,CONIN2600042,中国农业发展银行什邡市支行雨、污管道改造项目,out,draft,0,False
43,b47455cbccc8409783ce87bd12852e39,e8a559bf5ba24de8b25213c1b7be2a78,693,4827,CONIN2600043,【东莞市长安镇莞港跨境货物运输接驳点工程】项目 【路面硬化及卸货平台工程劳务分包合同】补充协议,out,draft,0,False
44,c19e14d6e4df4fc3a2b5d281631bd6fa,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600044,德阳市旌阳区八角井镇卫生院-便民药房改造及微型消防站修建项目,out,draft,0,False
45,c24d8dfe78db4cb0810cc65dcc08735a,bb522fee21af41b384c8fc7647fe63f3,561,1686,CONIN2600045,合格土销售项目,out,draft,0,False
46,c3518e96e8914ac19a76448f4a73f7bc,d673283d7f064228aa3bcdb822c8d425,635,4827,CONIN2600046,广州铁路运输检察分院、广州铁路运输检察院办案和专业技术用房工程项目室外园建工程及配套工程,out,draft,0,False
47,c9abb18ae4e84b45af5f3fd6c4e710b4,7502f0c9996a4e0893330ccf0d85661c,357,1664,CONIN2600047,专业分包合同补充协议,out,draft,0,False
48,d28efa3e18ed4dfaa5ecaa4f7f68ab94,e8a559bf5ba24de8b25213c1b7be2a78,693,4827,CONIN2600048,东莞市长安镇莞港跨境货物运输接驳点工程补充协议1,out,draft,0,False
49,d8426f40af3e407890c97caf8bcc5c39,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600049,德阳市旌阳区八角井镇卫生院-中医院改造补充协议,out,draft,0,False
50,d947f657d02c42f1ad2da6d541c4d777,d5e059c23e3d4a2c802cbecb7911cd38,633,4830,CONIN2600050,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程劳务（沥青砼摊铺）施工合同,out,draft,0,False
51,ea8b5a3055f041abb2362663c2396b0a,e8a559bf5ba24de8b25213c1b7be2a78,693,4827,CONIN2600051,东莞市长安镇莞港跨境货物运输接驳点工程,out,draft,0,False
52,ee0c8f3da4a3464b8dd7eda71992aa9a,ef18f8708c5b493d841efc8c3f3c9fe9,715,4827,CONIN2600052,广清城际轨道交通项目（花都段）安置区工程(狮岭镇前进安置区) 一期施工总承包项目,out,draft,0,False
53,f3c0077b815746378c254ae1fb9002cc,3a74f431115c4b7ba18453ff63ba3053,186,4827,CONIN2600053,广清城际轨道交通项目（花都段）安置区工程(狮岭镇军田安置区一期工程）园林园建专业分包工程,out,draft,0,False
54,f436543292954c6cb14d56bf5288fad5,b4d056223bda427d8dff39113334ef37,546,4827,CONIN2600054,【广清城际轨道交通项目（花都段）安置区工程（狮岭镇前进安置区）一期施工总承包】项目【市政道路】工程专业分包,out,draft,0,False
55,f4f22cdf69de4ba39c4afc5e7080c202,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600055,简乃华工程（八角卫生院项目）,out,draft,0,False
56,fa7627a9ecf5459eb8c9f65cb41e9782,edd87052c5a044328e248bb6b8168598,712,4825,CONIN2600056,德阳保利国际城中央花园A区二标段土建及水电安装总承包工程,out,draft,0,False
57,fc1b2ec1e0a2497aa7d84c9b06f699bd,3ddb4ef7f09a4280b7ef904a6f6e5275,195,3024,CONIN2600057,简乃华工程（八角卫生院项目）,out,draft,0,False
