project_id,legacy_project_id,project_code,project_name,old_funding_enabled,contract_count,contract_amount_final_sum,contract_amount_total_sum,active_baseline_count,active_baseline_total,planned_action
19,06cd855d5ede4a279a81568903836256,PRJ260019,"{""en_US"": ""白鹤花园修建建筑垃圾池""}",True,1,52525.47,52525.47,1,52525.47,skip_existing_active_baseline
21,076d8bcae3064dca8927f4f629bf2356,PRJ260021,"{""en_US"": ""中国移动四川西区二枢纽“车库改机房”土建工程""}",True,3,4177413.2,4177413.2,1,4177413.2,skip_existing_active_baseline
22,07e6484cc40d4609b0bcafcf187dd9af,PRJ260022,"{""en_US"": ""德阳市天府旌城石亭江河段堤防改建给水迁改工程""}",True,8,10655727.39,10655727.39,1,10655727.39,skip_existing_active_baseline
24,088193c97f1443b58f1489b321c1288a,PRJ260024,"{""en_US"": ""浪卡子县白地乡龙桑村水塘工程项目(1标段)""}",True,14,8818713.49,8818713.49,1,8818713.49,skip_existing_active_baseline
25,08ac2e586f574d39a3272852fa22bf71,PRJ260025,"{""en_US"": ""德昌县宽裕镇花园村文化休闲广场""}",True,2,593429.99,593429.99,1,593429.99,skip_existing_active_baseline
26,08fa00e1bf9d4c88bcbfa652610aa347,PRJ260026,"{""en_US"": ""永川区卫星中型灌区续建配套与节水改造工程""}",True,23,19222824.39,19222824.39,1,19222824.39,skip_existing_active_baseline
27,092bc953078b42ab89b7a9d07fecab66,PRJ260027,"{""en_US"": ""德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包""}",True,1,545000.0,545000.0,1,545000.0,skip_existing_active_baseline
28,09a62a54dcf645d6b7030d40fbdac1cb,PRJ260028,"{""en_US"": ""林芝市财富阳光建设项目消防工程""}",True,2,4180700.0,4180700.0,1,4180700.0,skip_existing_active_baseline
29,09ba719dfd18431a951ec77d29ea6194,PRJ260029,"{""en_US"": ""焙浸车间硫酸罐区防腐项目工程""}",True,2,109578.68,109578.68,1,109578.68,skip_existing_active_baseline
31,0b3b88a05d6d454b9cbbe6b4c3c342d5,PRJ260031,"{""en_US"": ""岳普湖县防沙治沙电力配套设施建设项目""}",True,1,10199831.09,10199831.09,1,10199831.09,skip_existing_active_baseline
33,0c028a6f51ea4e728448ce29b1e2eaab,PRJ260033,"{""en_US"": ""南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目""}",True,4,350466.62,350466.62,1,350466.62,skip_existing_active_baseline
34,0c4f914eee3547c185a2108fc1f768df,PRJ260034,"{""en_US"": ""太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包""}",True,5,4817890.79,4817890.79,1,4817890.79,skip_existing_active_baseline
35,0c8c213e89204a6fb61a4c8ac79f0d4a,PRJ260035,"{""en_US"": ""二重厂西路（华山路-衡山路）等4条路砂石工程专业分包""}",True,57,8807613.84,8807613.84,1,8807613.84,skip_existing_active_baseline
36,0cdd82e96265456494a1de15f36c433e,PRJ260036,"{""en_US"": ""何埂小学生化池及室外污水管网""}",True,1,118953.14,118953.14,1,118953.14,skip_existing_active_baseline
37,0d21826a7ebb4dbfb7317338baaf57a0,PRJ260037,"{""en_US"": ""重庆文理学院2025年附属工程项目(不可预测的零星维修工程)""}",True,3,1326327.14,1326327.14,1,1326327.14,skip_existing_active_baseline
39,0db43c29f642442292d30f6b34c328a9,PRJ260039,"{""en_US"": ""巫山县大昌镇树木修剪及路灯更换服务合同""}",True,3,1392042.47,1392042.47,1,1392042.47,skip_existing_active_baseline
40,0dde523bf5414461b937c9d5d4c220cf,PRJ260040,"{""en_US"": ""53019工程、3644-3、4、3617消防工程""}",True,15,10406244.54,10406244.54,1,10406244.54,skip_existing_active_baseline
41,0e04e445c6304b5f9e3b79ffdde72eb1,PRJ260041,"{""en_US"": ""绵阳金能集中办公室维修改造项目""}",True,18,2369563.38,2369563.38,1,2369563.38,skip_existing_active_baseline
42,0e4c810fe22644c399650bca0528898a,PRJ260042,"{""en_US"": ""2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目""}",True,4,2408870.92,2408870.92,1,2408870.92,skip_existing_active_baseline
43,0f314b7eb259455f8ad3bb3419f66957,PRJ260043,"{""en_US"": ""绵竹市星旺大桥与货运通道连接匝道工程项目""}",True,7,520642.94,520642.94,1,520642.94,skip_existing_active_baseline
44,0f3c19a871e446fc8cc9781f108d58e5,PRJ260044,"{""en_US"": ""米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目""}",True,39,30399024.1,30399024.1,1,30399024.1,skip_existing_active_baseline
45,0fe3fceb5f4b4c4fa5fae8527912fb93,PRJ260045,"{""en_US"": ""旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）""}",True,27,28211029.83,28211029.83,1,28211029.83,skip_existing_active_baseline
46,102a738d1fee481fb215df95de82490c,PRJ260046,"{""en_US"": ""德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）""}",True,16,1667820.58,1667820.58,1,1667820.58,skip_existing_active_baseline
47,106e8ac916084f398b89d0a564f2473f,PRJ260047,"{""en_US"": ""德阳市罗江区公路建设养护所2025农村公路维修""}",True,4,406800.0,406800.0,1,406800.0,skip_existing_active_baseline
48,108141059f724a008d2250d7c01449c8,PRJ260048,"{""en_US"": ""龙泉山路与旌湖路交会处东北角土地围挡项目""}",True,3,40858.69,40858.69,1,40858.69,skip_existing_active_baseline
49,11e56ccc546e4532a323597457133e8c,PRJ260049,"{""en_US"": ""古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目""}",True,1,3652386.0,3652386.0,1,3652386.0,skip_existing_active_baseline
50,125f0ae46d734ad68124ddadc3d5eb19,PRJ260050,"{""en_US"": ""洛碛餐厨污水处理厂基础设施修复及零星工程项目""}",True,7,2700612.22,2700612.22,1,2700612.22,skip_existing_active_baseline
52,12dc2d35442c43f481d6e3880f8a306e,PRJ260052,"{""en_US"": ""德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程""}",True,6,1677046.85,1677046.85,1,1677046.85,skip_existing_active_baseline
53,1357e63a4149468ea5b484a53ec1efa4,PRJ260053,"{""en_US"": ""开挖修复359机位消防主管道爆管项目""}",True,3,263059.57,263059.57,1,263059.57,skip_existing_active_baseline
55,1375f96aeadd4e518c7b0574d3965a4b,PRJ260055,"{""en_US"": ""中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议""}",True,2,3022621.44,3022621.44,1,3022621.44,skip_existing_active_baseline
56,1428742882bf4fc5988efcc289c8d5e8,PRJ260056,"{""en_US"": ""安宁新能源磷铁项目""}",True,67,25355025.25,25355025.25,1,25355025.25,skip_existing_active_baseline
57,1496d77696814bca8ab7b5d1423b5d5f,PRJ260057,"{""en_US"": ""国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）""}",True,2,75046.17,75046.17,1,75046.17,skip_existing_active_baseline
58,14b62e4158d24596a0e04828e39362b5,PRJ260058,"{""en_US"": ""旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）""}",True,64,20464817.59,20464817.59,1,20464817.59,skip_existing_active_baseline
59,14c4325bb56b408788e6f442f4384374,PRJ260059,"{""en_US"": ""广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）""}",True,9,14532179.05,14532179.05,1,14532179.05,skip_existing_active_baseline
60,14fe0f48d2af4716b1b3b24f8a4286c8,PRJ260060,"{""en_US"": ""广汉市郑州路东段雨污水管网工程""}",True,1,866550.0,866550.0,1,866550.0,skip_existing_active_baseline
61,1524f421b94c41698305394cf8691f44,PRJ260061,"{""en_US"": ""中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府""}",True,1,2653977.78,2653977.78,1,2653977.78,skip_existing_active_baseline
62,152f26736dd64da29f1b4f494fcfef41,PRJ260062,"{""en_US"": ""西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段""}",True,9,5787023.19,5787023.19,1,5787023.19,skip_existing_active_baseline
63,15bc8bfa1f964a609140a3c52c72efaa,PRJ260063,"{""en_US"": ""重庆江北国际机场飞行区服务综合服务外包项目""}",True,3,18296491.79,18296491.79,1,18296491.79,skip_existing_active_baseline
66,16979c84c8ba410eab2e7117be52eddf,PRJ260066,"{""en_US"": ""旌阳区综合管廊项目泰山路段支护及防水工程二标""}",True,10,19289030.96,19289030.96,1,19289030.96,skip_existing_active_baseline
67,16d5db4fb73845ab92b4b2c5bcaf9488,PRJ260067,"{""en_US"": ""绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次)""}",True,1,1718777.45,1718777.45,1,1718777.45,skip_existing_active_baseline
68,16f30c8b960c4e6dbedd7a507d96f4ce,PRJ260068,"{""en_US"": ""明源电力公寓小区路灯维修改造""}",True,2,62452.13,62452.13,1,62452.13,skip_existing_active_baseline
69,16fce53311764d6c84b08f1357acf0ba,PRJ260069,"{""en_US"": ""四川省绵阳外国语学校高中部教学综合楼室外电梯工程""}",True,3,817305.76,817305.76,1,817305.76,skip_existing_active_baseline
70,1710364e78bc40b48396fe20e5f0e9bd,PRJ260070,"{""en_US"": ""南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目""}",True,1,10705962.56,10705962.56,1,10705962.56,skip_existing_active_baseline
71,17510e7ec153446ca14f6efa72d6c899,PRJ260071,"{""en_US"": ""天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程""}",True,1,6439169.55,6439169.55,1,6439169.55,skip_existing_active_baseline
72,1791ed98bcc5407a9476f93365909791,PRJ260072,"{""en_US"": ""S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目""}",True,18,4912414.77,4912414.77,1,4912414.77,skip_existing_active_baseline
73,17cfa82ebcfb4d15baf187890f9e934d,PRJ260073,"{""en_US"": ""经开物业小区门卫翻新工程""}",True,1,29110.04,29110.04,1,29110.04,skip_existing_active_baseline
74,18345028af09432ab7505fe2ce46d2b1,PRJ260074,"{""en_US"": ""水韵江南小区维修""}",True,2,124432.15,124432.15,1,124432.15,skip_existing_active_baseline
75,18b103d698be404b80f9bf782c1a174d,PRJ260075,"{""en_US"": ""德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包""}",True,1,31536355.94,31536355.94,1,31536355.94,skip_existing_active_baseline
77,1989ad3a331c42308a06490ef6d777b0,PRJ260077,"{""en_US"": ""绵阳市安州区高级职业中学空调电力改造安装工程""}",True,1,174400.0,174400.0,1,174400.0,skip_existing_active_baseline
78,19b80dff5f32439cbbf6a31107f05832,PRJ260078,"{""en_US"": ""金谷油脂项目进场道路工程二标段""}",True,55,44170213.95,44170213.95,1,44170213.95,skip_existing_active_baseline
79,1a27d87129a543c5939e8a5129b75f63,PRJ260079,"{""en_US"": ""万航模锻有限公司配电系统扩容工程""}",True,1,954507.62,954507.62,1,954507.62,skip_existing_active_baseline
80,1abe1430e27d4765b61cf3ae4b341c24,PRJ260080,"{""en_US"": ""凯州新城城乡一体化项目配套建设工程钢结构工程专业分包（第二次）""}",True,80,97551867.73,97551867.73,1,97551867.73,skip_existing_active_baseline
81,1aca2027a967401792f1c4b18ef02451,PRJ260081,"{""en_US"": ""自贡航空产业园航空大道南延线二标段（K1+860-K2+670）施工劳务""}",True,2,1418794.04,1418794.04,1,1418794.04,skip_existing_active_baseline
82,1aef1f14fbf64e46a61e70d6cef5955f,PRJ260082,"{""en_US"": ""龙岗001-20井气田水回注安装工程""}",True,1,1551070.0,1551070.0,1,1551070.0,skip_existing_active_baseline
83,1b714bfd78a14049b98c6f2b8a63073e,PRJ260083,"{""en_US"": ""合阳城街道2024年老旧小区改造工程(二期)""}",True,1,6170390.95,6170390.95,1,6170390.95,skip_existing_active_baseline
85,1bc8c1acc81d4a47af1318a718bf72db,PRJ260085,"{""en_US"": ""东河农贸市场场内厕所改造""}",True,7,298097.24,298097.24,1,298097.24,skip_existing_active_baseline
86,1ce3b31d6d8544479618158ea59ed160,PRJ260086,"{""en_US"": ""中国移动四川分公司成都片区2018-2020年渠道零星维修项目（标包1）""}",True,5,8173026.2,8173026.2,1,8173026.2,skip_existing_active_baseline
87,1ceeb10c5d5745879b20d438e2e69534,PRJ260087,"{""en_US"": ""德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同""}",True,2,6961409.69,6961409.69,1,6961409.69,skip_existing_active_baseline
88,1d23f106099449a0a88894c9f5458efa,PRJ260088,"{""en_US"": ""德阳市什邡市社会福利救助中心护理能力提档升级项目""}",True,7,5001497.41,5001497.41,1,5001497.41,skip_existing_active_baseline
89,1d69b18850554e28b5c4b4f8c7c83e77,PRJ260089,"{""en_US"": ""百合公园维修工程""}",True,3,386548.26,386548.26,1,386548.26,skip_existing_active_baseline
90,1d7c02e968a146e3ac209f95ac712682,PRJ260090,"{""en_US"": ""德阳市烈士陵园建设项目专业分包（总平）""}",True,8,2637695.6,2637695.6,1,2637695.6,skip_existing_active_baseline
91,1da16136281c46fc9fb1d3038e68f983,PRJ260091,"{""en_US"": ""石船镇农村公路（关兴村）井环路堡坎修复工程""}",True,3,211534.19,211534.19,1,211534.19,skip_existing_active_baseline
92,1e7aa5f1a92e46b1a4385a5daac440a6,PRJ260092,"{""en_US"": ""中国移动四川公司乐山分公司2020-2022年渠道维修采购项目框架协议""}",True,5,7530407.81,7530407.81,1,7530407.81,skip_existing_active_baseline
93,1e8cf6baef1d4627adb1a1d68231ba1e,PRJ260093,"{""en_US"": ""中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程""}",True,3,2628134.43,2628134.43,1,2628134.43,skip_existing_active_baseline
94,1f0d1455b090418eb292f359a8a19caf,PRJ260094,"{""en_US"": ""德阳太行山路（钱塘江路-信江路）道路工程""}",True,1,3139200.0,3139200.0,1,3139200.0,skip_existing_active_baseline
95,1f8cc9fd9b7145bbb9c265431d95c3a4,PRJ260095,"{""en_US"": ""德阳市旌阳区德新镇胜利村2024年省级财政乡村振兴转移支付资金项目(第二次)""}",True,11,1701660.25,1701660.25,1,1701660.25,skip_existing_active_baseline
96,1ffb0ce01fdf4dc984ec3df9432623cb,PRJ260096,"{""en_US"": ""玖龙纸业（重庆）有限公司年产55万吨牛卡及瓦楞纸生产线配套湿式造纸联合厂房工程第三方整改（25.4496）""}",True,1,277401.51,277401.51,1,277401.51,skip_existing_active_baseline
97,2001f5127b3e4265b198bef8a7553358,PRJ260097,"{""en_US"": ""绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程""}",True,6,6931652.31,6931652.31,1,6931652.31,skip_existing_active_baseline
98,2039a46ae2944d438ef930b4773ab002,PRJ260098,"{""en_US"": ""国网新疆喀什莎车县供电公司荒地供电所扩建项目""}",True,21,1480393.55,1480393.55,1,1480393.55,skip_existing_active_baseline
99,204822a6a35f4e76963dbeec9c3240d3,PRJ260099,"{""en_US"": ""中央公园西一游客服务中心工程项目""}",True,1,1308000.0,1308000.0,1,1308000.0,skip_existing_active_baseline
100,2065db3e97a8409f9a30f027c2c1553e,PRJ260100,"{""en_US"": ""苍溪县2020年高标准农田建设（施工六）""}",True,13,13997963.89,13997963.89,1,13997963.89,skip_existing_active_baseline
101,208e534eab2d47c6b23bd0576523922c,PRJ260101,"{""en_US"": ""成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石""}",True,6,2066533.74,2066533.74,1,2066533.74,skip_existing_active_baseline
102,21038f8a911b4a90938a58c8e36caa86,PRJ260102,"{""en_US"": ""会理县外北乡兴荣村三、四组道路硬化工程二标段""}",True,1,764308.0,764308.0,1,764308.0,skip_existing_active_baseline
103,211003ff687e41d2a4bc46c78036f640,PRJ260103,"{""en_US"": ""中国电信泸州分公司2024-2026年房屋装修、维修服务项目""}",True,14,3267562.44,3267562.44,1,3267562.44,skip_existing_active_baseline
104,211a1be6b5ee4d6c830d2cf06378107b,PRJ260104,"{""en_US"": ""德阳凯州新城检验检测创新产业园建设项目-实验室装修项目""}",True,17,4815530.86,4815530.86,1,4815530.86,skip_existing_active_baseline
105,212cf7a3248c48e68bc3f4a24383536a,PRJ260105,"{""en_US"": ""长虹金嶺1号项目二期高层外墙装饰工程（二标段）""}",True,1,981000.0,981000.0,1,981000.0,skip_existing_active_baseline
106,215041536acd48be89b14758cd923649,PRJ260106,"{""en_US"": ""欧麓花园入口地面维修""}",True,3,85844.02,85844.02,1,85844.02,skip_existing_active_baseline
107,21959dda2000462c95b82b966657b312,PRJ260107,"{""en_US"": ""重庆电子科技职业大学应急与抢险工程""}",True,5,3544499.66,3544499.66,1,3544499.66,skip_existing_active_baseline
108,2201ed763b854099b6c8f9f72cd6bb5b,PRJ260108,"{""en_US"": ""都兰县香日德镇移民灌区农业水价综合改革""}",True,3,2737733.45,2737733.45,1,2737733.45,skip_existing_active_baseline
109,22aa38f6dc0c44649d0a397653bce651,PRJ260109,"{""en_US"": ""喀什地区塔什库尔干县生活垃圾分类收运及处置建设项目工程总承包第三标段""}",True,1,1381561.09,1381561.09,1,1381561.09,skip_existing_active_baseline
111,23cc90c8afb441639a37ac3d7a9e4fe5,PRJ260111,"{""en_US"": ""某部机关院内及教导队营房维修项目""}",True,3,731738.5,731738.5,1,731738.5,skip_existing_active_baseline
112,240dd8ff5659498887a53149a9bb0d8c,PRJ260112,"{""en_US"": ""东风水库、高脚水水库水毁应急抢险工程""}",True,3,401658.0,401658.0,1,401658.0,skip_existing_active_baseline
113,2455ba28390e4456a6d81d35f170b305,PRJ260113,"{""en_US"": ""陈小刚零星劳务工程""}",True,1,88043.85,88043.85,1,88043.85,skip_existing_active_baseline
115,258b21f44ab54667a6829247d381d5a6,PRJ260115,"{""en_US"": ""四川建筑职业技术学院德阳校区2025年大型修缮项目""}",True,21,16704503.41,16704503.41,1,16704503.41,skip_existing_active_baseline
116,25b4b41289db4972b662289d6ff3749f,PRJ260116,"{""en_US"": ""经开区市政设施零星工程维护""}",True,1,0.01,0.01,1,0.01,skip_existing_active_baseline
117,2654c8c1ef73434dbdd7c45812a573db,PRJ260117,"{""en_US"": ""中国移动四川公司全省市州分公司2019-2022年管理用房及生产枢纽楼公共区域零星维修服务项目（标包1）""}",True,14,13504400.73,13504400.73,1,13504400.73,skip_existing_active_baseline
118,267ac2470a1e48ccbd665b5a08e2ff9c,PRJ260118,"{""en_US"": ""德阳饶益四组小二楼观潮起项目""}",True,12,17062829.68,17062829.68,1,17062829.68,skip_existing_active_baseline
119,26a87546cbc24afcb6852904c53cf90c,PRJ260119,"{""en_US"": ""中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议""}",True,1,8422322.09,8422322.09,1,8422322.09,skip_existing_active_baseline
121,273761d991fe4d4096abe5279b44b776,PRJ260121,"{""en_US"": ""集团五楼男卫生间渗水修缮项目""}",True,1,26487.0,26487.0,1,26487.0,skip_existing_active_baseline
122,273ebc3fe2784a59b7a6aee30575081d,PRJ260122,"{""en_US"": ""涪城区丰谷镇2025年大中型水库移民后期扶持资金项目（中央第一批）""}",True,6,1498567.75,1498567.75,1,1498567.75,skip_existing_active_baseline
123,28020d9fe0c345f295ebbf4b41c119e4,PRJ260123,"{""en_US"": ""绵竹市城区停车场建设项目二期设计施工（一标段）项目模板脚手架专业分包工程""}",True,3,1068191.9,1068191.9,1,1068191.9,skip_existing_active_baseline
124,282fc5242a4f465cae7d7630c279ef91,PRJ260124,"{""en_US"": ""德阳市寿丰河截污干管工程、中江县城 镇污水处理设施及配套管网项目等四个项目厂站及管网维修、服务单位的采购项目""}",True,23,10834825.16,10834825.16,1,10834825.16,skip_existing_active_baseline
125,2838f6304aa84ca891cf8b55fafca171,PRJ260125,"{""en_US"": ""美林康城售楼部绿化改造""}",True,1,156960.0,156960.0,1,156960.0,skip_existing_active_baseline
126,2865a4a7b99940cfa2653c54b26edf99,PRJ260126,"{""en_US"": ""璧山区正兴镇龙家河河堤水毁修复工程""}",True,4,577999.83,577999.83,1,577999.83,skip_existing_active_baseline
127,28b43ef4516445d8a54326b977288fba,PRJ260127,"{""en_US"": ""重庆市璧山区青杠街道山洪沟整治项目""}",True,21,17426273.04,17426273.04,1,17426273.04,skip_existing_active_baseline
128,290615a7138e49228ce83d02514c1372,PRJ260128,"{""en_US"": ""鸿图府项目第二期建筑安装工程""}",True,3,72081700.0,72081700.0,1,72081700.0,skip_existing_active_baseline
129,292584f7b81f40579ab90504983a05fc,PRJ260129,"{""en_US"": ""蓬溪县汽车城二期建设项目""}",True,12,5999029.75,5999029.75,1,5999029.75,skip_existing_active_baseline
130,29c0549f98024dc0937823da66701bbc,PRJ260130,"{""en_US"": ""阿克陶县人民医院医技楼配电安装工程项目""}",True,13,8201636.03,8201636.03,1,8201636.03,skip_existing_active_baseline
131,29cf2f89c2b94a19b4c8689f8199a2a3,PRJ260131,"{""en_US"": ""某部车库建设项目""}",True,17,7043146.04,7043146.04,1,7043146.04,skip_existing_active_baseline
132,29dff975ab4b42b5bc941af2c04b7cec,PRJ260132,"{""en_US"": ""普格县2019年产业扶贫特色水果种植示范项目大棚及果园灌溉工程（施工2）""}",True,1,213531.0,213531.0,1,213531.0,skip_existing_active_baseline
133,2a90203d1f0f420b841d1eca197f3a4d,PRJ260133,"{""en_US"": ""八角星坐标项目景观坡道优化调整工程劳务分包""}",True,6,275955.18,275955.18,1,275955.18,skip_existing_active_baseline
134,2ac906a09ef840688c8e4045a351367f,PRJ260134,"{""en_US"": ""引入社会资金共同打造游泳高水平运动员后备人才培养项目""}",True,102,76573685.91,76573685.91,1,76573685.91,skip_existing_active_baseline
135,2adfc1940c6446e5b5db0f0e3339eeff,PRJ260135,"{""en_US"": ""东湖街道老旧街区改造城市更新项目（一期）-秦岭山路（黄河路-玉泉路）提升改造工程""}",True,10,7221243.16,7221243.16,1,7221243.16,skip_existing_active_baseline
136,2afee25a79664b53a6a8a8740bcf6d4b,PRJ260136,"{""en_US"": ""博雅学校小学部1号楼屋面装饰改造功能用房采购项目施工合同""}",True,1,177717.84,177717.84,1,177717.84,skip_existing_active_baseline
137,2b26ad9411f0477886faff502f0d606d,PRJ260137,"{""en_US"": ""广元龙江电力宾馆消防管道改造施工""}",True,1,166293.67,166293.67,1,166293.67,skip_existing_active_baseline
138,2b62b87ee1a04fcb862ba23ce0e72367,PRJ260138,"{""en_US"": ""德阳市旌阳区医养结合中心及精神病院区建设项目新增电缆及给排水管工程""}",True,1,97721.29,97721.29,1,97721.29,skip_existing_active_baseline
139,2c2cf0230879448b8aa65a135baa1292,PRJ260139,"{""en_US"": ""上海二十冶西南公司四川省广汉市职业中专学校迁建项目土石方专业分包工程""}",True,1,1643234.49,1643234.49,1,1643234.49,skip_existing_active_baseline
140,2c8212fcec854602883cf1f1b88f9354,PRJ260140,"{""en_US"": ""中江县北塔南北干道至东二环道路二期工程""}",True,1,1962000.0,1962000.0,1,1962000.0,skip_existing_active_baseline
141,2cc4764ad05e4c5ebaeaf4d5a85c5cd7,PRJ260141,"{""en_US"": ""绵阳市游仙区魏城镇竹柳村（原柳塔村3组）通组道路硬化工程项目""}",True,3,689345.63,689345.63,1,689345.63,skip_existing_active_baseline
142,2cd51f2a8f064ef691347e5fee5d83fb,PRJ260142,"{""en_US"": ""剑阁2019年村道窄路加宽工程圈龙乡太吉村""}",True,2,1278038.0,1278038.0,1,1278038.0,skip_existing_active_baseline
143,2cdca43cbcab4faf95cdbc99a09a1454,PRJ260143,"{""en_US"": ""罗江区2020年暴雨洪灾水毁后重建护岸覆土工程劳务（第二次）""}",True,1,165691.88,165691.88,1,165691.88,skip_existing_active_baseline
144,2d0c8990b9944c60b5ea355035049c1b,PRJ260144,"{""en_US"": ""国网四川天府新区龙泉驿区供电公司柏合供电所""}",True,11,3533494.71,3533494.71,1,3533494.71,skip_existing_active_baseline
146,2e82c7a28d2d4455a075564650a4caf9,PRJ260146,"{""en_US"": ""四川建筑职业技术学院德阳校区综合办公楼西侧会议室等维修改造项目""}",True,6,1194927.93,1194927.93,1,1194927.93,skip_existing_active_baseline
147,2e9c130a609342e28328c728d28b9eb7,PRJ260147,"{""en_US"": ""2015年市级农业综合开发土地治理项目工程""}",True,2,44003.33,44003.33,1,44003.33,skip_existing_active_baseline
148,2ea97dc724a9493ea18676d910616d8a,PRJ260148,"{""en_US"": ""盐亭县2024年新章路、垢巨路、刘黑路水毁恢复工程""}",True,6,637356.84,637356.84,1,637356.84,skip_existing_active_baseline
149,2ec0da21560a45959b90a77d12866c51,PRJ260149,"{""en_US"": ""巴中恩阳临港产业园建设项目-制造业组团项目1-8号厂房消防工程""}",True,36,40314796.38,40314796.38,1,40314796.38,skip_existing_active_baseline
