project_id,legacy_project_id,project_code,project_name,old_funding_enabled,contract_count,contract_amount_final_sum,contract_amount_total_sum,active_baseline_count,active_baseline_total,planned_action
2,00a4bb196d944fa5a8c56e3bd3f1e448,PRJ260002,"{""en_US"": ""德阳市罗江区鄢家镇高垭村山坪塘整治项目""}",True,8,783323.93,783323.93,1,783323.93,skip_existing_active_baseline
4,00db8d3baa894d1e8efd7acd181f6499,PRJ260004,"{""en_US"": ""渝数科技公司重庆数字大厦第6层办公用房装修改造项目""}",True,7,1798400.07,1798400.07,1,1798400.07,skip_existing_active_baseline
5,0201344da1b74e008006a7a96f90be6f,PRJ260005,"{""en_US"": ""四川艺术职业学院消防隐患整治工程""}",True,4,1445419.76,1445419.76,1,1445419.76,skip_existing_active_baseline
6,020eddc09afb4260a5843a84ee58d826,PRJ260006,"{""en_US"": ""龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）""}",True,1,381500.0,381500.0,1,381500.0,skip_existing_active_baseline
7,027c5b467ae94e52aabb6f6218d310d4,PRJ260007,"{""en_US"": ""成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）""}",True,19,7103851.13,7103851.13,1,7103851.13,skip_existing_active_baseline
8,02df67b4ddb6469b81ed551e9b544d25,PRJ260008,"{""en_US"": ""剑阁县文化广电新闻出版局人才基地建设项目""}",True,1,90400.0,90400.0,1,90400.0,skip_existing_active_baseline
10,03f8997135504039a36557ec6e57909b,PRJ260010,"{""en_US"": ""工程部后油库油罐清洗""}",True,1,96465.0,96465.0,1,96465.0,skip_existing_active_baseline
12,04c36990cc144f04b8f2423c36e5f713,PRJ260012,"{""en_US"": ""喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力""}",True,24,16765602.76,16765602.76,1,16765602.76,skip_existing_active_baseline
13,04d0a65675424e41b8c65ba26ef48b4e,PRJ260013,"{""en_US"": ""中江公司变电检修班“工人先锋号”环境整治""}",True,2,392213.55,392213.55,1,392213.55,skip_existing_active_baseline
14,05139ca820724561bee71e016b22fd55,PRJ260014,"{""en_US"": ""2022年日常维护项目（竞标12）""}",True,6,1483830.0,1483830.0,1,1483830.0,skip_existing_active_baseline
15,0550ea3a2e1b4161b25a697476e344b5,PRJ260015,"{""en_US"": ""准环对称仿星器项目""}",True,1,329728.01,329728.01,1,329728.01,skip_existing_active_baseline
16,059742d9ac094c018b91894306d5fc2d,PRJ260016,"{""en_US"": ""ALC预制隔墙板供应及施工分包合同""}",True,8,10616113.97,10616113.97,1,10616113.97,skip_existing_active_baseline
17,069cd56871fd4307b836a3167fddf14b,PRJ260017,"{""en_US"": ""和田地区于田县高速公路10千伏线路迁改工程""}",True,7,2569723.55,2569723.55,1,2569723.55,skip_existing_active_baseline
