external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_ref
legacy_partner_sc_E88B1F6779D1499BBF89764300C26A9A,德阳经济技术开发区重点工程建设中心,company,1,,,,E88B1F6779D1499BBF89764300C26A9A,cooperat_company,德阳经济技术开发区重点工程建设中心,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_E88B1F6779D1499BBF89764300C26A9A
legacy_partner_sc_FA3A3C7F73DE468A98C17681A11A8C39,德阳市人力资源和社会保障局,company,1,,,,FA3A3C7F73DE468A98C17681A11A8C39,cooperat_company,德阳市人力资源和社会保障局,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_FA3A3C7F73DE468A98C17681A11A8C39
legacy_partner_sc_a2bc26cfe66f4af3926cc4dc9eb1e714,重庆机场集团有限公司,company,1,,,,a2bc26cfe66f4af3926cc4dc9eb1e714,cooperat_company,重庆机场集团有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_a2bc26cfe66f4af3926cc4dc9eb1e714
legacy_partner_sc_ab7f95a6ed1e4233943e3be5a37e3272,浙江度川网络科技有限公司,company,1,,,,ab7f95a6ed1e4233943e3be5a37e3272,cooperat_company,浙江度川网络科技有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_ab7f95a6ed1e4233943e3be5a37e3272
legacy_partner_sc_bd758df32476494dba2abdba52f4f1e2,重庆银鑫物业管理有限公司德阳分公司,company,1,,,,bd758df32476494dba2abdba52f4f1e2,cooperat_company,重庆银鑫物业管理有限公司德阳分公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_bd758df32476494dba2abdba52f4f1e2
legacy_partner_sc_d4d7845d64064e66936eeca8522db568,四川保盛建设集团有限公司,company,1,,,,d4d7845d64064e66936eeca8522db568,cooperat_company,四川保盛建设集团有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_d4d7845d64064e66936eeca8522db568
legacy_partner_sc_ef8e32bef66a4074a48e583bba83734e,阳光财产保险股份有限公司四川省分公司,company,1,,,,ef8e32bef66a4074a48e583bba83734e,cooperat_company,阳光财产保险股份有限公司四川省分公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_ef8e32bef66a4074a48e583bba83734e
legacy_partner_sc_fbbdfe8150d44f479029436c73611862,中信银行,company,1,,,,fbbdfe8150d44f479029436c73611862,cooperat_company,中信银行,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_fbbdfe8150d44f479029436c73611862
legacy_partner_sc_ff7297147f014a9bb38d77cff575e014,中国工商银行,company,1,,,,ff7297147f014a9bb38d77cff575e014,cooperat_company,中国工商银行,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_ff7297147f014a9bb38d77cff575e014
legacy_receipt_counterparty_sc_00d57ad17db74a5c95fa1be158f21376,黄建军,person,0,,,,00d57ad17db74a5c95fa1be158f21376,receipt_counterparty,黄建军,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_00d57ad17db74a5c95fa1be158f21376
legacy_receipt_counterparty_sc_01bb4c95df7c45f0b01ad49061a19d06,蔡顺芳,person,0,,,,01bb4c95df7c45f0b01ad49061a19d06,receipt_counterparty,蔡顺芳,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_01bb4c95df7c45f0b01ad49061a19d06
legacy_receipt_counterparty_sc_020bfb6529404a99a6aa6000d6a0c4d7,陈建峰,person,0,,,,020bfb6529404a99a6aa6000d6a0c4d7,receipt_counterparty,陈建峰,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_020bfb6529404a99a6aa6000d6a0c4d7
legacy_receipt_counterparty_sc_0257e79286754dd69fb9b8cc1373877e,赖方莉,person,0,,,,0257e79286754dd69fb9b8cc1373877e,receipt_counterparty,赖方莉,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_0257e79286754dd69fb9b8cc1373877e
legacy_receipt_counterparty_sc_037913d9970e4e7e83eec244a1de6812,向东,person,0,,,,037913d9970e4e7e83eec244a1de6812,receipt_counterparty,向东,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_037913d9970e4e7e83eec244a1de6812
legacy_receipt_counterparty_sc_051866337dfe4fd2a37d18b902500802,袁天强,person,0,,,,051866337dfe4fd2a37d18b902500802,receipt_counterparty,袁天强,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_051866337dfe4fd2a37d18b902500802
legacy_receipt_counterparty_sc_0ad2af7cd776488bba8e96f001d2c262,邓卓文,person,0,,,,0ad2af7cd776488bba8e96f001d2c262,receipt_counterparty,邓卓文,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_0ad2af7cd776488bba8e96f001d2c262
legacy_receipt_counterparty_sc_0b138cd84809411181d37a2abca7101f,曹辉,person,0,,,,0b138cd84809411181d37a2abca7101f,receipt_counterparty,曹辉,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_0b138cd84809411181d37a2abca7101f
legacy_receipt_counterparty_sc_0d7d167e3ca14ec5adc4a7039e9985d3,黄陈军,person,0,,,,0d7d167e3ca14ec5adc4a7039e9985d3,receipt_counterparty,黄陈军,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_0d7d167e3ca14ec5adc4a7039e9985d3
legacy_receipt_counterparty_sc_10000001,段奕俊,person,0,,,,10000001,receipt_counterparty,段奕俊,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000001
legacy_receipt_counterparty_sc_10000011,胡俊,person,0,,,,10000011,receipt_counterparty,胡俊,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000011
legacy_receipt_counterparty_sc_10000015,文楠,person,0,,,,10000015,receipt_counterparty,文楠,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000015
legacy_receipt_counterparty_sc_10000021,杨永田,person,0,,,,10000021,receipt_counterparty,杨永田,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000021
legacy_receipt_counterparty_sc_10000029,陈天友,person,0,,,,10000029,receipt_counterparty,陈天友,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000029
legacy_receipt_counterparty_sc_10000040,范晓龙,person,0,,,,10000040,receipt_counterparty,范晓龙,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000040
legacy_receipt_counterparty_sc_10000044,蒋毅,person,0,,,,10000044,receipt_counterparty,蒋毅,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000044
legacy_receipt_counterparty_sc_10000053,叶凌越,person,0,,,,10000053,receipt_counterparty,叶凌越,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000053
legacy_receipt_counterparty_sc_10000054,李俭峰,person,0,,,,10000054,receipt_counterparty,李俭峰,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000054
legacy_receipt_counterparty_sc_10000056,肖辉玖,person,0,,,,10000056,receipt_counterparty,肖辉玖,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_10000056
legacy_receipt_counterparty_sc_115b059d2589412d8e27dd5460779c15,蔡招武,person,0,,,,115b059d2589412d8e27dd5460779c15,receipt_counterparty,蔡招武,,,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty,legacy_receipt_counterparty_sc_115b059d2589412d8e27dd5460779c15
