project_id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,rollback_eligible
2385,541e6dbb75224e48b0ab8c09c28c70ef,重庆翰博光电工业园项目一期B部分（2#厂房）工程,draft,5,筹备中,True
2386,5533cd035fea4b59ba91ebb3e16b6d5d,露天破碎站地中衡工程,draft,5,筹备中,True
2387,55804d7aa29f40c68fdfd12a6996d3e4,青龙工业园区污水管网改造项目（第二期） 劳务分包,draft,5,筹备中,True
2388,55a317a482484e6fb37f023de6f063e7,凯州新城城乡一体化项目配套建设工程保温工程专业分包,draft,5,筹备中,True
2389,560ae40a3f244039bc3e6944959d80f1,恒荣半岛小区东舍北苑组团消防地下管网设施设备改造项目,draft,5,筹备中,True
2390,56627cf2610e4345ba195ef14c1ddd17,梧桐·骊府土方专业分包项目,draft,5,筹备中,True
2391,56e3011796694d71baaf4bc868ce37c7,广汉市旌江干线沥青混凝土路面维修工程,draft,5,筹备中,True
2392,573f606161ae486ba27422b42781f1dc,中江县御河中学校新建学生宿舍、附属工程及设备购置建设项目,draft,5,筹备中,True
2393,5776e5836ee949b7a464ad53fb0000cb,御嘉花苑1#楼 外墙外保温劳务项目,draft,5,筹备中,True
2394,57925b24d00a47ddafa39631e8df9951,【米易阳光里】项目【二】期景观园林工程,draft,5,筹备中,True
2395,57bd7e81163b4800ad47fbe092c8d58f,四川广汉火车站省粮食储备库和兴中心库建设项目（一期工程）,draft,5,筹备中,True
2396,57dfa8223dae43c999c1d2e26650453f,绵竹市高新区科技服务中心项目消防工程,draft,5,筹备中,True
2397,59680a7bdc344036bf1bc659f9090814,格尔木市2021年城市污水处理提质增效项目第二次,draft,5,筹备中,True
2398,59a29f63bee94720b7e85f4d48b2c72e,绵竹市城乡供水一体化项目(高柏、红旗)劳务、机械协作单位.,draft,5,筹备中,True
2399,5a4ab1da8abf45089d9b6b24e07b1296,中国民用航空飞行学院院本部雨污分流工程,draft,5,筹备中,True
2400,5a6292b632ec46a0b55645e68028157c,渭河路市场夜市市集项目,draft,5,筹备中,True
2401,5b42b379257242539e27ddb3ff34fcfc,御锦坊裙楼商业幕墙,draft,5,筹备中,True
2402,5b60b4bec4114f6dbda0d2706c0fce0a,白驿镇金凤村园区道路新建水泥混凝土路面工程,draft,5,筹备中,True
2403,5b8510c8256946c29cde293937443344,天台湖小区新增门卫室工程,draft,5,筹备中,True
2404,5c44a17531ae4105bde23f05303bda78,花园路街道古楼片区配套基础设施建设工程,draft,5,筹备中,True
2405,5c4db999649c43aa91e9a94014abfbc5,建筑工程实训基地室外改造提升,draft,5,筹备中,True
2406,5cacc39424034ea09fa2bfe27057778e,成都中铁二院商业运营管理有限公司2025-2027年度供应商集中招募,draft,5,筹备中,True
2407,5ce3a10946434bf3bb1a79351d5de269,广东西部沿海高速公路珠海段斗门收费站建设工程房建工程,draft,5,筹备中,True
2408,5d3979512ead4bd8a20d8053164a516a,富加镇河堰村、和桂村2017年易地扶贫搬迁基础设施建设项目,draft,5,筹备中,True
2409,5ddc008baa11420ebb0485734c073a75,中国电信泸州分公司2024-2026年房屋装修、维修服务项目,draft,5,筹备中,True
2410,5de86b43f29448b9822ccef8c2c5edc5,石柱县沿溪镇滨江社区居住环境改善工程,draft,5,筹备中,True
2411,5e286add68254849ab587a81f407f401,2021年德阳经开区旌东片区保障性安居工程城镇老旧小区改造一期土建、二期项目（四标段）,draft,5,筹备中,True
2412,5eddae1dfcf446fb963edf1fd3925db3,中国移动四川公司2018-2020年渠道零星维修项目,draft,5,筹备中,True
2413,5ff6d476b782459db42c01e366ed73a7,德阳市罗江区老旧小区改造项目四标段（二期）,draft,5,筹备中,True
2414,600fa2546bb14411ab99b72fd892a64e,国道219线22标K1221+200-K1239+705段水稳、透层、沥青混凝土面层工程,draft,5,筹备中,True
2415,60a2b8f9977543a99d04daa5c8b78af9,德阳市太行山路项目工程水稳层专业分包,draft,5,筹备中,True
2416,615e67a1e771454bb8618d795c692760,太行山路（钱塘江路-信江路）道路工程劳务分包,draft,5,筹备中,True
2417,616ed34f2e0040da880cf3913cdf6700,巴中恩阳临港产业园建设项目-制造业组团项目21-22号厂房消防工程,draft,5,筹备中,True
2418,62b1d6342b754ae5bf6b344dc1be010e,绵阳市粮食质量安全检验监测体系建设（第三次）项目,draft,5,筹备中,True
2419,62dbc2a8200f45f88f8a8584141af871,驻所武警营房安装防护栏杆工程,draft,5,筹备中,True
2420,63151c4e794243ec8a52e85d9c0eb410,中国移动四川公司成都分公司2023-2025年渠道维修采购项目,draft,5,筹备中,True
2421,6379e48fed5748af876b694457c00a80,广汉市城市更新城西片区城中村改造项目--配套道路路面工程专业分包,draft,5,筹备中,True
2422,64127fa422624757bc12f7dae485c234,幸福人家A区区域景观土建工程,draft,5,筹备中,True
2423,64805c7a472d4136be2a82d9ec9a793f,拉萨市柳梧新区公园水系污水渗漏改造,draft,5,筹备中,True
2424,64e0706eed044170b60295774f2fb924,梦溪苑商住项目外墙保温装饰一体板制作安装分包工程,draft,5,筹备中,True
2425,64f83d6cd91a459c9609c48a8e98889d,国盛莲花湖（1号地块）5.7.8.9.10#楼公共区域室内精装修工程,draft,5,筹备中,True
2426,65261c6899f64e658c76735183a388a4,年产55万吨牛卡及瓦楞纸项目配套废纸制浆车间、上料间、碎浆间、渣处理间工程第三方外协,draft,5,筹备中,True
2427,65b2b2e4f19143b2b42e4c6f1da469a9,德阳九源燃气工程有限公司德阳市旌阳区老旧小区改造安全隐患治理中土方工程施工单位（第二批）,draft,5,筹备中,True
2428,65e7a3336fe04151962cc866422cd5fa,中国电信股份有限公司成都分公司2024年大邑县城区电信大楼外墙景观照明项目,draft,5,筹备中,True
2429,6685fcb7a6614a0d89558d44653aec8c,忠县涂井乡龙滩村农村移民安置区精准扶贫项目.,draft,5,筹备中,True
2430,66b66086a7144848ba8194ce7db8f101,中国移动四川分公司乐山片区2018-2020年渠道零星维修项目（标包5）,draft,5,筹备中,True
2431,66bc67e86f8e4f4c88186af4a70104fd,PET-CT安装工程,draft,5,筹备中,True
2432,66efda2bb2b54b13965122fd2bb35618,绿地健康谷二号地块1标段项目泡沫混凝土工程,draft,5,筹备中,True
2433,6801dfe526d14ac1963bdb600ace2a79,""" 四川省德阳市2012-2013年中小河流水文监测系统新建水文站 -站房工程（第二次） """,draft,5,筹备中,True
2434,682991317e43497dbb4119f9990fe0ce,巴中恩阳临港产业园建设项目-制造业组团项目 21、22 号厂房防水保温工程,draft,5,筹备中,True
2435,6890dd7cde4446059d33a86af5e8ec7a,西藏方向军事设施建设项目EPC工程总承包合同12项目LBYQ-室外强弱电工程施工劳务分包合同,draft,5,筹备中,True
2436,68d2896f3eaf4682b902117d4dcda350,环壁北路（环壁南路至马牧河段）DN500管给水安装工程项目,draft,5,筹备中,True
