legacy_contract_id,legacy_project_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,partner_name,partner_legacy_source,partner_legacy_id,evidence_type,evidence_strength,manual_confirm_required,recovery_family
062e24ff0f0e4401a108ef7c2923b1a0,3ce2dcf5527242848ef633aa08088b48,补录老项目合同,in,2018-34,WBHTGL-20231215-035,17026268542950000,0,0,成都市兴蓉安科建设工程有限公司,成都环境水务建设有限公司,cooperat_company,fc6e819bc4f1486eae8ae80bc48d50d0,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
0fa88c601e9b492386bfc1671f5147a7,bedcf08fe3a040b6a2123a148f45dd5c,川北幼儿师范高等专科学校三期工程-室外附属一批次工程,in,GYS2017-35,WBHTGL-20200229-030,1000000066,2,,川北幼儿师范高等专科学校,川北幼儿师范高等专科学校,cooperat_company,6C0B5A9FC4AD4E6EA5B9B21AB87BCE08,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
1f63ffd7e5774c1db64743b588da15ae,8e1e8ffb0e244123a5f5b269a540fb17,补录老项目合同,in,2018-23、24,WBHTGL-20231215-003,17026095150930000,0,0,四川省宇汇建设工程有限公司日喀则分公司,成都煜嘉建筑工程有限公司,cooperat_company,e8a2a9c209734fa9ad96d96618968e0a,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
54243d3dc8464b69a20937710fd691f0,d5335e46b2c241fcb9ae857d721331d6,补录老项目合同,in,0,WBHTGL-20231219-009,17029488258110000,0,0,,德阳发展控股集团有限公司,cooperat_company,465d51947a364767a9b2c9f30c7b1f40,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
54f1837aebcf4ae78dd6eac7468a3f3b,57bd7e81163b4800ad47fbe092c8d58f,和兴中心库消防泵房、地磅房、综合楼、厕所、烘干房及机械罩棚、仓间罩棚、1-2#平房仓工程,in,DYS2016-32,WBHTGL-20200305-004,1000000095,2,,四川广汉火车站省粮食储备库,四川广汉火车站省粮食储备库,cooperat_company,E79565AD944A484CBA17A88B47088431,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
55d4383159c84ab49774cb650575d6fb,3f40674fb14b4bcd9225f37b21e5c2d3,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包（第一批）胜利堰二标段,in,2018,WBHTGL-20241023-002,17296704095740000,0,0,德阳蓉北建设工程有限公司,德阳蓉北建设工程有限公司,cooperat_company,9E2706663D884F908162D738EED275E5,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
77ef7dfe94ad452499f136f7f95fdf32,4ac61c70932e4dfa870ddf06ed5b36d2,科发泰升人和装饰装修专业分包,in,MYS2024-119,WBHTGL-20240723-001,17216965902100000,2,0,成都建工第五建筑工程有限公司,成都建工第五建筑工程有限公司,cooperat_company,2db04500c3d542259f898ecb0eae3fcd,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
973abd65ee5446518e13bc4f54fb7131,4797240705544506a61fe48f4331e6dc,WBHTGL-20240408-001,in,DYS2015-补录数据,WBHTGL-20240408-001,17125615432500000,0,0,德阳市水利局,德阳市水利局,cooperat_company,532f750efd65409cab30fcb99da705cf,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
af35fb6a1aec4ccb8c0c725524809da2,8ab29cb255744a2d8b8369c642ee6fe6,补录老项目合同,in,2018-64,WBHTGL-20231215-026,17026129370120000,0,0,,中铁一局集团铁路建设有限公司,cooperat_company,0c942819a1654d8d8a933b14557623e9,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
cde8b5fd161e4189bdd7ddc9ee411d6d,11e56ccc546e4532a323597457133e8c,补录老项目合同,in,2018-023,WBHTGL-20231215-022,17026123525650000,0,0,,古蔺县水务局,cooperat_company,dbe2e49cb22c4a9896a56365049aa72a,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
d38cb138e7df40b2a356d01f0e6c634b,c7f4ba7e38cf4b29b239a9b5ddd0ff94,罗江翰林豪锦苑一期工程,in,DYS2017-43,WBHTGL-20200229-013,1000000047,2,,德阳禾顺房地产开发有限公司,德阳禾顺房地产开发有限公司,cooperat_company,c2bc8c89f3ef471b99c928f29b7c6a03,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
f77d0e3616294244948b016d7f817925,bc8a3285e9af4dcda5895313440be16a,补录老项目合同,in,ABZ2020-14,WBHTGL-20231215-018,17026117812330000,0,0,九寨沟县城市投资开发有限公司,四川省第一建筑工程有限公司,cooperat_company,31C4952941CA49B5A0B2ECB7FD07DDAB,repayment_single_counterparty,strong,yes,direction_defer_strong_evidence_12
