dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
partner,sc.legacy.partner.map,392,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川百汇绿科建材有限公司||duplicate_across_carriers,四川百汇绿科建材有限公司,candidate,duplicate_across_carriers,none,,,1,150000.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,710,SCBS_FACT_PARTNER_CANDIDATE,罗江区鑫顺建筑机械租赁部||fact_partner_candidate,罗江区鑫顺建筑机械租赁部,candidate,fact_partner_candidate,none,,,1,149869.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,711,SCBS_FACT_PARTNER_CANDIDATE,德阳市旌阳区社会保险局||fact_partner_candidate,德阳市旌阳区社会保险局,candidate,fact_partner_candidate,none,,,3,149147.13,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,712,SCBS_FACT_PARTNER_CANDIDATE,四川栩峰海瑞贸易有限公司||fact_partner_candidate,四川栩峰海瑞贸易有限公司,candidate,fact_partner_candidate,none,,,3,148119.14,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,163,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市旌阳区柏隆天然气有限公司||duplicate_across_carriers,德阳市旌阳区柏隆天然气有限公司,candidate,duplicate_across_carriers,none,,,3,142500.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,100,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳杰狮物流有限公司||duplicate_across_carriers,德阳杰狮物流有限公司,candidate,duplicate_across_carriers,none,,,2,141165.45,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,215,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳中亚投资有限公司||duplicate_same_carrier_or_empty_tax,德阳中亚投资有限公司,candidate,duplicate_same_carrier_or_empty_tax,none,,,5,140259.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,714,SCBS_FACT_PARTNER_CANDIDATE,四川兴盛达石业有限公司||fact_partner_candidate,四川兴盛达石业有限公司,candidate,fact_partner_candidate,none,,,1,140000.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,715,SCBS_FACT_PARTNER_CANDIDATE,倪德模（机械）||fact_partner_candidate,倪德模（机械）,candidate,fact_partner_candidate,none,,,1,138000.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,716,SCBS_FACT_PARTNER_CANDIDATE,四川旭阳华鑫建材有限公司||fact_partner_candidate,四川旭阳华鑫建材有限公司,candidate,fact_partner_candidate,none,,,8,136561.04,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,717,SCBS_FACT_PARTNER_CANDIDATE,利欧集团浙江泵业有限公司||fact_partner_candidate,利欧集团浙江泵业有限公司,candidate,fact_partner_candidate,none,,,3,133200.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,718,SCBS_FACT_PARTNER_CANDIDATE,刘汶衔班组||fact_partner_candidate,刘汶衔班组,candidate,fact_partner_candidate,none,,,1,132062.93,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,544,SCBS_PARTNER_DUPLICATE_CANDIDATE,周路林机械||duplicate_across_carriers,周路林机械,candidate,duplicate_across_carriers,none,,,4,131200.0,confirm_or_ignore_partner,,,
