line,dimension,map_id,legacy_key,legacy_name,decision,status,reason,target_id,target_name
41,project,14,崴和路滑坡整治工程,崴和路滑坡整治工程,,skipped,noop,,
42,project,15,德阳市烈士陵园建设项目,德阳市烈士陵园建设项目,,skipped,noop,,
43,partner,563,四川东潞景观工程有限公司||fact_partner_candidate,四川东潞景观工程有限公司,,skipped,noop,,
44,business_entity,17,8d5f91d0e24043d880a79f97be1e64af,德阳泰诚硕商贸有限公司,,skipped,noop,,
45,project,16,孝感翠竹街西路改造,孝感翠竹街西路改造,,skipped,noop,,
46,partner,124,德阳久宇土石方工程有限公司||duplicate_across_carriers,德阳久宇土石方工程有限公司,,skipped,noop,,
47,project,17,面粉厂等小区改造项目,面粉厂等小区改造项目,,skipped,noop,,
48,partner,1,四川世旺鑫润商贸有限公司||duplicate_across_carriers,四川世旺鑫润商贸有限公司,,skipped,noop,,
49,partner,26,德阳市兴明鸿混凝土有限责任公司|91510600ma6b9x0k0p|tax_code_conflict,德阳市兴明鸿混凝土有限责任公司,,skipped,noop,,
50,business_entity,18,fa930650519f4145b0f2d12a42a62095,德阳市博众建材销售有限公司,,skipped,noop,,
51,project,18,烈士陵园装修项目,烈士陵园装修项目,,skipped,noop,,
52,project,19,凯江大回湾景区融合提升项目,凯江大回湾景区融合提升项目,,skipped,noop,,
53,partner,98,德阳嘉泰水泥制品有限公司|91510600689918304t|tax_code_conflict,德阳嘉泰水泥制品有限公司,,skipped,noop,,
54,partner,564,德阳鑫华益建材科技有限公司||fact_partner_candidate,德阳鑫华益建材科技有限公司,,skipped,noop,,
55,partner,10,周路林||duplicate_across_carriers,周路林,,skipped,noop,,
56,partner,565,项目承包单位||fact_partner_candidate,项目承包单位,,skipped,noop,,
57,business_entity,16,a5f4079846f345788536d81c916ef70f,四川嘉易欢悦建筑工程有限公司,,skipped,noop,,
58,partner,566,四川马尚莱建筑工程有限公司||fact_partner_candidate,四川马尚莱建筑工程有限公司,,skipped,noop,,
59,partner,567,销/进项  税金+管理费||fact_partner_candidate,销/进项  税金+管理费,,skipped,noop,,
60,partner,568,现金支付（个人）||fact_partner_candidate,现金支付（个人）,,skipped,noop,,
61,partner,393,四川保盛建设集团有限公司|9151060005217562xr|duplicate_across_carriers,四川保盛建设集团有限公司,,skipped,noop,,
62,partner,569,绵阳市安州区关心砂厂||fact_partner_candidate,绵阳市安州区关心砂厂,,skipped,noop,,
63,partner,15,德阳建投建材有限公司||duplicate_across_carriers,德阳建投建材有限公司,,skipped,noop,,
64,project,20,万润苑改造,万润苑改造,,skipped,noop,,
65,business_entity,19,43397eaacc004addb36fa18d2cf83e34,测试项目,,skipped,noop,,
66,partner,570,绵阳市关心商贸有限公司||fact_partner_candidate,绵阳市关心商贸有限公司,,skipped,noop,,
67,project,21,东一环北延线,东一环北延线,,skipped,noop,,
68,partner,571,四川庆祥建材有限公司||fact_partner_candidate,四川庆祥建材有限公司,,skipped,noop,,
69,partner,572,德阳市创纬贸易有限公司||fact_partner_candidate,德阳市创纬贸易有限公司,,skipped,noop,,
70,partner,45,四川中航超高分子量管业有限公司||duplicate_across_carriers,四川中航超高分子量管业有限公司,,skipped,noop,,
71,partner,3,成都梦农科技有限公司|91510184ma641plm9p|tax_code_conflict,成都梦农科技有限公司,,skipped,noop,,
72,partner,150,德阳市恒日太阳能路灯有限公司||duplicate_across_carriers,德阳市恒日太阳能路灯有限公司,,skipped,noop,,
73,partner,573,四川泽斌商贸有限公司||fact_partner_candidate,四川泽斌商贸有限公司,,skipped,noop,,
74,business_entity,20,cd149f81d6f741db8d102e9477a9bfcb,四川翔驰恒瑞商贸有限公司,,skipped,noop,,
75,partner,458,四川省绵阳鑫昌全建材有限公司||duplicate_same_carrier_or_empty_tax,四川省绵阳鑫昌全建材有限公司,,skipped,noop,,
76,partner,120,德阳旌城杰阳建材科技有限公司||duplicate_same_carrier_or_empty_tax,德阳旌城杰阳建材科技有限公司,,skipped,noop,,
77,partner,574,成都连众丰业物资有限公司||fact_partner_candidate,成都连众丰业物资有限公司,,skipped,noop,,
78,partner,575,挂靠单位||fact_partner_candidate,挂靠单位,,skipped,noop,,
79,partner,60,成都长红润晨建材有限公司|91510106ma6b8g0r6p|tax_code_conflict,成都长红润晨建材有限公司,,skipped,noop,,
80,partner,7,李合贵||duplicate_across_carriers,李合贵,,skipped,noop,,
81,partner,538,中江县福江页岩机砖厂||duplicate_across_carriers,中江县福江页岩机砖厂,,skipped,noop,,
82,project,22,城市花园等老旧小区改造,城市花园等老旧小区改造,,skipped,noop,,
83,partner,576,四川智能弘安交通科技有限公司||fact_partner_candidate,四川智能弘安交通科技有限公司,,skipped,noop,,
84,partner,244,金泰电缆有限公司||duplicate_across_carriers,金泰电缆有限公司,,skipped,noop,,
85,partner,453,四川睿杰达贸易有限公司|91510600ma62323w2f|tax_code_conflict,四川睿杰达贸易有限公司,,skipped,noop,,
86,partner,577,四川勇扬工程机械租赁有限公司||fact_partner_candidate,四川勇扬工程机械租赁有限公司,,skipped,noop,,
87,business_entity,21,83c4733dfe1c413da1e5529fe8448ae2,德阳泰诚硕商贸有限公司,,skipped,noop,,
88,partner,578,旌阳区煜辉建材经营部||fact_partner_candidate,旌阳区煜辉建材经营部,,skipped,noop,,
89,partner,149,德阳市海森物资有限公司||duplicate_across_carriers,德阳市海森物资有限公司,,skipped,noop,,
90,partner,579,德阳市旌阳区三丰页岩砖厂||fact_partner_candidate,德阳市旌阳区三丰页岩砖厂,,skipped,noop,,
91,partner,345,李德兴||duplicate_same_carrier_or_empty_tax,李德兴,,skipped,noop,,
92,partner,85,成都中冈钢铁有限公司||duplicate_across_carriers,成都中冈钢铁有限公司,,skipped,noop,,
93,partner,9,四川文诚管业有限公司|91510129ma62ll2b4b|tax_code_conflict,四川文诚管业有限公司,,skipped,noop,,
94,partner,498,四汇建设集团有限公司||duplicate_same_carrier_or_empty_tax,四汇建设集团有限公司,,skipped,noop,,
95,partner,419,四川金帝源道路工程有限公司||duplicate_across_carriers,四川金帝源道路工程有限公司,,skipped,noop,,
96,partner,21,德阳市金鸿建材有限公司|91510600ma6bqw5rx1|duplicate_across_carriers,德阳市金鸿建材有限公司,,skipped,noop,,
97,partner,580,绵竹市蜀天福商贸有限公司||fact_partner_candidate,绵竹市蜀天福商贸有限公司,,skipped,noop,,
98,partner,581,易德富负责人||fact_partner_candidate,易德富负责人,,skipped,noop,,
99,partner,582,绵竹市铭盛运输有限公司||fact_partner_candidate,绵竹市铭盛运输有限公司,,skipped,noop,,
100,partner,28,邓传军||duplicate_across_carriers,邓传军,,skipped,noop,,
101,partner,137,德阳路通福星机械租赁有限公司||duplicate_across_carriers,德阳路通福星机械租赁有限公司,,skipped,noop,,
102,partner,104,德阳经开区辉扬工程机械租赁服务部(个体工商户）||duplicate_across_carriers,德阳经开区辉扬工程机械租赁服务部(个体工商户）,,skipped,noop,,
103,partner,2,郑红明||duplicate_across_carriers,郑红明,,skipped,noop,,
104,partner,94,德阳瀚程高新科技有限公司||duplicate_across_carriers,德阳瀚程高新科技有限公司,,skipped,noop,,
105,partner,336,旌阳区卓越成溪机械租赁部（个体工商户）||duplicate_across_carriers,旌阳区卓越成溪机械租赁部（个体工商户）,,skipped,noop,,
106,partner,518,文明金||duplicate_across_carriers,文明金,,skipped,noop,,
107,partner,583,销/进项 税金+管理费||fact_partner_candidate,销/进项 税金+管理费,,skipped,noop,,
108,partner,584,德阳开发区未城建材经营部||fact_partner_candidate,德阳开发区未城建材经营部,,skipped,noop,,
109,project,23,寿崴路,寿崴路,,skipped,noop,,
110,partner,330,旌阳区耘扬工程机械租赁服务部||duplicate_across_carriers,旌阳区耘扬工程机械租赁服务部,,skipped,noop,,
111,project,24,天山路（黄河路-凯江路）改造项目,天山路（黄河路-凯江路）改造项目,,skipped,noop,,
112,partner,585,德阳市鑫浩科技有限公司||fact_partner_candidate,德阳市鑫浩科技有限公司,,skipped,noop,,
113,partner,388,什邡市鑫雷石材有限公司|91510682ma69nhun7b|tax_code_conflict,什邡市鑫雷石材有限公司,,skipped,noop,,
114,partner,586,四川省鑫顺发机械租赁有限公司||fact_partner_candidate,四川省鑫顺发机械租赁有限公司,,skipped,noop,,
115,partner,489,四川臻林机械租赁有限公司||duplicate_across_carriers,四川臻林机械租赁有限公司,,skipped,noop,,
116,partner,587,备用金.||fact_partner_candidate,备用金.,,skipped,noop,,
117,partner,333,旌阳区郑红明建材经营部||duplicate_across_carriers,旌阳区郑红明建材经营部,,skipped,noop,,
118,partner,588,税费||fact_partner_candidate,税费,,skipped,noop,,
119,partner,64,成都浩阳钢管有限公司||duplicate_across_carriers,成都浩阳钢管有限公司,,skipped,noop,,
120,project,25,太行山路（钱塘江路-信江路）道路工程,太行山路（钱塘江路-信江路）道路工程,,skipped,noop,,
121,partner,589,德阳市恒石建材有限公司广汉分公司||fact_partner_candidate,德阳市恒石建材有限公司广汉分公司,,skipped,noop,,
122,project,26,公司综合平台,公司综合平台,,skipped,noop,,
123,partner,20,德阳市宏兴五金交电有限公司||duplicate_across_carriers,德阳市宏兴五金交电有限公司,,skipped,noop,,
124,partner,214,德阳正弘金属材料有限公司|915106006783781701|tax_code_conflict,德阳正弘金属材料有限公司,,skipped,noop,,
125,partner,8,四川晟博通达商贸有限公司||duplicate_across_carriers,四川晟博通达商贸有限公司,,skipped,noop,,
126,partner,24,德阳市区永沁建材经营部|92510600ma62gj949k|tax_code_conflict,德阳市区永沁建材经营部,,skipped,noop,,
127,project,27,宋家堰景观工程,宋家堰景观工程,,skipped,noop,,
128,project,28,高地搅拌站,高地搅拌站,,skipped,noop,,
129,partner,27,德阳泰诚硕商贸有限公司||duplicate_across_carriers,德阳泰诚硕商贸有限公司,,skipped,noop,,
130,partner,590,德阳裕康钢筋加工厂||fact_partner_candidate,德阳裕康钢筋加工厂,,skipped,noop,,
131,business_entity,22,a87c81bedd2a48db9da8e260d2a9ecbd,商贸挂靠,,skipped,noop,,
132,project,29,汾河路（挂靠）,汾河路（挂靠）,,skipped,noop,,
133,partner,591,进项税金||fact_partner_candidate,进项税金,,skipped,noop,,
134,partner,14,成都中大长城市政工程有限公司||duplicate_across_carriers,成都中大长城市政工程有限公司,,skipped,noop,,
135,partner,592,四川金开亨达商贸有限公司||fact_partner_candidate,四川金开亨达商贸有限公司,,skipped,noop,,
136,partner,593,嘉陵江路库房||fact_partner_candidate,嘉陵江路库房,,skipped,noop,,
137,partner,594,德阳亚东水泥销售有限责任公司||fact_partner_candidate,德阳亚东水泥销售有限责任公司,,skipped,noop,,
138,partner,37,刘国明||duplicate_across_carriers,刘国明,,skipped,noop,,
139,partner,430,四川骏乐商贸有限公司||duplicate_across_carriers,四川骏乐商贸有限公司,,skipped,noop,,
140,partner,475,四川鑫裕康商贸有限公司||duplicate_across_carriers,四川鑫裕康商贸有限公司,,skipped,noop,,
141,partner,418,四川建设发展股份有限公司||duplicate_across_carriers,四川建设发展股份有限公司,,skipped,noop,,
142,partner,595,刘伟||fact_partner_candidate,刘伟,,skipped,noop,,
143,partner,90,德阳成越商贸有限公司||duplicate_across_carriers,德阳成越商贸有限公司,,skipped,noop,,
144,business_entity,23,9ba312b686204768a7d4a961b92970d4,四川世旺鑫润商贸有限公司,,skipped,noop,,
145,partner,4,德阳市区海旺建材经营部||duplicate_across_carriers,德阳市区海旺建材经营部,,skipped,noop,,
146,partner,204,德阳市志砼飞国混凝土有限公司||duplicate_same_carrier_or_empty_tax,德阳市志砼飞国混凝土有限公司,,skipped,noop,,
147,partner,596,销项税金||fact_partner_candidate,销项税金,,skipped,noop,,
148,partner,141,德阳鹏正建材有限公司||duplicate_across_carriers,德阳鹏正建材有限公司,,skipped,noop,,
149,partner,96,德阳鸿凡土石方工程有限公司||duplicate_across_carriers,德阳鸿凡土石方工程有限公司,,skipped,noop,,
150,partner,597,重庆锴沄农业有限公司||fact_partner_candidate,重庆锴沄农业有限公司,,skipped,noop,,
151,partner,39,罗江区鑫顺建筑机械经营部||duplicate_across_carriers,罗江区鑫顺建筑机械经营部,,skipped,noop,,
152,partner,343,李代军||duplicate_across_carriers,李代军,,skipped,noop,,
153,partner,217,邓洪英||duplicate_same_carrier_or_empty_tax,邓洪英,,skipped,noop,,
154,partner,598,刘伟班组||fact_partner_candidate,刘伟班组,,skipped,noop,,
155,partner,599,德阳开发区继红建材经营部||fact_partner_candidate,德阳开发区继红建材经营部,,skipped,noop,,
156,partner,41,四川川盾贸易有限公司||duplicate_across_carriers,四川川盾贸易有限公司,,skipped,noop,,
157,partner,339,赖勇||duplicate_same_carrier_or_empty_tax,赖勇,,skipped,noop,,
158,partner,466,四川翔驰恒瑞商贸有限公司||duplicate_across_carriers,四川翔驰恒瑞商贸有限公司,,skipped,noop,,
159,partner,472,四川鑫通旺管业有限公司||duplicate_across_carriers,四川鑫通旺管业有限公司,,skipped,noop,,
160,partner,600,成都海鹰科技有限公司||fact_partner_candidate,成都海鹰科技有限公司,,skipped,noop,,
161,project,30,崴和路二标段,崴和路二标段,,skipped,noop,,
162,partner,31,旌阳区浮霖劳务服务部（个体工商户）||duplicate_across_carriers,旌阳区浮霖劳务服务部（个体工商户）,,skipped,noop,,
163,partner,353,刘永立||duplicate_across_carriers,刘永立,,skipped,noop,,
164,partner,601,四川思铭景观工程有限公司||fact_partner_candidate,四川思铭景观工程有限公司,,skipped,noop,,
165,partner,238,夹江县英皇陶瓷有限公司||duplicate_across_carriers,夹江县英皇陶瓷有限公司,,skipped,noop,,
166,partner,59,成都灿安科技有限公司|91510114343144401w|tax_code_conflict,成都灿安科技有限公司,,skipped,noop,,
167,partner,602,四川墨策天程装饰工程有限公司||fact_partner_candidate,四川墨策天程装饰工程有限公司,,skipped,noop,,
168,partner,469,四川鑫和利供应链管理有限公司||duplicate_across_carriers,四川鑫和利供应链管理有限公司,,skipped,noop,,
169,partner,603,德阳开发区安强建材经营部||fact_partner_candidate,德阳开发区安强建材经营部,,skipped,noop,,
170,project,31,旌阳区2025年老旧小区改造-包5,旌阳区2025年老旧小区改造-包5,,skipped,noop,,
171,partner,153,德阳市华壹商贸有限公司|91510600ma68l79n4q|tax_code_conflict,德阳市华壹商贸有限公司,,skipped,noop,,
172,project,32,嘉陵江路库房,嘉陵江路库房,,skipped,noop,,
173,partner,604,四川福泽蓉新材料有限公司||fact_partner_candidate,四川福泽蓉新材料有限公司,,skipped,noop,,
174,partner,605,德阳云刚土石方工程有限公司||fact_partner_candidate,德阳云刚土石方工程有限公司,,skipped,noop,,
175,partner,606,朱世全||fact_partner_candidate,朱世全,,skipped,noop,,
176,partner,279,旌阳区黄许镇友逸机械租赁部||duplicate_across_carriers,旌阳区黄许镇友逸机械租赁部,,skipped,noop,,
177,partner,434,四川可为景观园林工程有限公司|91510681ma64febh0e|tax_code_conflict,四川可为景观园林工程有限公司,,skipped,noop,,
178,partner,32,旌阳区加卓建筑材料经营部||duplicate_across_carriers,旌阳区加卓建筑材料经营部,,skipped,noop,,
179,partner,89,德阳邦远农业有限公司||duplicate_across_carriers,德阳邦远农业有限公司,,skipped,noop,,
180,partner,607,四川光之力科技有限公司||fact_partner_candidate,四川光之力科技有限公司,,skipped,noop,,
181,partner,608,旌阳区黄许镇建英建材部||fact_partner_candidate,旌阳区黄许镇建英建材部,,skipped,noop,,
182,partner,609,四川海川盛翔贸易有限公司||fact_partner_candidate,四川海川盛翔贸易有限公司,,skipped,noop,,
183,partner,249,旌阳区柏隆镇富远货运经营部||duplicate_across_carriers,旌阳区柏隆镇富远货运经营部,,skipped,noop,,
184,partner,610,四川优正机电工程有限公司||fact_partner_candidate,四川优正机电工程有限公司,,skipped,noop,,
185,partner,611,四川瑞联宏塑料制品有限公司||fact_partner_candidate,四川瑞联宏塑料制品有限公司,,skipped,noop,,
186,partner,386,上海瑞皇管业科技股份有限公司||duplicate_across_carriers,上海瑞皇管业科技股份有限公司,,skipped,noop,,
187,partner,484,四川银驰商贸有限公司||duplicate_across_carriers,四川银驰商贸有限公司,,skipped,noop,,
188,partner,456,四川省浩鸿机械设备租赁有限公司||duplicate_across_carriers,四川省浩鸿机械设备租赁有限公司,,skipped,noop,,
189,partner,421,四川金恒达市政设施有限公司||duplicate_across_carriers,四川金恒达市政设施有限公司,,skipped,noop,,
190,partner,612,绵阳昊硕建材有限公司||fact_partner_candidate,绵阳昊硕建材有限公司,,skipped,noop,,
191,partner,613,易德富||fact_partner_candidate,易德富,,skipped,noop,,
192,partner,13,成都市林楠家俱有限公司||duplicate_across_carriers,成都市林楠家俱有限公司,,skipped,noop,,
193,partner,367,绵竹市祥翔机械设备租赁服务部(个体工商户）||duplicate_across_carriers,绵竹市祥翔机械设备租赁服务部(个体工商户）,,skipped,noop,,
194,partner,148,德阳市海龙清运有限公司||duplicate_across_carriers,德阳市海龙清运有限公司,,skipped,noop,,
195,project,33,德阳凹街办公室,德阳凹街办公室,,skipped,noop,,
196,partner,409,四川宏智拓建材有限公司||duplicate_across_carriers,四川宏智拓建材有限公司,,skipped,noop,,
197,partner,614,四川迈投建筑工程有限公司（民生）||fact_partner_candidate,四川迈投建筑工程有限公司（民生）,,skipped,noop,,
198,partner,92,德阳德塑管业有限公司||duplicate_across_carriers,德阳德塑管业有限公司,,skipped,noop,,
199,partner,113,德阳经开区三石机械设备租赁服务部||duplicate_across_carriers,德阳经开区三石机械设备租赁服务部,,skipped,noop,,
200,partner,615,德阳市方兴建筑设备租赁有限责任公司||fact_partner_candidate,德阳市方兴建筑设备租赁有限责任公司,,skipped,noop,,
201,partner,616,管理费用||fact_partner_candidate,管理费用,,skipped,noop,,
202,partner,275,旌阳区黄许镇广平村丽川木业||duplicate_across_carriers,旌阳区黄许镇广平村丽川木业,,skipped,noop,,
203,partner,381,人工费（工资表）||duplicate_across_carriers,人工费（工资表）,,skipped,noop,,
204,partner,170,德阳市良泰建材有限公司旌阳分公司||duplicate_across_carriers,德阳市良泰建材有限公司旌阳分公司,,skipped,noop,,
205,partner,268,旌阳区宏安吊装服务部||duplicate_across_carriers,旌阳区宏安吊装服务部,,skipped,noop,,
206,partner,189,德阳市区兴鑫达管材经营部|92510601ma63xrgu1j|tax_code_conflict,德阳市区兴鑫达管材经营部,,skipped,noop,,
207,partner,617,德阳市智兴物资贸易有限公司||fact_partner_candidate,德阳市智兴物资贸易有限公司,,skipped,noop,,
208,business_entity,24,cc1e418e1efa4caeb4a374a05ec20f4a,德阳市海旺建材经营部,,skipped,noop,,
209,partner,17,德阳经开区铭杨建材经营部||duplicate_across_carriers,德阳经开区铭杨建材经营部,,skipped,noop,,
210,partner,53,衡水金禹水利机械有限公司||duplicate_across_carriers,衡水金禹水利机械有限公司,,skipped,noop,,
211,partner,16,德阳经开区科纳机械租赁部||duplicate_across_carriers,德阳经开区科纳机械租赁部,,skipped,noop,,
212,partner,618,德阳乐成混凝土有限公司开发区分公司||fact_partner_candidate,德阳乐成混凝土有限公司开发区分公司,,skipped,noop,,
213,partner,619,德阳昌隆金属结构有限公司||fact_partner_candidate,德阳昌隆金属结构有限公司,,skipped,noop,,
214,partner,620,四川省第四建筑有限公司||fact_partner_candidate,四川省第四建筑有限公司,,skipped,noop,,
215,partner,621,德阳市旌凯建材有限公司||fact_partner_candidate,德阳市旌凯建材有限公司,,skipped,noop,,
216,partner,488,四川展塑科技有限公司||duplicate_across_carriers,四川展塑科技有限公司,,skipped,noop,,
217,partner,622,吴涛||fact_partner_candidate,吴涛,,skipped,noop,,
218,partner,467,四川向氏钟诚门窗有限公司||duplicate_across_carriers,四川向氏钟诚门窗有限公司,,skipped,noop,,
219,partner,121,德阳旌开运业有限公司||duplicate_across_carriers,德阳旌开运业有限公司,,skipped,noop,,
220,partner,623,惠州市鑫业兴实业有限公司||fact_partner_candidate,惠州市鑫业兴实业有限公司,,skipped,noop,,
221,partner,270,旌阳区宏至建材经营部||duplicate_across_carriers,旌阳区宏至建材经营部,,skipped,noop,,
222,partner,624,四川众恒建筑工程有限公司||fact_partner_candidate,四川众恒建筑工程有限公司,,skipped,noop,,
223,partner,218,段贤勇||duplicate_across_carriers,段贤勇,,skipped,noop,,
224,partner,496,四川住杰建设工程有限公司||duplicate_across_carriers,四川住杰建设工程有限公司,,skipped,noop,,
225,partner,159,德阳市经开区恒永信机械租赁部||duplicate_across_carriers,德阳市经开区恒永信机械租赁部,,skipped,noop,,
226,project,34,崴和路一标段,崴和路一标段,,skipped,noop,,
227,partner,625,成都揽星照明工程有限公司||fact_partner_candidate,成都揽星照明工程有限公司,,skipped,noop,,
228,partner,328,旌阳区永博机械设备租赁服务部||duplicate_across_carriers,旌阳区永博机械设备租赁服务部,,skipped,noop,,
229,partner,626,四川凯尔丰农业科技有限公司||fact_partner_candidate,四川凯尔丰农业科技有限公司,,skipped,noop,,
230,partner,627,中国石油天然气股份有限公司四川德阳销售分公司||fact_partner_candidate,中国石油天然气股份有限公司四川德阳销售分公司,,skipped,noop,,
231,partner,468,四川新立城环保科技有限公司||duplicate_across_carriers,四川新立城环保科技有限公司,,skipped,noop,,
232,partner,628,四川省米兰诺陶瓷有限公司||fact_partner_candidate,四川省米兰诺陶瓷有限公司,,skipped,noop,,
233,business_entity,25,dc02610d76d441c1b74ad9e9b878d598,德阳经开区科纳机械租赁部,,skipped,noop,,
234,partner,211,德阳兴灏工程机械租赁有限公司||duplicate_across_carriers,德阳兴灏工程机械租赁有限公司,,skipped,noop,,
235,partner,372,倪德模||duplicate_same_carrier_or_empty_tax,倪德模,,skipped,noop,,
236,partner,212,德阳怡豪电力设备有限公司||duplicate_across_carriers,德阳怡豪电力设备有限公司,,skipped,noop,,
237,partner,629,重庆昊天实业（集团）有限公司||fact_partner_candidate,重庆昊天实业（集团）有限公司,,skipped,noop,,
238,partner,355,罗兵||duplicate_across_carriers,罗兵,,skipped,noop,,
239,partner,433,四川科亚照明工程有限公司||duplicate_across_carriers,四川科亚照明工程有限公司,,skipped,noop,,
240,partner,515,伟宸建设集团有限公司||duplicate_across_carriers,伟宸建设集团有限公司,,skipped,noop,,
241,partner,311,旌阳区泰辉机械设备租赁服务部||duplicate_across_carriers,旌阳区泰辉机械设备租赁服务部,,skipped,noop,,
242,partner,630,四川天诚禾石业有限责任公司||fact_partner_candidate,四川天诚禾石业有限责任公司,,skipped,noop,,
243,partner,102,德阳经开区北铭辉建材经营部(个体工商户)||duplicate_same_carrier_or_empty_tax,德阳经开区北铭辉建材经营部(个体工商户),,skipped,noop,,
244,partner,57,陈加国||duplicate_across_carriers,陈加国,,skipped,noop,,
245,partner,47,杨永田||duplicate_across_carriers,杨永田,,skipped,noop,,
246,partner,631,德阳经开区顺泰达商贸部(个体工商户)||fact_partner_candidate,德阳经开区顺泰达商贸部(个体工商户),,skipped,noop,,
247,partner,62,成都大合新势力钢铁有限公司||duplicate_across_carriers,成都大合新势力钢铁有限公司,,skipped,noop,,
248,partner,38,刘顺荣||duplicate_across_carriers,刘顺荣,,skipped,noop,,
249,partner,632,旌阳区华材建材经营部||fact_partner_candidate,旌阳区华材建材经营部,,skipped,noop,,
250,partner,18,德阳经开区中延建材经营部(个体工商户)||duplicate_across_carriers,德阳经开区中延建材经营部(个体工商户),,skipped,noop,,
251,partner,22,德阳市旌辉建筑材料有限公司|91510600056060504y|tax_code_conflict,德阳市旌辉建筑材料有限公司,,skipped,noop,,
252,partner,266,旌阳区豪峰五金建材经营部||duplicate_same_carrier_or_empty_tax,旌阳区豪峰五金建材经营部,,skipped,noop,,
253,partner,633,德阳经开区汇壹建材经营部(个体工商户)||fact_partner_candidate,德阳经开区汇壹建材经营部(个体工商户),,skipped,noop,,
