line,dimension,map_id,legacy_key,legacy_name,decision,status,reason,target_id,target_name
2,business_entity,5,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司,,skipped,noop,,
3,business_entity,6,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司,,skipped,noop,,
4,business_entity,7,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,,skipped,noop,,
5,business_entity,8,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司,,skipped,noop,,
6,business_entity,9,88ca50467a784725aa4b42467b549e21,德阳市博众建材销售有限公司,,skipped,noop,,
7,business_entity,10,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司,,skipped,noop,,
8,business_entity,11,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司,,skipped,noop,,
9,project,1,旌阳区供水项目——柏隆净水厂,旌阳区供水项目——柏隆净水厂,,skipped,noop,,
10,business_entity,12,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司,,skipped,noop,,
11,project,2,高新产业园配套项目（包2）,高新产业园配套项目（包2）,,skipped,noop,,
12,business_entity,13,8e63129abde54614ae66ef7df8f91046,四川宏川建筑劳务有限公司,,skipped,noop,,
13,partner,553,什邡市顺源通商贸有限责任公司||fact_partner_candidate,什邡市顺源通商贸有限责任公司,,skipped,noop,,
14,project,3,高新产业园配套项目（包3）,高新产业园配套项目（包3）,,skipped,noop,,
15,project,4,三星堆环线基础设施改造,三星堆环线基础设施改造,,skipped,noop,,
16,business_entity,14,0d7cd766eb9f4d23b53761e593148e25,德阳森元路面工程有限公司,,skipped,noop,,
17,partner,435,四川昆程建材有限公司||duplicate_across_carriers,四川昆程建材有限公司,,skipped,noop,,
18,partner,554,四川祥坤新材料有限公司||fact_partner_candidate,四川祥坤新材料有限公司,,skipped,noop,,
19,project,5,2023年高标准农田改造提升-东美村,2023年高标准农田改造提升-东美村,,skipped,noop,,
20,project,6,二重厂西路等4条道路工程,二重厂西路等4条道路工程,,skipped,noop,,
21,project,7,旌阳区供水项目——柏隆供水管网,旌阳区供水项目——柏隆供水管网,,skipped,noop,,
22,partner,555,管理人员工资||fact_partner_candidate,管理人员工资,,skipped,noop,,
23,partner,40,倪德珍||duplicate_same_carrier_or_empty_tax,倪德珍,,skipped,noop,,
24,partner,556,绵阳鑫泰水泥制品有限公司||fact_partner_candidate,绵阳鑫泰水泥制品有限公司,,skipped,noop,,
25,project,8,澜沧江西路（苗山街-蓥华山路）,澜沧江西路（苗山街-蓥华山路）,,skipped,noop,,
26,project,9,2024高标准农田建设项目-龙泉村,2024高标准农田建设项目-龙泉村,,skipped,noop,,
27,partner,557,德阳市兴业混凝土有限公司||fact_partner_candidate,德阳市兴业混凝土有限公司,,skipped,noop,,
28,business_entity,15,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,,skipped,noop,,
29,project,10,龙泉山路二段(赣江路-信江路),龙泉山路二段(赣江路-信江路),,skipped,noop,,
30,partner,558,成都敬业恒泰贸易有限公司||fact_partner_candidate,成都敬业恒泰贸易有限公司,,skipped,noop,,
31,project,11,王谊村总平,王谊村总平,,skipped,noop,,
32,partner,559,代付工资||fact_partner_candidate,代付工资,,skipped,noop,,
33,partner,560,高地库房||fact_partner_candidate,高地库房,,skipped,noop,,
34,partner,51,中江能鑫建材有限公司||duplicate_across_carriers,中江能鑫建材有限公司,,skipped,noop,,
35,partner,223,工资||duplicate_same_carrier_or_empty_tax,工资,,skipped,noop,,
36,project,12,齐家堰流域（高槐村-桂花村）河段水生态修复项目,齐家堰流域（高槐村-桂花村）河段水生态修复项目,,skipped,noop,,
37,partner,561,四川矿奇石材有限公司||fact_partner_candidate,四川矿奇石材有限公司,,skipped,noop,,
38,partner,562,四川屹丰建材有限公司||fact_partner_candidate,四川屹丰建材有限公司,,skipped,noop,,
39,partner,545,周路林劳务||duplicate_across_carriers,周路林劳务,,skipped,noop,,
40,project,13,玉山街道路工程,玉山街道路工程,,skipped,noop,,
