dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
partner,sc.legacy.partner.map,684,SCBS_FACT_PARTNER_CANDIDATE,德阳市庆源物资有限公司||fact_partner_candidate,德阳市庆源物资有限公司,candidate,fact_partner_candidate,multiple,,,37,235162.34,choose_target_partner,,,
partner,sc.legacy.partner.map,519,SCBS_PARTNER_DUPLICATE_CANDIDATE,文楠||duplicate_same_carrier_or_empty_tax,文楠,candidate,duplicate_same_carrier_or_empty_tax,multiple,,,12,219034.25,choose_target_partner,,,
partner,sc.legacy.partner.map,535,SCBS_PARTNER_DUPLICATE_CANDIDATE,中国石油天然气股份有限公司四川销售分公司||duplicate_across_carriers,中国石油天然气股份有限公司四川销售分公司,candidate,duplicate_across_carriers,multiple,,,9,205000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,704,SCBS_FACT_PARTNER_CANDIDATE,陈帅||fact_partner_candidate,陈帅,candidate,fact_partner_candidate,multiple,,,22,176657.9,choose_target_partner,,,
partner,sc.legacy.partner.map,731,SCBS_FACT_PARTNER_CANDIDATE,旌阳区忠明工程机械设备租赁服务部||fact_partner_candidate,旌阳区忠明工程机械设备租赁服务部,candidate,fact_partner_candidate,multiple,,,2,113020.0,choose_target_partner,,,
partner,sc.legacy.partner.map,738,SCBS_FACT_PARTNER_CANDIDATE,中国人寿财产保险股份有限公司德阳市中心支公司||fact_partner_candidate,中国人寿财产保险股份有限公司德阳市中心支公司,candidate,fact_partner_candidate,multiple,,,4,103926.24,choose_target_partner,,,
partner,sc.legacy.partner.map,390,SCBS_PARTNER_DUPLICATE_CANDIDATE,税务局||duplicate_across_carriers,税务局,candidate,duplicate_across_carriers,multiple,,,2,89690.28,choose_target_partner,,,
partner,sc.legacy.partner.map,235,SCBS_PARTNER_DUPLICATE_CANDIDATE,华略创新（成都）科技有限公司||duplicate_across_carriers,华略创新（成都）科技有限公司,candidate,duplicate_across_carriers,multiple,,,8,81600.0,choose_target_partner,,,
partner,sc.legacy.partner.map,65,SCBS_PARTNER_DUPLICATE_CANDIDATE,成都磊数科技有限公司||duplicate_across_carriers,成都磊数科技有限公司,candidate,duplicate_across_carriers,multiple,,,8,76608.0,choose_target_partner,,,
partner,sc.legacy.partner.map,414,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川华西集采电子商务有限公司||duplicate_across_carriers,四川华西集采电子商务有限公司,candidate,duplicate_across_carriers,multiple,,,29,76158.87,choose_target_partner,,,
partner,sc.legacy.partner.map,762,SCBS_FACT_PARTNER_CANDIDATE,胡俊||fact_partner_candidate,胡俊,candidate,fact_partner_candidate,multiple,,,24,66628.96,choose_target_partner,,,
partner,sc.legacy.partner.map,766,SCBS_FACT_PARTNER_CANDIDATE,德阳市九鼎机械设备租赁有限公司||fact_partner_candidate,德阳市九鼎机械设备租赁有限公司,candidate,fact_partner_candidate,multiple,,,3,63000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,786,SCBS_FACT_PARTNER_CANDIDATE,中国人民财产保险股份有限公司德阳市分公司||fact_partner_candidate,中国人民财产保险股份有限公司德阳市分公司,candidate,fact_partner_candidate,multiple,,,1,45010.0,choose_target_partner,,,
partner,sc.legacy.partner.map,804,SCBS_FACT_PARTNER_CANDIDATE,德阳市福宾加油站||fact_partner_candidate,德阳市福宾加油站,candidate,fact_partner_candidate,multiple,,,1,36000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,814,SCBS_FACT_PARTNER_CANDIDATE,邓世娇||fact_partner_candidate,邓世娇,candidate,fact_partner_candidate,multiple,,,22,30347.57,choose_target_partner,,,
partner,sc.legacy.partner.map,854,SCBS_FACT_PARTNER_CANDIDATE,四川朗照律师事务所||fact_partner_candidate,四川朗照律师事务所,candidate,fact_partner_candidate,multiple,,,5,15000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,308,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区盛行办公设备经营部||duplicate_across_carriers,旌阳区盛行办公设备经营部,candidate,duplicate_across_carriers,multiple,,,4,11700.0,choose_target_partner,,,
partner,sc.legacy.partner.map,206,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳四通民建水泥制品有限公司||duplicate_across_carriers,德阳四通民建水泥制品有限公司,candidate,duplicate_across_carriers,multiple,,,2,10000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,891,SCBS_FACT_PARTNER_CANDIDATE,德阳森元路面工程有限公司||fact_partner_candidate,德阳森元路面工程有限公司,candidate,fact_partner_candidate,multiple,,,4,8883.61,choose_target_partner,,,
partner,sc.legacy.partner.map,925,SCBS_FACT_PARTNER_CANDIDATE,尹佳梅||fact_partner_candidate,尹佳梅,candidate,fact_partner_candidate,multiple,,,5,3830.0,choose_target_partner,,,
partner,sc.legacy.partner.map,205,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市自来水公司||duplicate_same_carrier_or_empty_tax,德阳市自来水公司,candidate,duplicate_same_carrier_or_empty_tax,multiple,,,1,3600.0,choose_target_partner,,,
partner,sc.legacy.partner.map,939,SCBS_FACT_PARTNER_CANDIDATE,陈茂||fact_partner_candidate,陈茂,candidate,fact_partner_candidate,multiple,,,1,1600.0,choose_target_partner,,,
partner,sc.legacy.partner.map,945,SCBS_FACT_PARTNER_CANDIDATE,张龙根||fact_partner_candidate,张龙根,candidate,fact_partner_candidate,multiple,,,1,1157.0,choose_target_partner,,,
partner,sc.legacy.partner.map,951,SCBS_FACT_PARTNER_CANDIDATE,赖宇轩||fact_partner_candidate,赖宇轩,candidate,fact_partner_candidate,multiple,,,1,820.0,choose_target_partner,,,
partner,sc.legacy.partner.map,978,SCBS_FACT_PARTNER_CANDIDATE,中国建筑一局（集团）有限公司||fact_partner_candidate,中国建筑一局（集团）有限公司,candidate,fact_partner_candidate,multiple,,,1,0.0,choose_target_partner,,,
partner,sc.legacy.partner.map,48,SCBS_PARTNER_DUPLICATE_CANDIDATE,中国第二重型机械集团(德阳)万安物业发展有限公司||duplicate_same_carrier_or_empty_tax,中国第二重型机械集团(德阳)万安物业发展有限公司,candidate,duplicate_same_carrier_or_empty_tax,multiple,,,2,-2000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,473,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川鑫垚建筑劳务有限公司||duplicate_across_carriers,四川鑫垚建筑劳务有限公司,candidate,duplicate_across_carriers,multiple,,,53,-3075914.05,choose_target_partner,,,
