legacy_partner_id,partner_name,company_credit_code,company_tax_no,source,source_evidence,linked_contract_count,linked_repayment_rows,sample_legacy_contract_id,sample_legacy_contract_no,manual_confirm_required,auto_create_allowed,dry_run_action,review_note
e6e3e9546ec44933bd8a409d22ba3457,中共英吉沙县委员会组织部,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,3,b180c0025c5841c3b99f6476074e0791,XJ2024-230,yes,no,candidate_create_or_reuse,
8A7CA37FD82D451881660F2AECD0F5AB,中国人民武装警察部队德阳支队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,1,60b982a1089a4503a46fa3954832143d,DYS2022-58,yes,no,candidate_create_or_reuse,
bf6a3f3440394de28c3728980930304d,中国人民解放军32038部队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,1,19481c190e6747f4bb600c5c562a55bc,CQS2025-237,yes,no,candidate_create_or_reuse,
34a812ec5d8945b58f79d23ee1e685ec,中国人民解放军32166部队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,2,7e4ef451106d4059aeb9169653c7aaec,XZ2024-239,yes,no,candidate_create_or_reuse,
f27ae94fa3b04727a72bb078c88c40c7,中国人民解放军32167部队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,2,64c65e68dcfd4163bb59730a761a1521,XZ2025-168,yes,no,candidate_create_or_reuse,
b69b807fca85444b8fd5d0ed9db4e232,中国人民解放军32329部队,111111111,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,5,f41372ad53ec4b53a5e1fe0f867ff914,XJ2023-123,yes,no,candidate_create_or_reuse,
ea9f3b0b703f4cc090cbccdff6ba20aa,中国人民解放军77561部队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,2,0fc1ca555f2c4ff8ae42f16ad58aaa80,XZ2025-71,yes,no,candidate_create_or_reuse,
ff8c245f048645bf8092fb8e4f52d2cf,中国人民解放军77626部队,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,13,bd7fe11c738148bcac7cdd9322bc0d44,XZ2024-53,yes,no,candidate_create_or_reuse,
fb2bf5016bab42f69487693a92693747,中国人民解放军陆军军医大学,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,8,e46cd536fb8e4c4da4381be80cd1835b,CQS2025-156,yes,no,candidate_create_or_reuse,
a8b96fc78d654a369436520cc31c8ecc,中国人民解放军陆军第九五〇医院,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,2,db98baf7e8a44ba3a35fd6fb2614682b,XJ2024-243,yes,no,candidate_create_or_reuse,
9befdb558e81467e85dec7535e82be10,中国共产党苍溪县纪律检查委员会,,,T_Base_CooperatCompany,C_JFHKLR.SGHTID/WLDWID single-counterparty contracts,1,1,f30859737f444ac29ed5c6b33fd30039,GYS2020-41,yes,no,candidate_create_or_reuse,
