external_id,legacy_partner_source,legacy_partner_id,name,company_type,is_company,legacy_partner_name,legacy_source_evidence,idempotency_key,replay_action
legacy_receipt_counterparty_sc_00d57ad17db74a5c95fa1be158f21376,receipt_counterparty,00d57ad17db74a5c95fa1be158f21376,黄建军,person,0,黄建军,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::00d57ad17db74a5c95fa1be158f21376,create_if_missing
legacy_receipt_counterparty_sc_00fa1405c3d1412882683a2f743b690c,receipt_counterparty,00fa1405c3d1412882683a2f743b690c,李佳琳,person,0,李佳琳,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::00fa1405c3d1412882683a2f743b690c,create_if_missing
legacy_receipt_counterparty_sc_0181bee8f0354d699367839433dba8db,receipt_counterparty,0181bee8f0354d699367839433dba8db,刘曜,person,0,刘曜,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::0181bee8f0354d699367839433dba8db,create_if_missing
legacy_receipt_counterparty_sc_01bb4c95df7c45f0b01ad49061a19d06,receipt_counterparty,01bb4c95df7c45f0b01ad49061a19d06,蔡顺芳,person,0,蔡顺芳,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::01bb4c95df7c45f0b01ad49061a19d06,create_if_missing
legacy_receipt_counterparty_sc_020bfb6529404a99a6aa6000d6a0c4d7,receipt_counterparty,020bfb6529404a99a6aa6000d6a0c4d7,陈建峰,person,0,陈建峰,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::020bfb6529404a99a6aa6000d6a0c4d7,create_if_missing
legacy_receipt_counterparty_sc_0257e79286754dd69fb9b8cc1373877e,receipt_counterparty,0257e79286754dd69fb9b8cc1373877e,赖方莉,person,0,赖方莉,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::0257e79286754dd69fb9b8cc1373877e,create_if_missing
legacy_receipt_counterparty_sc_037913d9970e4e7e83eec244a1de6812,receipt_counterparty,037913d9970e4e7e83eec244a1de6812,向东,person,0,向东,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::037913d9970e4e7e83eec244a1de6812,create_if_missing
legacy_receipt_counterparty_sc_051866337dfe4fd2a37d18b902500802,receipt_counterparty,051866337dfe4fd2a37d18b902500802,袁天强,person,0,袁天强,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::051866337dfe4fd2a37d18b902500802,create_if_missing
legacy_receipt_counterparty_sc_05968805601547efbc75821c3088ab8c,receipt_counterparty,05968805601547efbc75821c3088ab8c,孙阳明,person,0,孙阳明,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::05968805601547efbc75821c3088ab8c,create_if_missing
legacy_receipt_counterparty_sc_05d5a91c476542f39f93a576cb5e7847,receipt_counterparty,05d5a91c476542f39f93a576cb5e7847,王松立,person,0,王松立,tmp/raw/receipt/receipt.csv:WLDWID/WLDWMC,receipt_counterparty::05d5a91c476542f39f93a576cb5e7847,create_if_missing
